브랜드명,지점명,시도명,시군구명,주소
엔제리너스,롯데아울렛구리점,경기도,구리시,경기도 구리시 동구릉로136번길 57 구리유통종합상가
엔제리너스,하남신장사거리점,경기도,하남시,경기도 하남시 신장로 126 동부신협빌딩
엔제리너스,조치원점,세종특별자치시,세종특별자치시,세종특별자치시 조치원읍 행복11길  3
엔제리너스,롯데아울렛의정부점,경기도,의정부시,경기도 의정부시 천보로 44
엔제리너스,청주휴게소점,충청북도,청주시,충청북도 청주시 흥덕구 옥산면 경부고속도로 318
엔제리너스,세종시청점,세종특별자치시,세종특별자치시,세종특별자치시   한누리대로 2147
엔제리너스,군산소룡DT점,전라북도,군산시,전라북도 군산시 공단대로 599
엔제리너스,군산신시가지점,전라북도,군산시,전라북도 군산시 수송6길 3
엔제리너스,군산조촌점,전라북도,군산시,전라북도 군산시 조촌로 111
엔제리너스,군산은파유원지DI점,전라북도,군산시,전라북도 군산시 백토로 284-35
엔제리너스,청주터미널점,충청북도,청주시,충청북도 청주시 흥덕구 풍산로 18 터미널타워
엔제리너스,동두천지행역점,경기도,동두천시,경기도 동두천시 지행로 55 크라운732
엔제리너스,대전노은점,대전광역시,유성구,대전광역시 유성구 은구비남 33번길 13-38 웰컴빌딩 1층 엔젤리너스
엔제리너스,대전신성점,대전광역시,유성구,대전광역시 유성구 유성대로1184번길 11-9
엔제리너스,청주분평점,충청북도,청주시,충청북도 청주시 흥덕구 청남로 2010
엔제리너스,대전둔산점,대전광역시,서구,대전광역시 서구 둔지로 32
엔제리너스,익산미륵산점,전라북도,익산시,전라북도 익산시 미륵사지로 477
엔제리너스,대전둔산로점,대전광역시,서구,대전광역시 서구 둔산로 26
엔제리너스,대전갈마점,대전광역시,서구,대전광역시 서구 대덕대로161번길 5
엔제리너스,대전청사점,대전광역시,서구,대전광역시 서구 둔산동 925
엔제리너스,대전시청점,대전광역시,서구,대전광역시 서구 둔산로 130 대덕프라자
엔제리너스,익산영등점,전라북도,익산시,전라북도 익산시 무왕로11길 6-3
엔제리너스,대전태평점,대전광역시,중구,대전광역시 중구 태평로26번길 8
엔제리너스,여주375아울렛점,경기도,여주군,경기도 여주군 여주읍 명품1로 22-2 (상거동)
엔제리너스,대전복합터미널동관점,대전광역시,동구,대전광역시 동구 동서대로1695번길 30 대전복합터미널(동관)
엔제리너스,대전복합터미널서관점,대전광역시,동구,대전광역시 동구 동서대로 1689 대전복합터미널(서관)
엔제리너스,대전성모오거리점,대전광역시,중구,대전광역시 중구 선화서로 3
엔제리너스,대전가오점,대전광역시,동구,대전광역시 동구 은어송로 46
엔제리너스,완주봉동점,전라북도,완주군,전라북도 완주군 과학로 1025
엔제리너스,충북옥천점,충청북도,옥천군,충청북도 옥천군 삼양로 89
엔제리너스,전주백제로점,전라북도,전주시,전라북도 전주시 덕진구 인후동2가 1529-1
엔제리너스,전주삼천점,전라북도,전주시,전라북도 전주시 완산구 용리로 46
엔제리너스,충주칠금점,충청북도,충주시,충청북도 충주시 칠금12길 5
엔제리너스,충주성서점,충청북도,충주시,충청북도 충주시 성서7길 30
엔제리너스,충주연수점,충청북도,충주시,충청북도 충주시 갱고개로 147
엔제리너스,괴산휴게소(상)점,충청북도,괴산군,충청북도 괴산군 장연면 293-2
엔제리너스,원주단구점,강원도,원주시,강원도 원주시 서원대로 422
엔제리너스,춘천강원대점,강원도,춘천시,강원도 춘천시 서부대성로 229
엔제리너스,영광점,전라남도,영광군,전라남도 영광군읍 옥당로
엔제리너스,문경시청점,경상북도,문경시,경상북도 문경시 당교로 230-1(문경시청) 엔제리너스(문경시청점)
엔제리너스,단양휴게소(하)점,충청북도,단양군,충청 단양군 단성면 북상하리길 5-8
엔제리너스,김천교동점,경상북도,김천시,경상북도 김천시 교동 740-1
엔제리너스,광주첨단점,광주광역시,광산구,광주광역시 광산구 첨단중앙로 158
엔제리너스,광주신창점,광주광역시,광산구,광주광역시 광산구 왕버들로 265
엔제리너스,롯데아울렛광주수완점,광주광역시,광산구,광주광역시 광산구 장신로 98 롯데마트
엔제리너스,광주수완점,광주광역시,광산구,광주광역시 광산구 임방울대로 338
엔제리너스,광주흑석점,광주광역시,광산구,광주광역시 광산구 사암로383번길 6
