브랜드명,지점명,시도명,시군구명,주소
파스쿠찌,고양원흥,경기도,고양시,"경기도 고양시 덕양구 권율대로 504 가림타워오피스텔 101,102호"
파스쿠찌,청담역,서울특별시,강남구,"서울시 강남구 영동대로 646, 1층"
파스쿠찌,영산휴게소,경상남도,창녕군,경남 창녕군 영산면 장척호수길 56-110
파스쿠찌,경북왜관,경상북도,칠곡군,경북 칠곡군 왜관읍 중앙로 98 1층
파스쿠찌,삼국유사휴게소,경상북도,군위군,경북 군위군 부계면 치산효령로 989-23
파스쿠찌,대구장기DI,대구광역시,달서구,대구광역시 달서구 장기동 557-1
파스쿠찌,군위영천휴게소,경상북도,군위군,경북 군위군 산청면 치산효령로 865-43
파스쿠찌,공릉역,서울특별시,노원구,서울특별시 노원구 동일로 191길 7. 1층
파스쿠찌,세종아름,세종특별자치시,세종특별자치시,"세종특별자치시 보듬3로 158, 1층 (아름동, 아름메디컬센터)"
파스쿠찌,전북부안,전라북도,부안군,전라북도 부안군 부안읍 오리정로 142
파스쿠찌,청주엘지로DT,충청북도,청주시,"충정북도 청주시 흥덕구 엘지로11, 1,2층(외북동)"
파스쿠찌,광주용전DT,광주광역시,북구,"광주광역시 북구 우치로 948 1,2,3층(용전동)"
파스쿠찌,영주가흥,경상북도,영주시,경북 영주시 대학로 324
파스쿠찌,부산하단오거리,부산광역시,사하구,"부산광역시 사하구 낙동대로 458, 1,2층"
파스쿠찌,안산휴게소 인천방향,경기도,안산시,경기 안산시 단원구 선부동 311 1층
파스쿠찌,안산휴게소 강릉방향,경기도,안산시,경기 안산시 단원구 선부동 311 2층
파스쿠찌,안산휴게소 강릉DT,경기도,안산시,경기 안산시 단원구 선부동 311
파스쿠찌,충남부여,충청남도,부여군,충남 부여군 부여읍 사비로 108번길 4
파스쿠찌,대구K병원,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 357, 1층(태전동)"
파스쿠찌,왕십리역사,서울특별시,성동구,서울특별시 성동구 왕십리광장로 17. 왕십리민자역사 4층
파스쿠찌,울산중앙병원,울산광역시,남구,울산 남구 문수로 472
파스쿠찌,토성농협,강원도,고성군,"강원도 고성군 토성면 학사촌길97,1층 파스쿠찌"
파스쿠찌,부산범일,부산광역시,동구,부산광역시 동구 조방로 45 1층 (덕원빌딩)
파스쿠찌,안양1번가,경기도,안양시,경기도 안양시 만안구 안양로 304번길12 2층
파스쿠찌,김포운양 DI,경기도,김포시,경기 김포시 모담공원로167번길 109
파스쿠찌,구미강동DT,경상북도,구미시,경상북도 구미시 옥계신당로 5안길 37
파스쿠찌,하남감일DI,경기도,하남시,경기도 하남시 동남로 451(감일동)
파스쿠찌,전주효자DT,전라북도,전주시,전라북도 전주시 완산구 쑥고개로 285
파스쿠찌,신림역,서울특별시,관악구,"서울특별시 관악구 신림동 1640-8, 1층"
파스쿠찌,전주만성법조타운,전라북도,전주시,전라북도 전주시 덕진구 만성중앙로 17
파스쿠찌,소노벨변산,전라북도,부안군,전라북도 부안군 변산면 변산해변로 51
파스쿠찌,인천공항LS 2호점,인천광역시,중구,인천시 중구 공항로 271 인천국제공항 제1여객터미널 3층 H구역
파스쿠찌,양평휴게소 서울방향,경기도,양평군,경기 양평군 양동면 여양3로 384-27
파스쿠찌,서대문역,서울특별시,서대문구,서울시 서대문구 충정로 60 KT&amp;G 빌딩 1층
파스쿠찌,김포DT,경기도,김포시,경기 김포시 김포대로 1135
파스쿠찌,경기광주휴게소 서울방향,경기도,광주시,경기 광주시 곤지암읍 만삼로 211
파스쿠찌,대전문지,대전광역시,유성구,대전 유성구 문지로 299번길 86-11
파스쿠찌,서청주DT,충청북도,청주시,충북 청주시 흥덕구 2순환로 1067-2
파스쿠찌,동천동강병원,울산광역시,중구,울산 중구 외솔큰길 215 (지번) 남외동 514-1
파스쿠찌,예산휴게소(대전방향),충청남도,예산군,충남 예산군 신양면 당진영덕고속도로 34
파스쿠찌,칠곡휴게소 서울방향,경상북도,칠곡군,경상북도 칠곡군 왜관읍 경부고속도로 158
파스쿠찌,칠곡휴게소 부산방향,경상북도,칠곡군,경상북도 칠곡군 왜관읍 경부고속도로 159
파스쿠찌,전주삼천,전라북도,전주시,전라북도 전주시 완산구 용리로 54
파스쿠찌,덕소라임스퀘어,경기도,남양주시,"경기 남양주시 와부읍 덕소로97번길 67, 라임스퀘어빌딩"
파스쿠찌,죽전휴게소 서울방향,경기도,용인시,경기도 용인시 수지구 경부고속도로 400
파스쿠찌,청주하나로,충청북도,청주시,충북 청주시 상당구 무농정로32
파스쿠찌,남대전DT,대전광역시,동구,대전광역시 동구 대전로 255
파스쿠찌,영등포병원,서울특별시,영등포구,서울 영등포구 당산로 31길 10
파스쿠찌,영종하늘도시,인천광역시,중구,인천 중구 하늘별빛로 65번길 8-21
파스쿠찌,파주야당,경기도,파주시,"경기도 파주시 경의로 1024,1층"
파스쿠찌,화성반월DI점,경기도,화성시,경기도 화성시 반월동 311-75  1층
파스쿠찌,청주동남시티,충청북도,청주시,"충죽 청주시 상당구 중고개로 129, 1층"
파스쿠찌,경산중방DI,경상북도,경산시,"경상북도 경산시 중방동 909 1,2층"
파스쿠찌,평택세교DT점,경기도,평택시,경기도 평택시 세교동 436-1
