date,team,1,2,3,4,5,6,7,8,9,선발투수
2022-04-08,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,이성곤,노수광,이도윤,김민우
2022-04-09,NC,손아섭,김기환,박건우,마티니,노진혁,박준영,오영수,박대온,도태훈,파슨스
2022-04-09,LG,박해민,서건창,김현수,문보경,유강남,오지환,루이즈,이영빈,문성주,이민호
2022-04-09,KIA,소크라테스,박찬호,김선빈,나성범,황대인,최형우,이우성,한승택,김도영,이민우
2022-04-09,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이재원,김강민,김광현
2022-04-09,두산,김인태,페르난데스,양석환,김재환,허경민,안재석,김재호,박세혁,정수빈,최원준
2022-04-09,롯데,정훈,이학주,안치홍,전준우,피터스,이대호,김민수,고승민,정보근,박세웅
2022-04-09,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,김주형,박찬혁,요키시
2022-04-09,삼성,오선진,구자욱,피렐라,강민호,오재일,김헌곤,김태군,김호재,이재현,수아레즈
2022-04-09,KT,조용호,김민혁,황재균,라모스,장성우,오윤석,박경수,신본기,배정대,배제성
2022-04-09,한화,정은원,최재훈,터크먼,노시환,이성곤,김태연,하주석,노수광,임종찬,킹엄
2022-04-10,NC,손아섭,박준영,박건우,마티니,양의지,노진혁,오영수,김응민,도태훈,신민혁
2022-04-10,LG,홍창기,박해민,김현수,문보경,유강남,오지환,루이즈,문성주,서건창,켈리
2022-04-10,KIA,소크라테스,김선빈,나성범,최형우,황대인,김석환,김도영,김민식,박찬호,로니
2022-04-10,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이재원,김강민,노경은
2022-04-10,두산,허경민,김인태,페르난데스,김재환,강진성,박세혁,강승호,김재호,정수빈,이영하
2022-04-10,롯데,정훈,박승욱,안치홍,전준우,피터스,이대호,한동희,고승민,지시완,스파크맨
2022-04-10,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,김재현,김주형,박찬혁,애플러
2022-04-10,삼성,구자욱,오선진,피렐라,강민호,오재일,김헌곤,박승규,이재현,김상수,백정현
2022-04-10,KT,조용호,김민혁,라모스,황재균,김병희,오윤석,배정대,김준태,신본기,데스파이네
