date,team,1,2,3,4,5,6,7,8,9,선발투수
2023-04-09,NC,서호철,박민우,박건우,손아섭,오영수,박세혁,한석현,오장한,김한별,송명기
2023-04-11,키움,김혜성,이형종,이정후,러셀,박주홍,박찬혁,이지영,김휘집,김수환,최원태
2023-04-11,두산,정수빈,허경민,양석환,김재환,양의지,로하스,강승호,송승환,이유찬,최승용
2023-04-11,한화,이원석,정은원,노시환,채은성,김인환,김태연,오그레디,박상언,박정현,남지민
2023-04-11,KIA,이창진,류지혁,소크라테스,황대인,최형우,김호령,김규성,한승택,박찬호,양현종
2023-04-11,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,박명근
2023-04-11,롯데,황성빈,안권수,렉스,전준우,고승민,한동희,노진혁,유강남,이학주,반즈
2023-04-11,KT,김민혁,강백호,알포드,박병호,장성우,황재균,조용호,박경수,김상수,슐서
2023-04-11,NC,박민우,박세혁,박건우,손아섭,박석민,오영수,김주원,서호철,한석현,신민혁
2023-04-12,한화,노수광,정은원,노시환,채은성,김인환,김태연,오그레디,최재훈,문현빈,문동주
2023-04-12,KIA,류지혁,박찬호,소크라테스,황대인,최형우,변우혁,김호령,이우성,한승택,앤더슨
2023-04-12,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,강효종
2023-04-12,롯데,안권수,김민석,렉스,전준우,안치홍,고승민,한동희,유강남,노진혁,박세웅
2023-04-12,KT,김민혁,강백호,알포드,박병호,장성우,황재균,조용호,박경수,김상수,고영표
2023-04-12,NC,박민우,박세혁,박건우,손아섭,박석민,오영수,김주원,한석현,서호철,이용준
2023-04-13,키움,김혜성,이형종,이정후,러셀,박주홍,박찬혁,임병욱,김휘집,이지영,안우진
2023-04-13,두산,정수빈,허경민,양석환,김재환,양의지,로하스,강승호,장승현,이유찬,김동주
2023-04-13,한화,이원석,정은원,노시환,채은성,김태연,최재훈,장운호,오선진,박정현,장민재
2023-04-13,KIA,류지혁,박찬호,소크라테스,황대인,최형우,김선빈,김호령,이우성,주효상,이의리
2023-04-13,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,켈리
2023-04-13,롯데,안권수,고승민,렉스,전준우,한동희,안치홍,노진혁,유강남,김민석,한현희
2023-04-13,KT,김민혁,강백호,알포드,박병호,문상철,김준태,이상호,류현인,김상수,조이현
2023-04-13,NC,박민우,박세혁,박건우,손아섭,박석민,오영수,오장한,한석현,김주원,페디
2023-04-14,두산,허경민,정수빈,양석환,김재환,양의지,로하스,송승환,김재호,이유찬,알칸타라
2023-04-14,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,김기연,서건창,박해민,김윤식
2023-04-14,KIA,이창진,박찬호,소크라테스,황대인,변우혁,김선빈,류지혁,이우성,한승택,메디나
2023-04-14,키움,이용규,이형종,이정후,김혜성,임병욱,김동헌,박주홍,김휘집,김태진,요키시
2023-04-14,NC,박민우,박세혁,박건우,손아섭,박석민,오영수,김주원,한석현,서호철,송명기
2023-04-14,SSG,추신수,최지훈,최정,최주환,에레디아,한유섬,박성한,전의산,김민식,송영진
2023-04-14,한화,이원석,정은원,노시환,채은성,김태연,오그레디,최재훈,오선진,박정현,김민우
2023-04-14,KT,김민혁,강백호,알포드,박병호,장성우,문상철,황재균,박경수,김상수,벤자민
2023-04-15,두산,허경민,정수빈,양석환,김재환,양의지,로하스,강승호,송승환,이유찬,곽빈
2023-04-15,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,플럿코
2023-04-15,KIA,류지혁,박찬호,소크라테스,최형우,황대인,김선빈,이창진,김호령,주효상,윤영철
2023-04-15,키움,이용규,이형종,이정후,김혜성,박주홍,김동헌,임병욱,김휘집,김태진,후라도
2023-04-15,NC,박민우,서호철,박건우,손아섭,박석민,오영수,천재환,김주원,안중열,구창모
2023-04-15,SSG,오태곤,최지훈,에레디아,최정,최주환,김강민,박성한,김성현,이재원,맥카티
2023-04-15,한화,노수광,정은원,노시환,채은성,오그레디,김인환,박상언,문현빈,이원석,페냐
2023-04-15,KT,김민혁,강백호,알포드,박병호,문상철,김준태,신본기,류현인,김상수,배제성
2023-04-16,두산,정수빈,조수행,양석환,김재환,양의지,송승환,강승호,안재석,이유찬,최승용
2023-04-16,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,정주현,송찬의,임찬규
2023-04-16,KIA,류지혁,고종욱,소크라테스,최형우,황대인,김선빈,이창진,한승택,박찬호,양현종
2023-04-16,키움,이용규,이형종,이정후,김혜성,임병욱,이지영,박주홍,김휘집,김태진,최원태
2023-04-16,NC,박민우,한석현,박건우,박석민,오영수,천재환,김주원,안중열,오태양,신민혁
2023-04-16,SSG,추신수,최지훈,최정,최주환,에레디아,박성한,오태곤,전의산,김민식,오원석
2023-04-16,한화,노수광,정은원,노시환,채은성,오그레디,최재훈,김인환,오선진,문현빈,남지민
2023-04-16,KT,김민혁,강백호,알포드,박병호,장성우,김준태,박경수,류현인,김상수,슐서
2023-04-18,NC,박민우,한석현,박건우,손아섭,오영수,천재환,김주원,안중열,도태훈,이용준
2023-04-18,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,강효종
