date,team,1,2,3,4,5,6,7,8,9,선발투수
2021-04-03,삼성,박해민,김상수,구자욱,피렐라,이원석,강민호,김헌곤,이학주,김호재,뷰캐넌
2021-04-03,키움,이용규,프레이타스,이정후,박병호,서건창,김수환,김혜성,박동원,송우현,요키시
2021-04-04,KIA,최원준,김선빈,터커,최형우,나지완,류지혁,김호령,한승택,박찬호,브룩스
2021-04-04,두산,허경민,페르난데스,박건우,김재환,양석환,박세혁,오재원,김재호,정수빈,로켓
2021-04-04,삼성,박해민,김상수,구자욱,피렐라,이원석,강한울,강민호,이학주,김호재,라이블리
2021-04-04,키움,이용규,김혜성,이정후,박병호,서건창,프레이타스,송우현,김수환,박동원,안우진
2021-04-04,롯데,안치홍,손아섭,전준우,이대호,정훈,추재현,김준태,한동희,마차도,스트레일리
2021-04-04,SSG,최지훈,로맥,추신수,최정,최주환,한유섬,오태곤,이재원,박성한,르위키
2021-04-04,한화,정은원,박정현,하주석,힐리,노시환,임종찬,장운호,최재훈,유장혁,김민우
2021-04-04,KT,조용호,황재균,알몬테,강백호,유한준,장성우,박경수,배정대,심우준,소형준
2021-04-04,LG,홍창기,라모스,김현수,이형종,채은성,김민성,유강남,정주현,오지환,켈리
2021-04-04,NC,이명기,박민우,나성범,양의지,알테어,권희동,박석민,강진성,김찬형,루친스키
2021-04-06,삼성,박해민,김상수,구자욱,피렐라,김헌곤,이원석,이성곤,이학주,김민수,백정현
2021-04-06,두산,허경민,페르난데스,박건우,김재환,양석환,김재호,오재원,박세혁,정수빈,최원준
2021-04-06,KIA,최원준,김선빈,터커,최형우,나지완,김민식,류지혁,김호령,박찬호,멩덴
2021-04-06,키움,이용규,김혜성,이정후,박병호,서건창,프레이타스,송우현,김수환,박동원,최원태
2021-04-06,한화,정은원,정진호,하주석,힐리,이성열,김민하,임종찬,이해창,강경학,카펜터
2021-04-06,SSG,최지훈,로맥,추신수,최정,최주환,한유섬,오태곤,이재원,박성한,박종훈
2021-04-06,LG,홍창기,라모스,김현수,이형종,채은성,김민성,유강남,정주현,오지환,수아레즈
2021-04-06,KT,조용호,황재균,알몬테,강백호,유한준,장성우,박경수,배정대,심우준,데스파이네
2021-04-06,롯데,안치홍,손아섭,전준우,이대호,정훈,추재현,김준태,한동희,마차도,프랑코
2021-04-06,NC,박민우,이명기,나성범,양의지,알테어,박석민,강진성,김찬형,권희동,송명기
2021-04-07,삼성,박해민,김상수,구자욱,피렐라,김헌곤,강민호,이원석,이학주,강한울,원태인
2021-04-07,두산,허경민,페르난데스,박건우,김재환,양석환,박세혁,김재호,오재원,정수빈,미란다
2021-04-07,KIA,최원준,김선빈,터커,최형우,나지완,김민식,류지혁,김호령,박찬호,김현수
2021-04-07,키움,이용규,김혜성,이정후,박병호,김수환,프레이타스,송우현,박동원,전병우,스미스
2021-04-07,한화,정은원,박정현,하주석,힐리,노시환,임종찬,장운호,최재훈,유장혁,김도현
2021-04-07,SSG,최지훈,로맥,추신수,최정,최주환,한유섬,고종욱,이재원,박성한,폰트
2021-04-07,LG,홍창기,이천웅,김현수,라모스,채은성,오지환,김민성,유강남,정주현,정찬헌
2021-04-07,KT,조용호,황재균,알몬테,강백호,유한준,장성우,박경수,배정대,심우준,고영표
2021-04-07,롯데,안치홍,손아섭,전준우,이대호,정훈,추재현,한동희,김준태,배성근,박세웅
2021-04-07,NC,박민우,이명기,나성범,양의지,알테어,박석민,강진성,김태군,김찬형,이재학
2021-04-08,삼성,김상수,구자욱,박해민,피렐라,김헌곤,강한울,강민호,이원석,이학주,이승민
2021-04-08,두산,허경민,페르난데스,박건우,김재환,양석환,김재호,박세혁,박계범,정수빈,이영하
2021-04-08,KIA,최원준,김선빈,터커,최형우,나지완,류지혁,김호령,한승택,박찬호,이의리
2021-04-08,키움,박준태,김혜성,이정후,박병호,김웅빈,박동원,프레이타스,허정협,전병우,김정인
2021-04-08,한화,정은원,박정현,하주석,힐리,노시환,김민하,정진호,최재훈,유장혁,킹엄
2021-04-08,SSG,최지훈,로맥,추신수,최정,최주환,한유섬,고종욱,이흥련,박성한,문승원
2021-04-08,LG,홍창기,오지환,김현수,이형종,김민성,이천웅,이주형,김재성,정주현,이상영
2021-04-08,KT,조용호,황재균,알몬테,강백호,장성우,박경수,배정대,송민섭,심우준,배제성
2021-04-08,롯데,안치홍,손아섭,전준우,이대호,정훈,오윤석,한동희,강태율,배성근,이승헌
2021-04-08,NC,박민우,이명기,나성범,알테어,권희동,박석민,강진성,김태군,김찬형,김영규
2021-04-09,SSG,최지훈,로맥,추신수,최정,최주환,한유섬,오태곤,이재원,박성한,이건욱
2021-04-09,LG,홍창기,오지환,김현수,이형종,채은성,김민성,유강남,이주형,정주현,함덕주
2021-04-09,두산,허경민,페르난데스,박건우,김재환,양석환,박세혁,김재호,박계범,조수행,유희관
2021-04-09,한화,정은원,박정현,하주석,힐리,노시환,임종찬,장운호,최재훈,유장혁,김민우
2021-04-09,KT,조용호,황재균,알몬테,강백호,박경수,배정대,문상철,이홍구,심우준,김민수
2021-04-09,삼성,김상수,구자욱,박해민,피렐라,강민호,강한울,이원석,송준석,이학주,뷰캐넌
2021-04-09,NC,박민우,이명기,나성범,양의지,알테어,강진성,노진혁,김태군,도태훈,신민혁
2021-04-09,KIA,최원준,김선빈,터커,최형우,나지완,김민식,류지혁,이창진,박찬호,브룩스
2021-04-09,키움,박준태,김혜성,이정후,박병호,김웅빈,프레이타스,박동원,전병우,이용규,요키시
2021-04-09,롯데,안치홍,손아섭,전준우,이대호,정훈,오윤석,한동희,강태율,배성근,김진욱
2021-04-10,SSG,최지훈,추신수,최정,최주환,한유섬,로맥,고종욱,이재원,박성한,르위키
2021-04-10,LG,홍창기,라모스,김현수,이형종,김민성,오지환,이천웅,유강남,정주현,켈리
2021-04-10,KT,조용호,배정대,황재균,강백호,알몬테,장성우,문상철,박승욱,심우준,소형준
2021-04-10,삼성,김상수,구자욱,박해민,피렐라,강민호,김동엽,강한울,이원석,이학주,라이블리
2021-04-10,두산,허경민,페르난데스,박건우,김재환,양석환,박세혁,김재호,박계범,정수빈,로켓
2021-04-10,한화,정은원,박정현,이성열,노시환,김민하,임종찬,장운호,이해창,강경학,장시환
2021-04-10,NC,박민우,이명기,나성범,양의지,알테어,노진혁,강진성,김태군,도태훈,루친스키
2021-04-10,KIA,최원준,김선빈,터커,최형우,나지완,류지혁,김민식,김호령,박찬호,임기영
2021-04-10,키움,박준태,김혜성,이정후,박병호,서건창,김웅빈,박동원,김재현,이용규,안우진
2021-04-10,롯데,안치홍,손아섭,전준우,이대호,정훈,추재현,김준태,한동희,배성근,스트레일리
2021-04-11,SSG,김강민,오태곤,최주환,최정,한유섬,정의윤,이재원,김성현,고종욱,박종훈
2021-04-11,LG,홍창기,이주형,김현수,라모스,오지환,이천웅,유강남,신민재,구본혁,수아레즈
2021-04-11,두산,허경민,페르난데스,박건우,김재환,양석환,김인태,장승현,박계범,권민석,최원준
2021-04-11,한화,정은원,장운호,하주석,힐리,노시환,이성열,정진호,최재훈,유장혁,카펜터
2021-04-11,KT,배정대,유한준,황재균,강백호,알몬테,장성우,문상철,박경수,심우준,데스파이네
2021-04-11,삼성,김상수,구자욱,박해민,피렐라,강민호,김동엽,강한울,이원석,이학주,백정현
2021-04-11,NC,박민우,이명기,나성범,양의지,알테어,노진혁,강진성,김태군,도태훈,송명기
2021-04-11,KIA,최원준,김선빈,터커,최형우,이창진,나주환,이우성,한승택,박찬호,멩덴
2021-04-11,키움,서건창,김혜성,이정후,박병호,김웅빈,프레이타스,박동원,임지열,박준태,최원태
2021-04-11,롯데,안치홍,손아섭,전준우,이대호,정훈,김재유,김준태,한동희,배성근,프랑코
2021-04-13,KT,배정대,황재균,강백호,알몬테,유한준,장성우,조용호,박경수,심우준,고영표
2021-04-13,두산,허경민,페르난데스,박건우,김재환,양석환,박세혁,김재호,정수빈,박계범,미란다
2021-04-13,LG,홍창기,라모스,김현수,이형종,김민성,채은성,유강남,정주현,오지환,임찬규
