순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
1,미란다,21두P,7.09,0.00,0.00,0.00,0.00,0.00,0.00,4.77,0.00,2.32,0.00,7.09,0.00
2,이정후,21키CF,6.82,4.23,0.05,0.10,0.09,2.26,0.08,0.00,0.00,0.00,0.00,0.00,0.00
3,최정,21S3B,6.50,3.70,-0.12,0.09,0.36,2.31,0.15,0.00,0.00,0.00,0.00,0.00,0.00
4,홍창기,21LCF,6.32,4.06,0.08,0.21,-0.66,2.71,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
5,구자욱,21삼RF,5.90,2.49,0.34,0.31,0.90,2.54,-0.67,0.00,0.00,0.00,0.00,0.00,0.00
6,강백호,21K1B,5.75,4.86,-0.04,-0.05,-0.60,2.61,-1.04,0.00,0.00,0.00,0.00,0.00,0.00
7,양의지,21NDH,5.72,4.43,-0.02,-0.12,-0.02,2.38,-0.93,0.00,0.00,0.00,0.00,0.00,0.00
8,백정현,21삼P,5.28,0.00,0.00,0.00,0.00,0.00,0.00,3.17,0.00,2.10,0.00,5.28,0.00
9,고영표,21KP,5.24,0.00,-0.00,0.00,0.00,0.00,0.00,2.98,0.03,2.18,0.04,5.16,0.07
10,정은원,21한2B,5.20,1.94,-0.12,0.09,0.73,2.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00
11,켈리,21LP,4.96,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,2.36,0.00,4.96,0.00
12,알테어,21NCF,4.90,2.16,0.16,0.13,-0.01,2.35,0.09,0.00,0.00,0.00,0.00,0.00,0.00
13,원태인,21삼P,4.76,0.00,0.00,0.00,0.00,0.00,0.00,2.65,0.00,2.12,0.00,4.76,0.00
14,요키시,21키P,4.66,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,2.42,0.00,4.66,0.00
15,김혜성,21키SS,4.55,0.45,0.71,0.41,-0.18,2.64,0.51,0.00,0.00,0.00,0.00,0.00,0.00
,뷰캐넌,21삼P,4.55,0.00,0.00,0.00,0.00,0.00,0.00,2.19,0.00,2.36,0.00,4.55,0.00
17,박건우,21두RF,4.51,2.41,0.24,0.07,-0.11,2.19,-0.28,0.00,0.00,0.00,0.00,0.00,0.00
18,루친스키,21NP,4.48,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,2.38,0.00,4.48,0.00
19,수아레즈,21LP,4.43,0.00,0.00,0.00,0.00,0.00,0.00,2.76,0.13,1.51,0.03,4.27,0.16
20,전준우,21롯LF,4.29,2.97,-0.03,0.19,-0.64,2.58,-0.78,0.00,0.00,0.00,0.00,0.00,0.00
21,최원준,21두P,4.13,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.00,2.11,0.00,4.13,0.00
22,로켓,21두P,4.10,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,1.65,0.00,4.10,0.00
23,나성범,21NRF,4.06,1.80,-0.08,0.32,0.16,2.60,-0.73,0.00,0.00,0.00,0.00,0.00,0.00
24,한유섬,21SRF,4.02,2.40,0.01,-0.06,0.12,2.16,-0.61,0.00,0.00,0.00,0.00,0.00,0.00
25,데스파이네,21KP,4.01,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,2.52,0.00,4.01,0.00
,박세웅,21롯P,4.01,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.00,2.17,0.00,4.01,0.00
27,박해민,21삼CF,3.94,0.68,0.05,0.24,0.56,2.26,0.16,0.00,0.00,0.00,0.00,0.00,0.00
28,최재훈,21한C,3.90,1.38,-0.04,-0.24,0.22,1.95,0.63,0.00,0.00,0.00,0.00,0.00,0.00
29,강민호,21삼C,3.88,1.31,-0.01,-0.16,0.02,1.92,0.80,0.00,0.00,0.00,0.00,0.00,0.00
30,김재환,21두LF,3.82,3.24,-0.10,-0.11,-0.95,2.36,-0.61,0.00,0.00,0.00,0.00,0.00,0.00
31,정해영,21KP,3.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,0.00,0.87,0.00,3.79
32,킹엄,21한P,3.72,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,1.92,0.00,3.72,0.00
33,파슨스,21NP,3.71,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.00,1.77,0.00,3.71,0.00
34,오지환,21LSS,3.65,-0.42,-0.04,0.04,1.33,2.22,0.53,0.00,0.00,0.00,0.00,0.00,0.00
35,배정대,21KCF,3.57,0.06,0.06,0.22,0.55,2.48,0.20,0.00,0.00,0.00,0.00,0.00,0.00
36,하주석,21한SS,3.54,0.30,0.18,0.01,0.45,2.47,0.13,0.00,0.00,0.00,0.00,0.00,0.00
37,노시환,21한3B,3.40,1.74,-0.00,0.12,-0.34,1.91,-0.02,0.00,0.00,0.00,0.00,0.00,0.00
38,추신수,21SDH,3.29,2.59,0.08,0.02,-0.60,2.42,-1.22,0.00,0.00,0.00,0.00,0.00,0.00
39,마차도,21롯SS,3.25,-0.13,-0.08,-0.04,0.70,2.25,0.55,0.00,0.00,0.00,0.00,0.00,0.00
40,정우영,21LP,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.87,0.00,3.21
41,노진혁,21NSS,3.17,0.94,-0.03,0.10,0.27,1.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00
,박성한,21SSS,3.17,0.57,0.01,0.28,-0.16,1.96,0.51,0.00,0.00,0.00,0.00,0.00,0.00
43,박동원,21키C,3.14,1.18,0.03,-0.02,0.05,2.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
44,고우석,21LP,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.00,0.77,0.00,3.13
,김현수,21LLF,3.13,2.01,0.04,-0.11,-0.18,2.48,-1.11,0.00,0.00,0.00,0.00,0.00,0.00
46,강재민,21한P,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.84,0.00,3.12
47,멩덴,21KP,3.09,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,1.60,0.00,3.09,0.00
48,김재윤,21KP,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.18,0.00,0.89,0.00,3.08
49,양석환,21두1B,3.05,1.98,-0.10,-0.13,-0.06,2.28,-0.92,0.00,0.00,0.00,0.00,0.00,0.00
,한동희,21롯3B,3.05,1.13,-0.06,-0.02,-0.23,2.07,0.16,0.00,0.00,0.00,0.00,0.00,0.00
,최지훈,21SCF,3.05,-0.42,0.24,0.16,0.93,2.22,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
52,오재일,21삼1B,3.03,1.69,0.01,-0.07,0.23,2.02,-0.85,0.00,0.00,0.00,0.00,0.00,0.00
,오승환,21삼P,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,0.00,0.83,0.00,3.03
54,스트레일리,21롯P,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,2.21,0.00,3.02,0.00
55,피렐라,21삼DH,2.96,2.13,-0.10,0.13,-0.30,2.59,-1.49,0.00,0.00,0.00,0.00,0.00,0.00
,김선빈,21K2B,2.96,1.07,-0.02,-0.16,-0.46,2.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00
57,폰트,21SP,2.94,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.94,0.00,2.94,0.00
,서건창,21키2B,2.94,-0.40,0.05,0.59,0.10,2.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00
59,김민우,21한P,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.08,2.06,0.01,2.84,0.09
,장현식,21KP,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,1.02,0.00,2.93
61,홍건희,21두P,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.99,0.00,2.92
