순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,홍창기,21LCF, 6.98 , 144 , 651 , 524 , 103 , 172 , 26 , 2 , 4 , 214 , 52 , 23 , 8 , 110 , 15 , 4 , 95 , 6 , 0 , 2 , .328 , .456 , .408 , .865 , .417 , 152.6 , 6.98 , 4.47 
2,이정후,21키CF, 6.73 , 123 , 544 , 464 , 78 , 167 , 42 , 6 , 7 , 242 , 84 , 10 , 3 , 62 , 9 , 1 , 37 , 8 , 0 , 9 , .360 , .438 , .522 , .959 , .441 , 165.2 , 6.73 , 3.17 
3,강백호,21K1B, 6.35 , 142 , 627 , 516 , 76 , 179 , 40 , 1 , 16 , 269 , 102 , 10 , 5 , 103 , 0 , 10 , 85 , 7 , 0 , 8 , .347 , .450 , .521 , .971 , .443 , 165.5 , 6.35 , 5.78 
4,최정,21S3B, 6.14 , 134 , 555 , 436 , 92 , 121 , 17 , 1 , 35 , 245 , 100 , 8 , 6 , 84 , 22 , 3 , 102 , 9 , 1 , 12 , .278 , .410 , .562 , .972 , .431 , 155.9 , 6.14 , 5.40 
5,양의지,21NDH, 5.74 , 141 , 570 , 480 , 81 , 156 , 29 , 2 , 30 , 279 , 111 , 2 , 1 , 69 , 11 , 5 , 60 , 12 , 0 , 10 , .325 , .414 , .581 , .995 , .443 , 165.4 , 5.74 , 5.64 
6,구자욱,21삼RF, 5.01 , 139 , 610 , 543 , 107 , 166 , 30 , 10 , 22 , 282 , 88 , 27 , 4 , 48 , 6 , 3 , 98 , 9 , 1 , 12 , .306 , .361 , .519 , .881 , .394 , 134.0 , 5.01 , 3.48 
7,전준우,21롯LF, 4.93 , 144 , 619 , 552 , 88 , 192 , 46 , 0 , 7 , 259 , 92 , 6 , 3 , 53 , 5 , 0 , 71 , 10 , 1 , 8 , .348 , .405 , .469 , .874 , .406 , 140.4 , 4.93 , 4.09 
8,알테어,21NCF, 4.91 , 143 , 565 , 492 , 83 , 134 , 19 , 2 , 32 , 253 , 84 , 20 , 5 , 57 , 11 , 2 , 156 , 6 , 0 , 5 , .272 , .358 , .514 , .872 , .393 , 132.0 , 4.91 , 2.11 
9,김재환,21두LF, 4.77 , 137 , 566 , 475 , 86 , 130 , 23 , 2 , 27 , 238 , 102 , 2 , 3 , 81 , 5 , 3 , 127 , 9 , 0 , 5 , .274 , .382 , .501 , .883 , .401 , 148.2 , 4.77 , 2.69 
10,김혜성,21키SS, 4.73 , 144 , 634 , 559 , 99 , 170 , 20 , 3 , 3 , 205 , 66 , 46 , 4 , 64 , 1 , 3 , 97 , 8 , 0 , 10 , .304 , .371 , .367 , .737 , .351 , 106.2 , 4.73 , 0.99 
11,박건우,21두RF, 4.62 , 126 , 525 , 458 , 82 , 149 , 31 , 2 , 6 , 202 , 63 , 13 , 0 , 50 , 11 , 2 , 72 , 16 , 0 , 6 , .325 , .400 , .441 , .841 , .394 , 138.5 , 4.62 , 1.64 
12,정은원,21한2B, 4.46 , 139 , 608 , 495 , 85 , 140 , 22 , 5 , 6 , 190 , 39 , 19 , 11 , 105 , 1 , 1 , 105 , 9 , 4 , 3 , .283 , .407 , .384 , .791 , .379 , 126.6 , 4.46 , 1.76 
13,나성범,21NRF, 3.91 , 144 , 623 , 570 , 96 , 160 , 29 , 1 , 33 , 290 , 101 , 1 , 2 , 38 , 11 , 2 , 155 , 5 , 0 , 4 , .281 , .336 , .509 , .844 , .380 , 124.1 , 3.91 , 3.13 
14,한유섬,21SRF, 3.90 , 135 , 519 , 442 , 71 , 123 , 18 , 1 , 31 , 236 , 95 , 1 , 0 , 60 , 10 , 4 , 96 , 11 , 1 , 6 , .278 , .373 , .534 , .907 , .404 , 138.6 , 3.90 , 1.99 
15,추신수,21SDH, 3.89 , 137 , 580 , 461 , 84 , 122 , 19 , 2 , 21 , 208 , 69 , 25 , 9 , 103 , 12 , 4 , 123 , 8 , 0 , 4 , .265 , .409 , .451 , .860 , .400 , 137.4 , 3.89 , 4.59 
16,강민호,21삼C, 3.86 , 123 , 462 , 406 , 55 , 118 , 22 , 0 , 18 , 194 , 67 , 0 , 0 , 45 , 4 , 4 , 53 , 18 , 0 , 7 , .291 , .362 , .478 , .839 , .380 , 123.6 , 3.86 , 1.49 
17,노시환,21한3B, 3.75 , 107 , 458 , 380 , 56 , 103 , 18 , 1 , 18 , 177 , 84 , 5 , 2 , 73 , 1 , 9 , 107 , 15 , 0 , 4 , .271 , .387 , .466 , .852 , .387 , 131.8 , 3.75 , 1.82 
18,최재훈,21한C, 3.67 , 116 , 467 , 375 , 52 , 103 , 21 , 0 , 7 , 145 , 44 , 3 , 2 , 71 , 13 , 2 , 68 , 16 , 5 , 3 , .275 , .405 , .387 , .791 , .376 , 124.6 , 3.67 , 1.03 
19,안치홍,21롯2B, 3.45 , 119 , 490 , 421 , 58 , 129 , 30 , 2 , 10 , 193 , 82 , 3 , 6 , 52 , 3 , 2 , 58 , 10 , 5 , 9 , .306 , .379 , .458 , .838 , .382 , 124.3 , 3.45 , 1.55 
20,김선빈,21K2B, 3.42 , 130 , 564 , 501 , 55 , 154 , 32 , 0 , 5 , 201 , 67 , 0 , 0 , 56 , 1 , 2 , 39 , 19 , 1 , 5 , .307 , .375 , .401 , .776 , .366 , 116.0 , 3.42 , 3.06 
21,박해민,21삼CF, 3.38 , 127 , 542 , 454 , 78 , 132 , 22 , 1 , 5 , 171 , 54 , 36 , 15 , 69 , 3 , 2 , 82 , 3 , 9 , 7 , .291 , .383 , .377 , .759 , .356 , 110.6 , 3.38 , 1.39 
22,박성한,21SSS, 3.34 , 135 , 471 , 407 , 53 , 123 , 21 , 1 , 4 , 158 , 44 , 12 , 5 , 49 , 1 , 0 , 73 , 1 , 12 , 2 , .302 , .377 , .388 , .765 , .356 , 110.3 , 3.34 , 1.40 
23,손아섭,21롯RF, 3.33 , 139 , 610 , 542 , 88 , 173 , 29 , 2 , 3 , 215 , 58 , 11 , 6 , 61 , 3 , 3 , 67 , 15 , 3 , 1 , .319 , .390 , .397 , .787 , .373 , 118.8 , 3.33 , 1.98 
24,김현수,21LLF, 3.31 , 140 , 595 , 506 , 70 , 144 , 23 , 1 , 17 , 220 , 97 , 3 , 0 , 77 , 3 , 5 , 42 , 7 , 0 , 9 , .285 , .377 , .435 , .811 , .375 , 128.3 , 3.31 , 3.02 
25,한동희,21롯3B, 3.28 , 129 , 496 , 424 , 54 , 113 , 24 , 0 , 17 , 188 , 69 , 0 , 1 , 61 , 6 , 1 , 95 , 21 , 1 , 4 , .267 , .364 , .443 , .807 , .373 , 119.0 , 3.28 , 0.85 
26,피렐라,21삼DH, 3.26 , 140 , 621 , 553 , 102 , 158 , 25 , 2 , 29 , 274 , 97 , 9 , 6 , 57 , 8 , 2 , 89 , 8 , 0 , 3 , .286 , .359 , .495 , .855 , .389 , 128.7 , 3.26 , 3.27 
27,최원준,21KRF, 3.14 , 143 , 668 , 589 , 82 , 174 , 21 , 6 , 4 , 219 , 44 , 40 , 13 , 61 , 11 , 0 , 68 , 7 , 4 , 3 , .295 , .371 , .372 , .742 , .354 , 108.6 , 3.14 , 1.24 
28,양석환,21두1B, 3.10 , 133 , 546 , 488 , 66 , 133 , 22 , 0 , 28 , 239 , 96 , 2 , 3 , 42 , 9 , 2 , 136 , 10 , 0 , 7 , .273 , .337 , .490 , .827 , .373 , 130.3 , 3.10 , 1.93 
29,이용규,21키LF, 3.10 , 133 , 547 , 459 , 88 , 136 , 16 , 8 , 1 , 171 , 43 , 16 , 2 , 71 , 5 , 2 , 46 , 5 , 6 , 6 , .296 , .392 , .373 , .764 , .363 , 112.7 , 3.10 , 1.73 
30,하주석,21한SS, 3.09 , 138 , 594 , 525 , 84 , 143 , 27 , 3 , 10 , 206 , 68 , 23 , 6 , 51 , 10 , 1 , 135 , 9 , 5 , 3 , .272 , .346 , .392 , .739 , .345 , 104.4 , 3.09 , -1.37 
31,박동원,21키C, 3.09 , 131 , 481 , 413 , 61 , 103 , 21 , 0 , 22 , 190 , 83 , 2 , 0 , 53 , 7 , 0 , 114 , 12 , 5 , 3 , .249 , .342 , .460 , .803 , .364 , 120.5 , 3.09 , 1.29 
32,페르난데스,21두DH, 3.07 , 141 , 617 , 540 , 73 , 170 , 24 , 0 , 15 , 239 , 81 , 0 , 2 , 65 , 6 , 3 , 35 , 25 , 0 , 6 , .315 , .391 , .443 , .833 , .389 , 136.6 , 3.07 , 1.20 
