순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
33,배정대,21KCF, 3.02 , 144 , 595 , 510 , 85 , 132 , 23 , 1 , 12 , 193 , 68 , 19 , 7 , 65 , 12 , 2 , 132 , 9 , 3 , 5 , .259 , .353 , .378 , .732 , .345 , 101.1 , 3.02 , -1.05 
34,황재균,21K3B, 2.93 , 117 , 507 , 453 , 74 , 132 , 16 , 2 , 10 , 182 , 56 , 11 , 4 , 46 , 3 , 1 , 92 , 11 , 1 , 4 , .291 , .358 , .402 , .760 , .356 , 108.4 , 2.93 , -0.32 
35,노진혁,21NSS, 2.90 , 107 , 384 , 330 , 41 , 95 , 22 , 0 , 8 , 141 , 58 , 1 , 1 , 42 , 5 , 0 , 90 , 3 , 4 , 3 , .288 , .374 , .427 , .801 , .372 , 120.4 , 2.90 , 0.75 
36,채은성,21LRF, 2.86 , 110 , 448 , 387 , 59 , 107 , 20 , 0 , 16 , 175 , 82 , 4 , 2 , 38 , 16 , 2 , 80 , 9 , 0 , 7 , .276 , .359 , .452 , .812 , .373 , 128.2 , 2.86 , 2.60 
37,서건창,21키L2B, 2.83 , 144 , 599 , 512 , 78 , 130 , 24 , 2 , 6 , 176 , 52 , 12 , 4 , 69 , 9 , 2 , 77 , 14 , 5 , 4 , .254 , .350 , .344 , .694 , .331 , 94.8 , 2.83 , 0.14 
38,오재일,21삼1B, 2.80 , 120 , 484 , 418 , 64 , 119 , 20 , 0 , 25 , 214 , 97 , 1 , 0 , 58 , 0 , 8 , 106 , 5 , 0 , 8 , .285 , .366 , .512 , .878 , .390 , 129.2 , 2.80 , 3.43 
39,마차도,21롯SS, 2.55 , 134 , 539 , 466 , 83 , 130 , 21 , 1 , 5 , 168 , 58 , 8 , 5 , 58 , 4 , 1 , 65 , 8 , 4 , 7 , .279 , .359 , .361 , .719 , .341 , 98.3 , 2.55 , -0.66 
40,정훈,21롯1B, 2.46 , 135 , 561 , 486 , 70 , 142 , 27 , 1 , 14 , 213 , 79 , 8 , 1 , 68 , 3 , 8 , 89 , 6 , 1 , 3 , .292 , .380 , .438 , .819 , .377 , 121.9 , 2.46 , 0.83 
41,최주환,21S2B, 2.36 , 116 , 470 , 406 , 50 , 104 , 16 , 0 , 18 , 174 , 67 , 2 , 1 , 53 , 9 , 4 , 84 , 7 , 0 , 2 , .256 , .353 , .429 , .782 , .361 , 111.2 , 2.36 , -0.51 
42,오지환,21LSS, 2.33 , 134 , 532 , 464 , 62 , 118 , 19 , 2 , 8 , 165 , 57 , 12 , 6 , 54 , 5 , 0 , 82 , 11 , 4 , 5 , .254 , .335 , .356 , .691 , .327 , 93.9 , 2.33 , -0.53 
43,유강남,21LC, 2.20 , 130 , 441 , 397 , 39 , 100 , 16 , 0 , 11 , 149 , 60 , 2 , 0 , 25 , 14 , 1 , 75 , 11 , 3 , 2 , .252 , .317 , .375 , .693 , .323 , 93.3 , 2.20 , -0.94 
44,최지훈,21SCF, 2.12 , 136 , 534 , 461 , 75 , 121 , 19 , 6 , 5 , 167 , 45 , 26 , 6 , 51 , 8 , 0 , 71 , 6 , 8 , 6 , .262 , .342 , .362 , .705 , .330 , 93.8 , 2.12 , -0.19 
45,허경민,21두3B, 2.07 , 136 , 518 , 468 , 61 , 130 , 24 , 1 , 5 , 171 , 59 , 5 , 7 , 36 , 8 , 1 , 35 , 21 , 3 , 3 , .278 , .338 , .365 , .703 , .332 , 96.8 , 2.07 , -0.83 
46,박계범,21두SS, 2.06 , 118 , 385 , 322 , 44 , 86 , 12 , 1 , 5 , 115 , 46 , 4 , 3 , 44 , 9 , 0 , 68 , 8 , 7 , 3 , .267 , .368 , .357 , .725 , .344 , 104.8 , 2.06 , 0.60 
47,김태연,21한3B, 1.91 , 53 , 220 , 176 , 29 , 53 , 12 , 0 , 3 , 74 , 34 , 5 , 3 , 34 , 5 , 0 , 44 , 4 , 0 , 5 , .301 , .418 , .420 , .839 , .397 , 138.8 , 1.91 , 1.99 
48,유한준,21KDH, 1.87 , 104 , 336 , 281 , 30 , 87 , 16 , 0 , 5 , 118 , 42 , 1 , 0 , 44 , 7 , 5 , 34 , 12 , 0 , 4 , .310 , .411 , .420 , .831 , .389 , 130.5 , 1.87 , 1.27 
49,심우준,21KSS, 1.74 , 139 , 460 , 407 , 61 , 109 , 20 , 2 , 6 , 151 , 48 , 16 , 6 , 32 , 4 , 0 , 65 , 2 , 10 , 6 , .268 , .323 , .371 , .694 , .318 , 83.3 , 1.74 , -0.16 
50,김인태,21두RF, 1.74 , 133 , 418 , 344 , 51 , 89 , 15 , 1 , 8 , 130 , 46 , 0 , 2 , 62 , 3 , 0 , 67 , 10 , 5 , 4 , .259 , .373 , .378 , .751 , .355 , 113.3 , 1.74 , 1.54 
51,장성우,21KC, 1.73 , 127 , 460 , 385 , 46 , 89 , 13 , 0 , 14 , 144 , 63 , 1 , 2 , 60 , 3 , 3 , 69 , 16 , 9 , 3 , .231 , .337 , .374 , .711 , .328 , 90.6 , 1.73 , 1.25 
52,김성현,21S2B, 1.65 , 110 , 274 , 237 , 27 , 67 , 15 , 0 , 6 , 100 , 37 , 5 , 2 , 29 , 0 , 0 , 29 , 8 , 4 , 4 , .283 , .356 , .422 , .778 , .357 , 109.8 , 1.65 , 1.24 
53,송우현,21키RF, 1.51 , 69 , 282 , 250 , 34 , 74 , 17 , 2 , 3 , 104 , 42 , 1 , 1 , 28 , 2 , 1 , 49 , 4 , 1 , 1 , .296 , .370 , .416 , .786 , .368 , 117.4 , 1.51 , 0.62 
54,이재원,21SC, 1.50 , 107 , 313 , 271 , 29 , 76 , 13 , 0 , 3 , 98 , 30 , 0 , 2 , 29 , 5 , 4 , 47 , 14 , 6 , 2 , .280 , .358 , .362 , .720 , .334 , 95.2 , 1.50 , 0.18 
55,박병호,21키1B, 1.47 , 118 , 477 , 409 , 48 , 93 , 23 , 0 , 20 , 176 , 76 , 0 , 1 , 47 , 14 , 3 , 141 , 9 , 0 , 7 , .227 , .323 , .430 , .753 , .343 , 106.4 , 1.47 , 0.01 
56,정수빈,21두CF, 1.47 , 104 , 351 , 313 , 50 , 81 , 19 , 4 , 3 , 117 , 37 , 12 , 7 , 29 , 3 , 1 , 50 , 7 , 4 , 2 , .259 , .326 , .374 , .700 , .325 , 91.6 , 1.47 , -0.07 
57,이명기,21NLF, 1.38 , 56 , 232 , 191 , 30 , 56 , 12 , 0 , 2 , 74 , 14 , 5 , 3 , 37 , 1 , 0 , 27 , 2 , 3 , 0 , .293 , .411 , .387 , .798 , .381 , 126.6 , 1.38 , 1.03 
58,권희동,21NLF, 1.32 , 55 , 171 , 133 , 25 , 35 , 3 , 0 , 8 , 62 , 26 , 2 , 0 , 29 , 5 , 1 , 24 , 4 , 1 , 3 , .263 , .406 , .466 , .872 , .400 , 136.7 , 1.32 , 0.63 
59,박석민,21N3B, 1.32 , 59 , 205 , 171 , 27 , 44 , 8 , 0 , 10 , 82 , 41 , 0 , 0 , 27 , 2 , 1 , 43 , 8 , 3 , 2 , .257 , .361 , .480 , .841 , .377 , 121.5 , 1.32 , 0.01 
60,류지혁,21K3B, 1.28 , 92 , 327 , 273 , 37 , 76 , 8 , 0 , 2 , 90 , 34 , 0 , 0 , 42 , 7 , 1 , 46 , 7 , 2 , 3 , .278 , .385 , .330 , .714 , .348 , 104.4 , 1.28 , -0.08 
61,이원석,21삼3B, 1.22 , 131 , 480 , 399 , 40 , 92 , 19 , 0 , 9 , 138 , 59 , 1 , 0 , 60 , 11 , 2 , 80 , 11 , 2 , 8 , .231 , .341 , .346 , .687 , .327 , 89.8 , 1.22 , -0.29 
62,박찬호,21KSS, 1.15 , 131 , 483 , 418 , 51 , 103 , 15 , 5 , 1 , 131 , 59 , 9 , 4 , 54 , 0 , 0 , 73 , 11 , 8 , 3 , .246 , .331 , .313 , .644 , .308 , 77.7 , 1.15 , 0.17 
63,김병희,21K3B, 1.15 , 34 , 69 , 51 , 16 , 15 , 3 , 0 , 5 , 33 , 13 , 3 , 0 , 13 , 3 , 0 , 14 , 0 , 2 , 0 , .294 , .463 , .647 , 1.110 , .476 , 189.8 , 1.15 , 1.10 
64,김헌곤,21삼LF, 1.14 , 118 , 364 , 317 , 38 , 89 , 8 , 2 , 4 , 113 , 27 , 5 , 4 , 34 , 5 , 0 , 46 , 9 , 3 , 5 , .281 , .355 , .356 , .711 , .338 , 98.1 , 1.14 , -1.03 
65,로맥,21S1B, 1.13 , 107 , 421 , 355 , 55 , 80 , 11 , 0 , 20 , 151 , 52 , 1 , 0 , 59 , 4 , 1 , 83 , 9 , 0 , 3 , .225 , .340 , .425 , .765 , .354 , 105.5 , 1.13 , -0.59 
66,이대호,21롯DH, 1.10 , 114 , 465 , 420 , 39 , 120 , 11 , 0 , 19 , 188 , 81 , 0 , 0 , 34 , 5 , 3 , 50 , 12 , 0 , 6 , .286 , .342 , .448 , .790 , .361 , 111.3 , 1.10 , 1.44 
67,문보경,21L1B, 1.06 , 107 , 329 , 278 , 37 , 64 , 11 , 1 , 8 , 101 , 39 , 3 , 1 , 46 , 0 , 1 , 64 , 5 , 3 , 2 , .230 , .337 , .363 , .701 , .329 , 97.1 , 1.06 , 0.79 
68,지시완,21롯C, 1.04 , 73 , 187 , 166 , 23 , 40 , 9 , 0 , 7 , 70 , 26 , 0 , 0 , 14 , 5 , 0 , 54 , 6 , 2 , 0 , .241 , .319 , .422 , .741 , .340 , 96.8 , 1.04 , 0.01 
69,조수행,21두CF, 1.01 , 115 , 104 , 84 , 34 , 24 , 2 , 1 , 1 , 31 , 8 , 21 , 4 , 16 , 3 , 0 , 26 , 1 , 1 , 0 , .286 , .418 , .369 , .787 , .381 , 128.1 , 1.01 , 0.48 
70,강승호,21두2B, 0.94 , 113 , 340 , 301 , 47 , 72 , 16 , 2 , 7 , 113 , 37 , 8 , 2 , 22 , 6 , 1 , 78 , 8 , 8 , 3 , .239 , .301 , .375 , .677 , .307 , 81.8 , 0.94 , -0.93 
71,송성문,21키3B, 0.94 , 66 , 274 , 245 , 30 , 61 , 10 , 1 , 6 , 91 , 33 , 0 , 0 , 25 , 1 , 0 , 42 , 2 , 2 , 1 , .249 , .320 , .371 , .691 , .323 , 90.2 , 0.94 , 0.26 
72,이형종,21LDH, 0.93 , 90 , 281 , 239 , 32 , 52 , 11 , 0 , 10 , 93 , 34 , 3 , 1 , 34 , 7 , 1 , 65 , 10 , 1 , 0 , .218 , .332 , .389 , .721 , .338 , 104.8 , 0.93 , -2.58 
73,안중열,21롯C, 0.92 , 58 , 157 , 125 , 19 , 29 , 5 , 0 , 3 , 43 , 16 , 0 , 0 , 27 , 1 , 0 , 25 , 1 , 3 , 1 , .232 , .370 , .344 , .714 , .341 , 98.7 , 0.92 , 0.36 
74,김지찬,21삼SS, 0.90 , 120 , 336 , 296 , 50 , 81 , 6 , 0 , 1 , 90 , 26 , 23 , 4 , 27 , 0 , 0 , 31 , 0 , 10 , 3 , .274 , .331 , .304 , .635 , .300 , 73.4 , 0.90 , 0.08 
75,김강민,21SCF, 0.88 , 122 , 260 , 223 , 43 , 53 , 12 , 1 , 8 , 91 , 27 , 3 , 3 , 25 , 6 , 1 , 52 , 3 , 3 , 3 , .238 , .327 , .408 , .735 , .336 , 95.1 , 0.88 , -0.65 
76,김민혁,21KLF, 0.87 , 75 , 198 , 171 , 22 , 54 , 6 , 2 , 1 , 67 , 13 , 6 , 3 , 20 , 2 , 0 , 27 , 3 , 5 , 0 , .316 , .394 , .392 , .786 , .367 , 115.7 , 0.87 , 0.14 
77,김민성,21L3B, 0.83 , 121 , 426 , 360 , 35 , 80 , 22 , 0 , 8 , 126 , 39 , 3 , 3 , 42 , 8 , 2 , 73 , 7 , 11 , 5 , .222 , .313 , .350 , .663 , .305 , 80.7 , 0.83 , -0.60 
78,박민우,21N2B, 0.83 , 50 , 215 , 180 , 30 , 47 , 5 , 3 , 1 , 61 , 18 , 12 , 3 , 22 , 7 , 0 , 23 , 4 , 4 , 2 , .261 , .360 , .339 , .699 , .333 , 94.8 , 0.83 , -0.50 
79,터커,21KLF, 0.81 , 127 , 539 , 468 , 42 , 111 , 24 , 1 , 9 , 164 , 59 , 0 , 0 , 61 , 8 , 1 , 66 , 12 , 0 , 2 , .237 , .334 , .350 , .684 , .327 , 91.0 , 0.81 , 0.02 
80,오태곤,21S1B, 0.81 , 122 , 253 , 235 , 47 , 63 , 10 , 0 , 9 , 100 , 35 , 9 , 4 , 14 , 2 , 0 , 52 , 4 , 1 , 1 , .268 , .314 , .426 , .739 , .339 , 97.0 , 0.81 , -0.33 
81,오윤석,21롯K2B, 0.80 , 98 , 198 , 164 , 23 , 40 , 11 , 0 , 4 , 63 , 16 , 4 , 0 , 27 , 2 , 1 , 47 , 4 , 5 , 0 , .244 , .358 , .384 , .742 , .343 , 99.2 , 0.80 , -1.60 
82,최정원,21N2B, 0.80 , 72 , 238 , 212 , 40 , 60 , 4 , 2 , 0 , 68 , 8 , 10 , 7 , 18 , 4 , 0 , 40 , 0 , 4 , 0 , .283 , .350 , .321 , .671 , .322 , 88.4 , 0.80 , -0.60 
83,안재석,21두SS, 0.79 , 96 , 224 , 200 , 28 , 51 , 8 , 2 , 2 , 69 , 14 , 1 , 0 , 16 , 4 , 0 , 53 , 4 , 0 , 4 , .255 , .317 , .345 , .662 , .314 , 83.8 , 0.79 , -1.02 
84,김웅빈,21키3B, 0.78 , 97 , 278 , 231 , 23 , 55 , 13 , 1 , 5 , 85 , 34 , 1 , 1 , 34 , 9 , 2 , 73 , 2 , 2 , 2 , .238 , .355 , .368 , .723 , .341 , 101.6 , 0.78 , 0.26 
85,이성곤,21삼한1B, 0.77 , 62 , 208 , 174 , 17 , 46 , 12 , 2 , 1 , 65 , 24 , 1 , 3 , 29 , 3 , 0 , 53 , 4 , 1 , 1 , .264 , .377 , .374 , .750 , .359 , 113.7 , 0.77 , -0.88 
86,호잉,21KRF, 0.76 , 68 , 294 , 259 , 32 , 62 , 11 , 1 , 11 , 108 , 52 , 5 , 2 , 26 , 4 , 2 , 52 , 2 , 0 , 5 , .239 , .313 , .417 , .730 , .332 , 93.5 , 0.76 , -0.01 
87,김재유,21롯CF, 0.76 , 87 , 192 , 174 , 27 , 50 , 8 , 0 , 1 , 61 , 18 , 7 , 0 , 10 , 4 , 0 , 36 , 1 , 4 , 0 , .287 , .340 , .351 , .691 , .325 , 87.4 , 0.76 , 0.46 
88,김주원,21NSS, 0.73 , 69 , 189 , 166 , 20 , 40 , 7 , 1 , 5 , 64 , 16 , 6 , 2 , 17 , 2 , 0 , 57 , 5 , 2 , 2 , .241 , .316 , .386 , .701 , .324 , 87.8 , 0.73 , -0.58 
89,페레즈,21한1B, 0.69 , 59 , 252 , 225 , 26 , 60 , 15 , 1 , 5 , 92 , 33 , 4 , 5 , 17 , 4 , 0 , 52 , 4 , 0 , 6 , .267 , .321 , .409 , .730 , .337 , 98.6 , 0.69 , -0.50 
90,추재현,21롯CF, 0.64 , 95 , 300 , 262 , 37 , 66 , 15 , 0 , 5 , 96 , 26 , 4 , 3 , 26 , 7 , 0 , 57 , 3 , 5 , 0 , .252 , .336 , .366 , .702 , .329 , 90.1 , 0.64 , -0.53 
91,김태진,21K3B, 0.64 , 99 , 414 , 381 , 43 , 105 , 12 , 5 , 1 , 130 , 36 , 8 , 5 , 23 , 0 , 1 , 64 , 7 , 6 , 4 , .276 , .314 , .341 , .655 , .305 , 76.0 , 0.64 , -0.62 
92,김태군,21NC, 0.63 , 102 , 276 , 232 , 23 , 51 , 7 , 0 , 7 , 79 , 24 , 0 , 1 , 21 , 11 , 0 , 30 , 4 , 9 , 3 , .220 , .311 , .341 , .651 , .301 , 72.8 , 0.63 , -0.39 
93,김민식,21KC, 0.62 , 100 , 301 , 250 , 30 , 55 , 8 , 0 , 3 , 72 , 26 , 0 , 0 , 41 , 4 , 1 , 49 , 2 , 3 , 3 , .220 , .336 , .288 , .624 , .305 , 75.7 , 0.62 , -0.34 
94,이흥련,21SC, 0.60 , 90 , 146 , 127 , 15 , 30 , 3 , 0 , 3 , 42 , 14 , 0 , 0 , 12 , 5 , 0 , 31 , 4 , 2 , 0 , .236 , .326 , .331 , .657 , .314 , 80.7 , 0.60 , -0.02 
95,한승택,21KC, 0.59 , 82 , 239 , 203 , 17 , 44 , 7 , 0 , 3 , 60 , 16 , 0 , 0 , 28 , 3 , 0 , 61 , 6 , 5 , 0 , .217 , .321 , .296 , .616 , .297 , 70.2 , 0.59 , -1.16 
96,라모스,21L1B, 0.58 , 51 , 205 , 185 , 14 , 45 , 7 , 1 , 8 , 78 , 25 , 0 , 0 , 18 , 2 , 0 , 43 , 2 , 0 , 0 , .243 , .317 , .422 , .739 , .341 , 107.1 , 0.58 , -0.15 
97,알몬테,21KLF, 0.57 , 60 , 249 , 224 , 18 , 61 , 9 , 0 , 7 , 91 , 36 , 1 , 0 , 22 , 1 , 0 , 49 , 9 , 0 , 2 , .272 , .337 , .406 , .744 , .347 , 102.5 , 0.57 , -0.46 
98,장승현,21두C, 0.57 , 92 , 211 , 177 , 18 , 41 , 10 , 0 , 2 , 57 , 27 , 0 , 0 , 19 , 8 , 0 , 50 , 2 , 6 , 1 , .232 , .332 , .322 , .654 , .310 , 82.3 , 0.57 , -0.40 
99,최용제,21두C, 0.54 , 79 , 119 , 104 , 7 , 29 , 3 , 0 , 0 , 32 , 15 , 0 , 0 , 11 , 2 , 0 , 21 , 0 , 1 , 1 , .279 , .356 , .308 , .664 , .324 , 89.2 , 0.54 , 0.50 
100,송민섭,21KRF, 0.46 , 122 , 64 , 47 , 39 , 11 , 0 , 0 , 0 , 11 , 7 , 15 , 1 , 12 , 0 , 0 , 21 , 0 , 5 , 0 , .234 , .390 , .234 , .624 , .303 , 73.1 , 0.46 , 0.35 
101,전병우,21키3B, 0.44 , 114 , 260 , 213 , 35 , 40 , 8 , 0 , 6 , 66 , 31 , 3 , 1 , 33 , 9 , 0 , 82 , 0 , 4 , 1 , .188 , .320 , .310 , .630 , .304 , 78.4 , 0.44 , -0.20 
102,박준영,21N3B, 0.43 , 111 , 315 , 273 , 37 , 57 , 7 , 2 , 8 , 92 , 31 , 4 , 3 , 27 , 10 , 0 , 92 , 9 , 3 , 2 , .209 , .301 , .337 , .638 , .302 , 73.0 , 0.43 , -2.04 
103,정주현,21L2B, 0.43 , 73 , 214 , 181 , 26 , 43 , 7 , 1 , 3 , 61 , 10 , 3 , 3 , 24 , 0 , 0 , 32 , 4 , 9 , 0 , .238 , .327 , .337 , .664 , .306 , 79.7 , 0.43 , -0.70 
104,권동진,21KSS, 0.42 , 86 , 85 , 66 , 21 , 17 , 5 , 0 , 1 , 25 , 6 , 3 , 3 , 18 , 0 , 0 , 30 , 0 , 1 , 0 , .258 , .417 , .379 , .796 , .382 , 124.9 , 0.42 , -0.03 
