순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
326,김재혁,22삼LF, -0.013 , 12 ,9.0,82.1, 17 , 15 ,2.0,0.0, 1.000 , 1.86 ,0.3,-0.11, 0.00 , 0.00 ,0.06,0.25, 3.63 , -0.37 ,-0.12,0.026
327,허관회,22한C, -0.013 , 5 ,1.0,13.0, 14 , 13 ,1.0,0.0, 1.000 , 9.69 ,0.0,0.0, -0.18 , -0.08 ,0.02,-0.24, -21.82 , 0.11 ,-0.13,-0.025
328,박유연,22두C, -0.014 , 10 ,2.0,32.0, 32 , 29 ,3.0,0.0, 1.000 , 9.00 ,0.0,0.0, -0.18 , -0.27 ,0.05,-0.4, -14.88 , 0.26 ,-0.13,-0.041
329,박준영,22한P, -0.014 , 5 ,2.0,11.0, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.17,0.0, 0.00 , 0.01 ,0.03,-0.13, -14.59 , 0.00 ,-0.13,-0.014
330,김영준,22LP, -0.014 , 2 ,2.0,9.2, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.17,0.0, 0.00 , 0.00 ,0.02,-0.14, -17.08 , 0.00 ,-0.14,-0.014
331,허경민,22두3B, -0.015 , 120 ,117.0,978.1, 280 , 111 ,159.0,10.0, .964 , 2.48 ,-2.68,0.0, 0.00 , 0.00 ,0.91,-1.78, -2.17 , 1.63 ,-0.14,-0.182
332,백승현,22LP, -0.015 , 12 ,0.0,10.0, 5 , 2 ,3.0,0.0, 1.000 , 4.50 ,-0.17,0.0, 0.00 , 0.00 ,0.02,-0.14, -17.30 , 0.00 ,-0.14,-0.015
333,김윤수,22삼P, -0.015 , 37 ,1.0,35.0, 6 , 2 ,3.0,1.0, .833 , 1.29 ,0.22,0.0, 0.00 , -0.25 ,-0.11,-0.15, -4.99 , 0.00 ,-0.15,-0.015
334,주권,22KP, -0.016 , 58 ,0.0,50.2, 7 , 2 ,5.0,0.0, 1.000 , 1.24 ,-0.3,0.0, 0.00 , 0.03 ,0.13,-0.15, -3.59 , 0.00 ,-0.15,-0.016
335,송윤준,22한P, -0.016 , 3 ,0.0,4.1, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.17,0.0, 0.00 , 0.00 ,0.01,-0.15, -42.39 , 0.00 ,-0.15,-0.016
336,김동엽,22삼LF, -0.016 , 9 ,5.0,45.0, 11 , 11 ,0.0,0.0, 1.000 , 2.20 ,0.46,-0.42, 0.00 , 0.00 ,0.03,0.07, 1.80 , -0.22 ,-0.15,0.007
337,조용호,22KRF, -0.016 , 126 ,122.0,986.2, 205 , 196 ,9.0,0.0, 1.000 , 1.87 ,3.13,0.89, 0.00 , 0.00 ,0.75,4.76, 5.78 , -4.92 ,-0.16,0.491
338,노건우,22삼P, -0.017 , 3 ,0.0,2.0, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.17,0.0, 0.00 , 0.00 ,0.0,-0.16, -95.92 , 0.00 ,-0.16,-0.017
339,허인서,22한C, -0.017 , 8 ,4.0,43.0, 35 , 33 ,1.0,1.0, .971 , 7.12 ,0.0,0.0, -0.15 , -0.22 ,-0.14,-0.51, -14.18 , 0.35 ,-0.16,-0.054
