팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
한화,정진호,-0.09999999999999998,163,493,427,39,111,23,1,2,142,34,13,8,44,4,2,72,10,14,0.505,0.649,0.645,1.293,0.597,144.5,-0.09999999999999998,-1.5699999999999998
한화,조한민,-0.020000000000000004,77,197,177,22,36,10,2,5,65,20,3,2,13,4,0,79,4,1,0.41700000000000004,0.528,0.694,1.222,0.56,121.1,-0.020000000000000004,-1.17
한화,최인호,-0.45999999999999996,96,299,263,25,58,6,0,4,76,31,2,1,28,3,0,77,4,1,0.44199999999999995,0.5900000000000001,0.5740000000000001,1.165,0.558,119.6,-0.45999999999999996,-1.9
한화,최재훈,8.22,356,1293,1078,136,286,54,0,15,385,110,4,3,144,50,2,177,40,15,0.799,1.127,1.072,2.198,1.042,323.1,8.22,0.22999999999999998
한화,최진행,-0.08,84,240,214,23,50,5,0,8,79,30,0,0,18,5,0,59,11,0,0.234,0.304,0.369,0.673,0.309,78.1,-0.08,-0.59
한화,터크먼,4.98,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,0.289,0.366,0.43,0.795,0.365,126.8,4.98,0.8
한화,페레즈,0.69,59,252,225,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,0.267,0.321,0.409,0.73,0.337,98.6,0.69,-0.5
한화,하주석,5.3,335,1358,1231,156,333,56,5,17,450,158,47,13,95,15,2,327,16,9,0.817,0.979,1.085,2.065,0.96,269.9,5.3,-2.08
한화,허관회,-0.16,28,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,0.19,0.329,0.19,0.52,0.277,58.2,-0.16,-0.57
한화,호잉,-0.55,34,134,124,12,24,4,0,4,40,14,5,3,9,1,0,34,4,0,0.194,0.254,0.323,0.576,0.265,48.8,-0.55,-0.5
한화,힐리,0.35,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,0.257,0.306,0.394,0.7,0.325,91.0,0.35,-0.57
