순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
18,최지훈,20SRF, 0.667 , 3 ,118.0,1007.1, 269 , 257 ,8.0,4.0, .985 , 2.37 ,6.63,3.07, 0.00 , 0.00 ,-0.25,9.45, 11.23 , -2.47 ,6.98,0.903
19,박세혁,20두C, 0.649 , 3 ,105.0,881.2, 798 , 752 ,38.0,8.0, .990 , 8.06 ,-0.45,0.0, -1.62 , 1.32 ,-0.35,-1.1, -1.50 , 7.97 ,6.86,-0.104
20,정수빈,20두CF, 0.640 , 3 ,132.0,1161.2, 336 , 328 ,7.0,1.0, .997 , 2.60 ,3.8,0.52, 0.00 , 0.00 ,0.36,4.68, 4.82 , 2.11 ,6.79,0.44
21,김민식,20KC, 0.633 , 1 ,53.0,470.1, 417 , 365 ,50.0,2.0, .995 , 7.94 ,1.09,0.0, 1.77 , -0.74 ,0.27,2.4, 6.10 , 4.21 ,6.61,0.229
22,박동원,20키C, 0.574 , 3 ,75.0,641.1, 503 , 461 ,36.0,6.0, .988 , 6.98 ,0.25,0.0, -0.15 , 0.44 ,-0.29,0.25, 0.47 , 5.85 ,6.1,0.024
23,이재원,20SC, 0.571 , 3 ,65.0,545.1, 461 , 422 ,36.0,3.0, .994 , 7.56 ,-0.54,0.0, 1.53 , -0.09 ,0.18,1.07, 2.36 , 4.86 ,5.94,0.103
24,김준태,20롯C, 0.544 , 2 ,84.0,793.0, 676 , 615 ,54.0,7.0, .990 , 7.59 ,0.74,0.0, -2.00 , 0.09 ,-0.27,-1.43, -2.17 , 7.17 ,5.74,-0.136
25,김재호,20두SS, 0.533 , 3 ,112.0,960.2, 438 , 137 ,288.0,13.0, .970 , 3.98 ,0.13,0.0, 0.00 , 0.00 ,0.28,0.41, 0.51 , 5.23 ,5.65,0.039
26,김선빈,20K2B, 0.488 , 2 ,79.0,621.1, 373 , 157 ,213.0,3.0, .992 , 5.36 ,3.22,0.0, 0.00 , 0.00 ,0.84,4.06, 7.82 , 1.13 ,5.2,0.381
27,송민섭,20KLF, 0.441 , 2 ,1.0,217.0, 54 , 50 ,4.0,0.0, 1.000 , 2.24 ,1.73,3.71, 0.00 , 0.00 ,0.12,5.56, 30.68 , -0.90 ,4.66,0.527
28,노진혁,20NSS, 0.427 , 4 ,119.0,1005.0, 477 , 182 ,286.0,9.0, .981 , 4.19 ,-1.96,0.0, 0.00 , 0.00 ,1.22,-0.75, -0.89 , 5.30 ,4.55,-0.07
29,전병우,20키3B, 0.427 , 3 ,96.0,864.1, 377 , 198 ,170.0,9.0, .976 , 3.83 ,3.75,0.0, 0.00 , 0.00 ,0.61,4.36, 6.04 , 0.13 ,4.49,0.415
30,한승택,20KC, 0.425 , 3 ,70.0,597.0, 588 , 550 ,35.0,3.0, .995 , 8.82 ,-0.44,0.0, -0.33 , -0.40 ,0.25,-0.91, -1.83 , 5.39 ,4.47,-0.087
31,김강민,20SCF, 0.424 , 3 ,69.0,658.1, 216 , 207 ,7.0,2.0, .991 , 2.93 ,1.13,2.24, 0.00 , 0.00 ,-0.08,3.29, 5.98 , 1.19 ,4.48,0.312
32,이학주,20삼SS, 0.404 , 3 ,57.0,483.1, 273 , 108 ,161.0,4.0, .985 , 5.01 ,0.98,0.0, 0.00 , 0.00 ,0.65,1.63, 4.03 , 2.61 ,4.24,0.155
33,김규성,20K2B, 0.401 , 3 ,49.0,486.0, 292 , 118 ,168.0,6.0, .980 , 5.30 ,2.9,0.0, 0.00 , 0.00 ,0.04,2.94, 7.25 , 1.24 ,4.19,0.282
34,허경민,20두3B, 0.400 , 3 ,113.0,987.0, 310 , 103 ,198.0,9.0, .971 , 2.75 ,0.83,0.0, 0.00 , 0.00 ,1.22,2.05, 2.49 , 2.23 ,4.28,0.192
35,이지영,20키C, 0.388 , 3 ,50.0,440.2, 381 , 362 ,15.0,4.0, .990 , 7.70 ,-0.02,0.0, -0.03 , 0.33 ,-0.17,0.11, 0.30 , 4.00 ,4.11,0.01
36,구본혁,20L3B, 0.387 , 3 ,17.0,381.1, 159 , 41 ,113.0,5.0, .969 , 3.64 ,2.89,0.0, 0.00 , 0.00 ,0.08,2.97, 9.32 , 1.11 ,4.08,0.282
37,서건창,20키2B, 0.382 , 3 ,52.0,440.2, 272 , 124 ,145.0,3.0, .989 , 5.49 ,2.84,0.0, 0.00 , 0.00 ,0.42,3.26, 8.87 , 0.80 ,4.07,0.307
38,구자욱,20삼LF, 0.370 , 2 ,101.0,835.0, 214 , 205 ,7.0,2.0, .991 , 2.29 ,6.84,1.62, 0.00 , 0.00 ,0.08,8.54, 12.25 , -4.59 ,3.95,0.799
39,반즈,20한1B, 0.360 , 1 ,71.0,626.1, 372 , 335 ,33.0,4.0, .989 , 5.29 ,6.8,1.29, 0.00 , 0.00 ,-0.11,7.99, 15.26 , -4.18 ,3.81,0.756
40,지석훈,20N3B, 0.349 , 2 ,35.0,382.2, 185 , 72 ,108.0,5.0, .973 , 4.23 ,2.61,0.0, 0.00 , 0.00 ,0.07,2.68, 8.39 , 0.99 ,3.67,0.255
41,최정,20S3B, 0.342 , 3 ,118.0,987.2, 257 , 76 ,170.0,11.0, .957 , 2.24 ,1.03,0.0, 0.00 , 0.00 ,0.83,1.86, 2.25 , 1.82 ,3.68,0.172
42,이정후,20키RF, 0.340 , 3 ,127.0,1094.1, 284 , 271 ,10.0,3.0, .989 , 2.31 ,6.23,1.37, 0.00 , 0.00 ,0.02,7.63, 8.34 , -3.96 ,3.66,0.708
43,김태군,20NC, 0.324 , 4 ,34.0,335.1, 319 , 297 ,19.0,3.0, .991 , 8.48 ,0.49,0.0, 0.19 , -0.18 ,-0.12,0.38, 1.37 , 3.04 ,3.43,0.036
44,김준완,20NRF, 0.321 , 2 ,16.0,176.0, 50 , 46 ,4.0,0.0, 1.000 , 2.56 ,0.63,3.22, 0.00 , 0.00 ,0.1,3.94, 26.80 , -0.57 ,3.37,0.376
45,정보근,20롯C, 0.319 , 2 ,57.0,416.1, 379 , 349 ,28.0,2.0, .995 , 8.15 ,-1.09,0.0, 0.34 , 0.16 ,0.19,-0.4, -1.14 , 3.72 ,3.32,-0.038
46,김성욱,20NRF, 0.298 , 4 ,41.0,472.1, 121 , 118 ,3.0,0.0, 1.000 , 2.31 ,2.93,1.81, 0.00 , 0.00 ,0.27,5.01, 12.69 , -1.87 ,3.13,0.476
47,김성현,20SSS, 0.296 , 3 ,113.0,936.2, 503 , 197 ,296.0,10.0, .980 , 4.74 ,-1.46,0.0, 0.00 , 0.00 ,0.6,-0.86, -1.10 , 3.97 ,3.11,-0.082
48,양석환,20L3B, 0.287 , 1 ,37.0,293.0, 170 , 129 ,37.0,4.0, .977 , 5.10 ,3.96,0.0, 0.00 , 0.00 ,-0.09,3.87, 15.80 , -0.86 ,3.01,0.369
49,최항,20S2B, 0.283 , 2 ,37.0,320.0, 193 , 85 ,105.0,3.0, .985 , 5.34 ,2.26,0.0, 0.00 , 0.00 ,0.16,2.42, 9.04 , 0.57 ,2.99,0.229
50,박승규,20삼RF, 0.278 , 3 ,46.0,440.0, 118 , 115 ,3.0,0.0, 1.000 , 2.41 ,3.01,0.86, 0.00 , 0.00 ,0.24,4.12, 11.20 , -1.19 ,2.92,0.392
51,김민성,20L3B, 0.253 , 2 ,79.0,639.2, 152 , 45 ,102.0,5.0, .967 , 2.07 ,0.55,0.0, 0.00 , 0.00 ,0.96,1.51, 2.83 , 1.16 ,2.67,0.143
52,정상호,20두C, 0.241 , 3 ,25.0,223.1, 209 , 192 ,15.0,2.0, .990 , 8.34 ,1.09,0.0, -0.51 , 0.01 ,-0.08,0.51, 2.73 , 1.99 ,2.5,0.049
53,임병욱,20키CF, 0.223 , 2 ,12.0,91.0, 23 , 20 ,2.0,1.0, .957 , 2.18 ,1.3,1.04, 0.00 , 0.00 ,-0.16,2.18, 28.70 , 0.16 ,2.35,0.208
54,김지찬,20삼2B, 0.213 , 3 ,67.0,656.2, 339 , 137 ,192.0,10.0, .971 , 4.51 ,0.54,0.04, 0.00 , 0.00 ,-0.33,0.25, 0.46 , 1.99 ,2.24,0.024
55,김형준,20NC, 0.200 , 3 ,13.0,164.1, 153 , 142 ,10.0,1.0, .994 , 8.33 ,0.41,0.0, 0.49 , -0.30 ,0.03,0.63, 4.58 , 1.50 ,2.13,0.059
56,주효상,20키C, 0.199 , 2 ,19.0,191.1, 172 , 154 ,14.0,4.0, .977 , 7.90 ,0.21,0.0, 0.48 , 0.21 ,-0.53,0.37, 2.33 , 1.73 ,2.1,0.035
57,소형준,20KP, 0.199 , 2 ,24.0,133.0, 25 , 8 ,17.0,0.0, 1.000 , 1.69 ,1.75,0.0, 0.00 , 0.09 ,0.27,2.1, 18.92 , 0.00 ,2.1,0.199
58,황재균,20K3B, 0.197 , 3 ,129.0,1125.0, 341 , 114 ,214.0,13.0, .962 , 2.62 ,-0.66,0.0, 0.00 , 0.00 ,0.83,0.17, 0.18 , 1.95 ,2.12,0.016
59,오재원,20두2B, 0.197 , 2 ,33.0,367.2, 207 , 91 ,111.0,5.0, .976 , 4.95 ,1.65,0.0, 0.00 , 0.00 ,-0.15,1.5, 4.88 , 0.58 ,2.08,0.142
60,김응민,20삼C, 0.196 , 3 ,21.0,212.1, 177 , 167 ,8.0,2.0, .989 , 7.42 ,0.17,0.0, -0.16 , 0.23 ,-0.1,0.15, 0.82 , 1.91 ,2.05,0.014
61,박성한,20SSS, 0.192 , 1 ,29.0,258.0, 138 , 63 ,71.0,4.0, .971 , 4.67 ,0.66,0.0, 0.00 , 0.00 ,-0.03,0.63, 2.93 , 1.39 ,2.02,0.06
62,가뇽,20KP, 0.185 , 2 ,28.0,159.2, 26 , 8 ,18.0,0.0, 1.000 , 1.47 ,1.53,0.0, 0.00 , 0.11 ,0.32,1.96, 14.67 , 0.00 ,1.96,0.185
63,노시환,20한3B, 0.183 , 2 ,90.0,785.0, 260 , 99 ,148.0,13.0, .950 , 2.83 ,0.3,0.0, 0.00 , 0.00 ,-0.22,0.09, 0.13 , 1.85 ,1.93,0.008
64,이현석,20SC, 0.182 , 3 ,28.0,283.1, 226 , 202 ,22.0,2.0, .991 , 7.12 ,0.11,0.0, -0.29 , -0.46 ,0.0,-0.64, -2.72 , 2.55 ,1.9,-0.061
65,이흥련,20두SC, 0.178 , 2 ,35.0,302.1, 287 , 267 ,17.0,3.0, .990 , 8.45 ,0.01,0.0, -0.45 , -0.25 ,-0.17,-0.86, -3.39 , 2.73 ,1.87,-0.081
66,정우영,20LP, 0.172 , 3 ,0.0,75.0, 27 , 7 ,20.0,0.0, 1.000 , 3.24 ,1.63,0.0, 0.00 , 0.05 ,0.15,1.83, 29.17 , 0.00 ,1.83,0.172
67,윌슨,20LP, 0.168 , 3 ,25.0,144.2, 39 , 15 ,24.0,0.0, 1.000 , 2.43 ,1.39,0.0, 0.00 , 0.10 ,0.29,1.78, 14.71 , 0.00 ,1.78,0.168
68,백용환,20KC, 0.157 , 2 ,20.0,199.0, 169 , 158 ,8.0,3.0, .982 , 7.51 ,0.01,0.0, 0.19 , -0.03 ,-0.32,-0.15, -0.89 , 1.81 ,1.66,-0.014
69,이성우,20LC, 0.156 , 3 ,20.0,236.0, 211 , 198 ,12.0,1.0, .995 , 8.01 ,-0.45,0.0, -0.57 , 0.40 ,0.14,-0.49, -2.47 , 2.14 ,1.65,-0.046
70,이해창,20한C, 0.154 , 2 ,33.0,298.0, 276 , 251 ,21.0,4.0, .986 , 8.22 ,0.04,0.0, -0.47 , -0.27 ,-0.38,-1.08, -4.33 , 2.71 ,1.63,-0.102
71,오선진,20한SS, 0.153 , 3 ,44.0,503.1, 206 , 67 ,135.0,4.0, .981 , 3.61 ,-0.79,0.0, 0.00 , 0.00 ,0.65,-0.14, -0.33 , 1.75 ,1.61,-0.013
72,임찬규,20LP, 0.152 , 2 ,26.0,147.2, 25 , 10 ,15.0,0.0, 1.000 , 1.52 ,1.21,0.0, 0.00 , 0.10 ,0.3,1.6, 13.00 , 0.00 ,1.6,0.152
73,홍종표,20K2B, 0.151 , 1 ,20.0,192.2, 128 , 57 ,71.0,0.0, 1.000 , 5.98 ,0.78,0.0, 0.00 , 0.00 ,0.45,1.23, 7.63 , 0.35 ,1.57,0.117
74,황윤호,20K3B, 0.141 , 2 ,17.0,160.1, 58 , 9 ,45.0,4.0, .931 , 3.03 ,1.5,0.0, 0.00 , 0.00 ,-0.32,1.19, 8.85 , 0.29 ,1.48,0.113
75,박석민,20N3B, 0.137 , 3 ,103.0,825.2, 229 , 76 ,139.0,14.0, .939 , 2.34 ,0.22,0.0, 0.00 , 0.00 ,-0.27,-0.05, -0.07 , 1.52 ,1.47,-0.005
76,박종훈,20SP, 0.132 , 3 ,28.0,157.1, 23 , 5 ,18.0,0.0, 1.000 , 1.32 ,0.98,0.0, 0.00 , 0.10 ,0.31,1.4, 10.65 , 0.00 ,1.4,0.132
77,브리검,20키P, 0.129 , 2 ,21.0,107.0, 26 , 5 ,20.0,1.0, .962 , 2.10 ,1.28,0.0, 0.00 , 0.07 ,0.01,1.36, 15.23 , 0.00 ,1.36,0.129
78,우규민,20삼P, 0.128 , 2 ,0.0,48.0, 14 , 2 ,12.0,0.0, 1.000 , 2.63 ,1.23,0.0, 0.00 , 0.03 ,0.1,1.35, 33.75 , 0.00 ,1.35,0.128
79,서준원,20롯P, 0.127 , 2 ,20.0,107.2, 29 , 11 ,17.0,1.0, .966 , 2.34 ,1.26,0.0, 0.00 , 0.07 ,0.02,1.35, 14.95 , 0.00 ,1.35,0.127
80,신본기,20롯3B, 0.127 , 2 ,21.0,293.2, 115 , 33 ,80.0,2.0, .983 , 3.46 ,0.1,0.0, 0.00 , 0.00 ,0.43,0.52, 2.13 , 0.81 ,1.34,0.05
81,장준원,20L3B, 0.125 , 2 ,18.0,186.0, 51 , 19 ,31.0,1.0, .980 , 2.42 ,0.64,0.0, 0.00 , 0.00 ,0.35,1.0, 6.42 , 0.32 ,1.32,0.095
82,신민재,20LCF, 0.124 , 1 ,3.0,90.0, 32 , 28 ,4.0,0.0, 1.000 , 3.20 ,1.16,-0.09, 0.00 , 0.00 ,0.08,1.15, 15.32 , 0.16 ,1.32,0.109
83,노경은,20롯P, 0.102 , 2 ,24.0,133.0, 25 , 6 ,18.0,1.0, .960 , 1.62 ,0.93,0.0, 0.00 , 0.09 ,0.07,1.08, 9.73 , 0.00 ,1.08,0.102
84,알칸타라,20두P, 0.100 , 2 ,31.0,198.2, 24 , 1 ,23.0,0.0, 1.000 , 1.09 ,0.53,0.0, 0.00 , 0.13 ,0.4,1.06, 6.39 , 0.00 ,1.06,0.1
85,김민수,20삼C, 0.100 , 2 ,7.0,68.0, 59 , 54 ,5.0,0.0, 1.000 , 7.81 ,0.14,0.0, 0.11 , 0.09 ,0.1,0.43, 7.64 , 0.61 ,1.04,0.041
86,김헌곤,20삼RF, 0.097 , 3 ,67.0,615.0, 182 , 176 ,5.0,1.0, .995 , 2.65 ,2.41,1.61, 0.00 , 0.00 ,0.16,4.17, 8.12 , -3.15 ,1.02,0.398
87,최원태,20키P, 0.096 , 2 ,21.0,110.0, 25 , 6 ,19.0,0.0, 1.000 , 2.05 ,0.73,0.0, 0.00 , 0.07 ,0.22,1.02, 11.09 , 0.00 ,1.02,0.096
88,문동욱,20한P, 0.095 , 1 ,0.0,18.0, 7 , 1 ,6.0,0.0, 1.000 , 3.50 ,0.96,0.0, 0.00 , 0.01 ,0.04,1.01, 67.10 , 0.00 ,1.01,0.095
89,백승현,20L3B, 0.094 , 3 ,11.0,112.0, 34 , 8 ,25.0,1.0, .971 , 2.65 ,0.6,0.0, 0.00 , 0.00 ,0.14,0.74, 7.90 , 0.25 ,0.99,0.07
90,유장혁,20한LF, 0.093 , 1 ,12.0,104.1, 24 , 23 ,1.0,0.0, 1.000 , 2.07 ,1.93,-0.45, 0.00 , 0.00 ,0.06,1.53, 17.59 , -0.56 ,0.97,0.147
91,임기영,20KP, 0.092 , 3 ,25.0,127.2, 15 , 2 ,13.0,0.0, 1.000 , 1.06 ,0.64,0.0, 0.00 , 0.08 ,0.26,0.98, 9.17 , 0.00 ,0.98,0.092
92,양찬열,20두RF, 0.091 , 1 ,5.0,48.2, 12 , 11 ,1.0,0.0, 1.000 , 2.22 ,0.08,1.12, 0.00 , 0.00 ,0.03,1.22, 30.05 , -0.26 ,0.96,0.116
93,김영환,20K2B, 0.089 , 0 ,1.0,18.2, 15 , 5 ,10.0,0.0, 1.000 , 7.23 ,0.86,0.0, 0.00 , 0.00 ,0.04,0.9, 57.68 , 0.03 ,0.93,0.085
94,박정현,20한SS, 0.088 , 1 ,13.0,105.0, 55 , 20 ,34.0,1.0, .982 , 4.63 ,0.36,0.0, 0.00 , 0.00 ,0.11,0.46, 5.28 , 0.46 ,0.93,0.044
95,도태훈,20N3B, 0.087 , 1 ,3.0,35.0, 10 , 4 ,6.0,0.0, 1.000 , 2.57 ,0.77,0.0, 0.00 , 0.00 ,0.1,0.87, 29.83 , 0.04 ,0.91,0.083
96,김병희,20K3B, 0.085 , 2 ,4.0,61.1, 29 , 14 ,14.0,1.0, .966 , 4.11 ,1.0,0.0, 0.00 , 0.00 ,-0.04,0.95, 18.56 , -0.05 ,0.9,0.09
97,김호재,20삼3B, 0.085 , 1 ,32.0,315.0, 112 , 49 ,59.0,4.0, .964 , 3.09 ,0.03,0.0, 0.00 , 0.00 ,0.11,0.14, 0.52 , 0.77 ,0.9,0.013
98,문상철,20K1B, 0.085 , 3 ,28.0,235.1, 164 , 154 ,9.0,1.0, .994 , 6.23 ,2.93,-0.31, 0.00 , 0.00 ,0.08,2.7, 13.76 , -1.81 ,0.89,0.256
99,김태진,20NK3B, 0.083 , 3 ,63.0,566.0, 200 , 70 ,121.0,9.0, .955 , 3.04 ,-0.04,0.0, 0.00 , 0.00 ,-0.11,-0.15, -0.32 , 1.01 ,0.86,-0.015
100,박민호,20SP, 0.079 , 3 ,0.0,52.0, 12 , 1 ,11.0,0.0, 1.000 , 2.08 ,0.7,0.0, 0.00 , 0.03 ,0.1,0.84, 19.34 , 0.00 ,0.84,0.079
101,최성영,20NP, 0.077 , 2 ,13.0,60.2, 6 , 1 ,5.0,0.0, 1.000 , 0.89 ,0.66,0.0, 0.00 , 0.04 ,0.12,0.82, 16.14 , 0.00 ,0.82,0.077
102,원태인,20삼P, 0.076 , 2 ,26.0,140.0, 30 , 12 ,17.0,1.0, .967 , 1.86 ,0.64,0.0, 0.00 , 0.09 ,0.08,0.81, 6.93 , 0.00 ,0.81,0.076
103,이재율,20NCF, 0.074 , 2 ,1.0,31.0, 12 , 12 ,0.0,0.0, 1.000 , 3.48 ,0.62,0.19, 0.00 , 0.00 ,0.02,0.83, 31.92 , -0.04 ,0.79,0.078
104,채은성,20LRF, 0.070 , 2 ,79.0,678.1, 176 , 170 ,4.0,2.0, .989 , 2.31 ,4.97,-0.51, 0.00 , 0.00 ,0.0,4.46, 7.87 , -3.72 ,0.75,0.419
105,이영하,20두P, 0.070 , 3 ,19.0,132.0, 25 , 8 ,17.0,0.0, 1.000 , 1.71 ,0.39,0.0, 0.00 , 0.09 ,0.26,0.74, 6.73 , 0.00 ,0.74,0.07
106,조현우,20KP, 0.069 , 2 ,0.0,46.2, 15 , 5 ,10.0,0.0, 1.000 , 2.89 ,0.61,0.0, 0.00 , 0.03 ,0.09,0.73, 18.85 , 0.00 ,0.73,0.069
107,배성근,20롯SS, 0.069 , 1 ,1.0,17.0, 6 , 1 ,5.0,0.0, 1.000 , 3.18 ,0.55,0.0, 0.00 , 0.00 ,0.05,0.61, 42.62 , 0.09 ,0.69,0.06
108,최용제,20두C, 0.068 , 1 ,9.0,116.1, 85 , 77 ,5.0,3.0, .965 , 6.34 ,0.04,0.0, 0.25 , -0.12 ,-0.43,-0.27, -2.76 , 0.98 ,0.72,-0.025
109,구창모,20NP, 0.068 , 3 ,14.0,93.1, 15 , 5 ,9.0,1.0, .933 , 1.35 ,0.67,0.0, 0.00 , 0.06 ,-0.01,0.72, 9.17 , 0.00 ,0.72,0.068
110,김호은,20L1B, 0.067 , 2 ,15.0,120.1, 102 , 97 ,4.0,1.0, .990 , 7.55 ,1.9,-0.14, 0.00 , 0.00 ,-0.03,1.73, 17.20 , -1.02 ,0.71,0.164
111,김현수,20KP, 0.064 , 2 ,4.0,32.1, 5 , 0 ,5.0,0.0, 1.000 , 1.39 ,0.66,0.0, 0.00 , -0.04 ,0.06,0.68, 25.06 , 0.00 ,0.68,0.064
112,김은성,20키2B, 0.063 , 1 ,1.0,22.0, 12 , 4 ,8.0,0.0, 1.000 , 4.91 ,0.57,0.0, 0.00 , 0.00 ,0.06,0.63, 34.16 , 0.04 ,0.67,0.059
113,켈리,20LP, 0.062 , 2 ,28.0,173.1, 26 , 10 ,16.0,0.0, 1.000 , 1.35 ,0.2,0.0, 0.00 , 0.11 ,0.35,0.66, 4.55 , 0.00 ,0.66,0.062
114,김영규,20NP, 0.060 , 3 ,13.0,67.2, 16 , 3 ,13.0,0.0, 1.000 , 2.13 ,0.46,0.0, 0.00 , 0.04 ,0.14,0.64, 11.33 , 0.00 ,0.64,0.06
115,백동훈,20두RF, 0.060 , 2 ,1.0,55.0, 22 , 21 ,0.0,1.0, .955 , 3.44 ,0.98,0.01, 0.00 , 0.00 ,-0.17,0.82, 17.88 , -0.18 ,0.64,0.078
116,서폴드,20한P, 0.055 , 2 ,28.0,165.0, 38 , 13 ,24.0,1.0, .974 , 2.02 ,0.34,0.0, 0.00 , 0.11 ,0.13,0.58, 4.21 , 0.00 ,0.58,0.055
117,김재웅,20키P, 0.054 , 2 ,7.0,59.2, 9 , 2 ,6.0,1.0, .889 , 1.21 ,0.61,0.0, 0.00 , 0.04 ,-0.08,0.57, 11.48 , 0.00 ,0.57,0.054
118,송광민,20한3B, 0.053 , 3 ,65.0,542.2, 287 , 220 ,61.0,6.0, .979 , 4.66 ,1.85,0.0, 0.00 , 0.00 ,0.13,1.98, 4.38 , -1.43 ,0.56,0.189
119,김인태,20두LF, 0.052 , 3 ,15.0,173.2, 39 , 39 ,0.0,0.0, 1.000 , 2.02 ,1.65,-0.25, 0.00 , 0.00 ,0.1,1.5, 10.34 , -0.95 ,0.55,0.142
120,박상언,20한C, 0.052 , 2 ,7.0,102.1, 91 , 80 ,9.0,2.0, .978 , 7.83 ,0.27,0.0, 0.03 , -0.43 ,-0.25,-0.38, -4.47 , 0.93 ,0.54,-0.036
121,정찬헌,20LP, 0.051 , 2 ,19.0,110.1, 18 , 9 ,9.0,0.0, 1.000 , 1.47 ,0.25,0.0, 0.00 , 0.07 ,0.22,0.54, 5.89 , 0.00 ,0.54,0.051
122,조이현,20SP, 0.051 , 2 ,7.0,77.0, 12 , 4 ,7.0,1.0, .917 , 1.29 ,0.54,0.0, 0.00 , 0.05 ,-0.05,0.54, 8.45 , 0.00 ,0.54,0.051
123,서진용,20SP, 0.050 , 2 ,0.0,61.0, 3 , 0 ,3.0,0.0, 1.000 , 0.44 ,0.19,0.0, 0.31 , -0.09 ,0.12,0.53, 10.48 , 0.00 ,0.53,0.05
124,박재욱,20LC, 0.049 , 2 ,1.0,47.0, 42 , 38 ,4.0,0.0, 1.000 , 8.04 ,0.27,0.0, 0.02 , -0.27 ,0.07,0.1, 2.46 , 0.43 ,0.52,0.009
125,최원준,20두P, 0.049 , 3 ,18.0,123.0, 11 , 2 ,9.0,0.0, 1.000 , 0.81 ,0.19,0.0, 0.00 , 0.08 ,0.25,0.52, 5.06 , 0.00 ,0.52,0.049
126,최준용,20롯P, 0.047 , 1 ,0.0,29.2, 9 , 3 ,6.0,0.0, 1.000 , 2.73 ,0.42,0.0, 0.00 , 0.02 ,0.06,0.5, 20.20 , 0.00 ,0.5,0.047
