순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
1,마차도,20롯SS, 1.896 , 2 ,139.0,1180.2, 618 , 228 ,380.0,10.0, .984 , 4.64 ,12.07,0.0, 0.00 , 0.00 ,1.55,13.62, 13.81 , 6.42 ,20.04,1.289
2,오지환,20LSS, 1.786 , 3 ,136.0,1142.0, 604 , 184 ,405.0,15.0, .975 , 4.64 ,12.31,0.0, 0.00 , 0.00 ,0.43,12.73, 13.35 , 6.24 ,18.98,1.198
3,박해민,20삼CF, 1.683 , 3 ,125.0,1055.1, 378 , 369 ,9.0,0.0, 1.000 , 3.22 ,16.79,-1.13, 0.00 , 0.00 ,0.55,16.21, 18.38 , 1.52 ,17.72,1.539
4,박찬호,20KSS, 1.045 , 2 ,136.0,1164.1, 597 , 198 ,384.0,15.0, .975 , 4.50 ,4.13,0.0, 0.00 , 0.00 ,0.5,4.63, 4.76 , 6.22 ,10.84,0.446
5,양의지,20NC, 1.001 , 3 ,97.0,792.0, 694 , 645 ,47.0,2.0, .997 , 7.86 ,-0.14,0.0, 2.48 , 0.42 ,0.73,3.47, 5.25 , 7.34 ,10.81,0.322
6,홍창기,20LCF, 0.994 , 3 ,102.0,943.2, 267 , 259 ,6.0,2.0, .993 , 2.53 ,9.83,1.65, 0.00 , 0.00 ,0.09,11.58, 14.69 , -0.98 ,10.6,1.086
7,유강남,20LC, 0.968 , 3 ,123.0,1009.2, 849 , 795 ,52.0,2.0, .998 , 7.55 ,-0.99,0.0, 0.18 , 0.86 ,1.04,1.09, 1.29 , 9.19 ,10.28,0.103
8,심우준,20KSS, 0.919 , 3 ,133.0,1157.0, 678 , 231 ,426.0,21.0, .969 , 5.11 ,4.1,0.0, 0.00 , 0.00 ,-0.73,3.38, 3.49 , 6.22 ,9.59,0.323
9,강민호,20삼C, 0.894 , 2 ,103.0,862.2, 691 , 640 ,43.0,8.0, .988 , 7.13 ,-1.17,0.0, 1.95 , 1.25 ,-0.37,1.65, 2.29 , 7.88 ,9.53,0.155
10,김혜성,20키2B, 0.863 , 3 ,125.0,1114.1, 530 , 234 ,287.0,9.0, .983 , 4.21 ,5.48,2.06, 0.00 , 0.00 ,0.53,8.08, 8.67 , 1.07 ,9.14,0.762
11,김하성,20키SS, 0.833 , 3 ,127.0,1104.1, 504 , 135 ,349.0,20.0, .960 , 3.94 ,4.87,0.0, 0.00 , 0.00 ,-0.66,4.21, 4.57 , 4.81 ,9.02,0.389
12,배정대,20KCF, 0.803 , 3 ,141.0,1221.1, 372 , 354 ,13.0,5.0, .987 , 2.70 ,1.58,5.13, 0.00 , 0.00 ,-0.41,6.31, 6.18 , 2.23 ,8.53,0.593
13,장성우,20KC, 0.782 , 3 ,114.0,952.0, 702 , 665 ,34.0,3.0, .996 , 6.61 ,-0.65,0.0, -0.89 , 0.43 ,0.75,-0.36, -0.45 , 8.64 ,8.28,-0.034
14,최재훈,20한C, 0.755 , 3 ,103.0,857.2, 779 , 727 ,47.0,5.0, .994 , 8.12 ,0.71,0.0, -0.42 , -0.30 ,0.22,0.21, 0.30 , 7.83 ,8.04,0.02
15,한동희,20롯3B, 0.746 , 2 ,130.0,1103.0, 422 , 194 ,211.0,17.0, .960 , 3.31 ,7.53,0.0, 0.00 , 0.00 ,-0.21,7.32, 7.94 , 0.59 ,7.9,0.691
16,박경수,20K2B, 0.722 , 2 ,94.0,746.1, 474 , 180 ,286.0,8.0, .983 , 5.62 ,6.19,0.0, 0.00 , 0.00 ,0.13,6.31, 10.12 , 1.36 ,7.67,0.594
17,박민우,20N2B, 0.699 , 4 ,116.0,943.2, 538 , 250 ,278.0,10.0, .981 , 5.04 ,5.58,0.0, 0.00 , 0.00 ,0.18,5.76, 7.31 , 1.73 ,7.49,0.538
