순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,로하스,20KRF, 7.76 , 142 , 628 , 550 , 116 , 192 , 39 , 1 , 47 , 374 , 135 , 0 , 1 , 65 , 5 , 5 , 132 , 11 , 0 , 8 , .349 , .417 , .680 , 1.097 , .467 , 180.5 , 7.76 , 7.29 
2,김하성,20키SS, 6.83 , 138 , 622 , 533 , 111 , 163 , 24 , 1 , 30 , 279 , 109 , 23 , 2 , 75 , 8 , 3 , 68 , 12 , 3 , 3 , .306 , .397 , .523 , .921 , .407 , 147.0 , 6.83 , 4.22 
3,양의지,20NC, 6.00 , 130 , 528 , 461 , 86 , 151 , 26 , 1 , 33 , 278 , 124 , 5 , 2 , 46 , 14 , 7 , 47 , 11 , 1 , 6 , .328 , .400 , .603 , 1.003 , .432 , 154.3 , 6.00 , 3.68 
4,최형우,20KDH, 5.75 , 140 , 600 , 522 , 93 , 185 , 37 , 1 , 28 , 308 , 115 , 0 , 0 , 70 , 5 , 5 , 101 , 9 , 0 , 3 , .354 , .433 , .590 , 1.023 , .450 , 169.3 , 5.75 , 7.20 
5,터커,20KRF, 5.74 , 142 , 631 , 542 , 100 , 166 , 40 , 0 , 32 , 302 , 113 , 0 , 2 , 76 , 9 , 3 , 67 , 12 , 0 , 4 , .306 , .398 , .557 , .955 , .420 , 149.6 , 5.74 , 2.40 
6,이정후,20키RF, 5.56 , 140 , 617 , 544 , 85 , 181 , 49 , 5 , 15 , 285 , 101 , 12 , 2 , 59 , 4 , 6 , 47 , 16 , 2 , 8 , .333 , .397 , .524 , .921 , .406 , 142.8 , 5.56 , 3.81 
7,김현수,20LLF, 5.31 , 142 , 619 , 547 , 98 , 181 , 35 , 2 , 22 , 286 , 119 , 0 , 2 , 63 , 2 , 7 , 53 , 9 , 0 , 7 , .331 , .397 , .523 , .920 , .407 , 148.4 , 5.31 , 5.17 
8,나성범,20NDH, 5.18 , 130 , 584 , 525 , 115 , 170 , 37 , 2 , 34 , 313 , 112 , 3 , 1 , 49 , 9 , 2 , 148 , 6 , 0 , 1 , .324 , .390 , .596 , .987 , .430 , 153.5 , 5.18 , 4.30 
9,황재균,20K3B, 5.13 , 134 , 600 , 541 , 108 , 169 , 35 , 5 , 21 , 277 , 97 , 11 , 6 , 47 , 5 , 0 , 98 , 12 , 3 , 4 , .312 , .370 , .512 , .882 , .391 , 129.6 , 5.13 , 3.52 
10,손아섭,20롯RF, 4.93 , 141 , 611 , 540 , 98 , 190 , 43 , 0 , 11 , 266 , 85 , 5 , 0 , 61 , 2 , 4 , 56 , 9 , 1 , 7 , .352 , .415 , .493 , .907 , .409 , 140.2 , 4.93 , 4.57 
11,최정,20S3B, 4.92 , 133 , 553 , 452 , 90 , 122 , 22 , 0 , 33 , 243 , 96 , 8 , 3 , 75 , 20 , 1 , 98 , 7 , 0 , 6 , .270 , .392 , .538 , .930 , .409 , 138.8 , 4.92 , 4.52 
12,강백호,20K1B, 4.74 , 129 , 574 , 500 , 95 , 165 , 36 , 1 , 23 , 272 , 89 , 7 , 2 , 66 , 5 , 9 , 93 , 7 , 0 , 3 , .330 , .411 , .544 , .955 , .421 , 149.2 , 4.74 , 3.13 
13,김재환,20두LF, 4.70 , 140 , 613 , 515 , 82 , 137 , 26 , 1 , 30 , 255 , 113 , 6 , 0 , 91 , 1 , 3 , 154 , 14 , 0 , 6 , .266 , .374 , .495 , .869 , .385 , 135.2 , 4.70 , 2.33 
14,박민우,20N2B, 4.47 , 126 , 530 , 467 , 82 , 161 , 27 , 5 , 8 , 222 , 63 , 13 , 6 , 36 , 15 , 2 , 48 , 12 , 2 , 10 , .345 , .402 , .475 , .877 , .396 , 132.6 , 4.47 , 1.46 
15,알테어,20NCF, 4.43 , 136 , 546 , 482 , 90 , 134 , 20 , 7 , 31 , 261 , 108 , 22 , 3 , 46 , 12 , 3 , 149 , 10 , 0 , 6 , .278 , .352 , .541 , .893 , .387 , 124.7 , 4.43 , 2.78 
16,오지환,20LSS, 4.41 , 141 , 591 , 527 , 95 , 158 , 41 , 7 , 10 , 243 , 71 , 20 , 8 , 45 , 9 , 1 , 116 , 4 , 5 , 5 , .300 , .362 , .461 , .823 , .368 , 119.9 , 4.41 , 1.21 
17,페르난데스,20두DH, 4.40 , 144 , 668 , 586 , 104 , 199 , 29 , 0 , 21 , 291 , 105 , 0 , 1 , 58 , 13 , 1 , 42 , 26 , 0 , 11 , .340 , .404 , .497 , .901 , .406 , 146.5 , 4.40 , 4.31 
18,로맥,20S1B, 4.38 , 139 , 586 , 485 , 85 , 137 , 32 , 0 , 32 , 265 , 91 , 4 , 2 , 91 , 6 , 5 , 116 , 5 , 0 , 4 , .282 , .399 , .546 , .946 , .414 , 142.7 , 4.38 , 4.31 
19,라모스,20L1B, 4.35 , 117 , 494 , 431 , 74 , 120 , 17 , 2 , 38 , 255 , 86 , 2 , 0 , 55 , 4 , 5 , 136 , 7 , 0 , 4 , .278 , .362 , .592 , .954 , .407 , 153.6 , 4.35 , 2.45 
