,승률,홈_승률,원정_승률,팀명
0,0.47840833,0.51249611,0.44400851,LG
1,0.50016833,0.53960891,0.45999259,NC
2,0.50016833,0.53960891,0.45999259,키움
3,0.51256833,0.55540848,0.4691166,SSG
4,0.48451833,0.53640394,0.43126078,KT
5,0.48661833,0.52736406,0.44511775,두산
6,0.484235,0.54266411,0.42453804,롯데
7,0.462185,0.51477679,0.40834014,삼성
8,0.49226833,0.54693243,0.43674271,KIA
9,0.44931167,0.50413904,0.39307227,한화
