순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
112,안우진,20키P,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.48,0.00,1.38
113,함덕주,20두P,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.45,0.34,0.40,0.48,0.85
,임기영,20KP,1.34,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,0.00,1.70,0.00,1.34,0.00
115,김진영,20한P,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.72,0.00,1.33
116,서폴드,20한P,1.30,0.00,0.00,0.00,0.00,0.00,0.00,-0.90,0.00,2.20,0.00,1.30,0.00
117,최지훈,20SRF,1.29,-1.88,0.07,0.26,0.90,2.17,-0.24,0.00,0.00,0.00,0.00,0.00,0.00
118,최동환,20LP,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.76,0.00,1.28
,한유섬,20SRF,1.28,0.59,0.04,-0.01,-0.03,0.96,-0.27,0.00,0.00,0.00,0.00,0.00,0.00
120,김강민,20SCF,1.24,-0.50,-0.09,0.05,0.31,1.36,0.10,0.00,0.00,0.00,0.00,0.00,0.00
121,정우람,20한P,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.72,0.00,1.23
122,이용규,20한CF,1.22,0.15,-0.03,0.04,-0.99,2.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00
123,유원상,20KP,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.85,0.00,1.16
124,이지영,20키C,1.15,-0.17,-0.03,-0.07,0.01,1.20,0.21,0.00,0.00,0.00,0.00,0.00,0.00
,김대우,20롯P,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.46,0.03,0.63,0.06,1.09
126,이승호,20키P,1.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.34,1.52,0.07,0.74,0.41
,이대호,20롯DH,1.14,0.44,0.01,-0.50,0.13,2.55,-1.48,0.00,0.00,0.00,0.00,0.00,0.00
128,김호재,20삼3B,1.13,0.41,0.04,0.02,0.01,0.57,0.07,0.00,0.00,0.00,0.00,0.00,0.00
129,전병우,20키3B,1.12,-1.13,0.13,0.04,0.41,1.67,-0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,김민성,20L3B,1.11,-0.52,-0.01,0.02,0.14,1.39,0.08,0.00,0.00,0.00,0.00,0.00,0.00
131,윌슨,20LP,1.10,0.00,0.00,0.00,0.00,0.00,0.00,-0.83,0.00,1.93,0.00,1.10,0.00
132,한현희,20키P,1.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.72,0.00,1.81,0.00,1.09,0.00
,서진용,20SP,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.81,0.00,1.09
,원종현,20NP,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.76,0.00,1.09
135,임현준,20삼P,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.34,0.00,1.05
136,오현택,20롯P,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.48,0.00,1.04
137,이건욱,20SP,1.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.69,0.10,1.58,0.04,0.89,0.14
138,정수민,20SP,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.21,0.00,1.01,0.00
,살라디노,20삼LF,1.01,0.73,0.07,0.01,-0.35,0.68,-0.12,0.00,0.00,0.00,0.00,0.00,0.00
140,이인복,20롯P,0.97,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.41,0.01,0.59,-0.02,1.00
141,오윤석,20롯2B,0.95,0.40,-0.01,0.14,-0.36,0.82,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,홍상삼,20KP,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.64,0.00,0.95
143,홍건희,20KP,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.92,0.00,0.93
144,김태훈,20키P,0.91,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,0.32,0.05,0.80,-0.20,1.12
145,배재환,20NP,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.57,0.00,0.87
146,오태곤,20KLF,0.86,-0.34,0.02,0.24,0.06,1.08,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
,채태인,20SDH,0.86,0.49,-0.00,-0.00,0.01,0.79,-0.43,0.00,0.00,0.00,0.00,0.00,0.00
148,송은범,20LP,0.85,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.39,0.03,0.72,-0.26,1.11
,최지광,20삼P,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.59,0.00,0.85
,최항,20S2B,0.85,-0.14,0.02,0.04,0.23,0.65,0.05,0.00,0.00,0.00,0.00,0.00,0.00
151,정은원,20한2B,0.84,-0.23,-0.03,-0.19,-0.07,1.26,0.11,0.00,0.00,0.00,0.00,0.00,0.00
152,김윤수,20삼P,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.77,0.00,0.82
153,이병규,20롯1B,0.81,0.56,-0.00,-0.01,-0.16,0.81,-0.39,0.00,0.00,0.00,0.00,0.00,0.00
,김준태,20롯C,0.81,-0.86,-0.05,-0.33,-0.14,1.54,0.65,0.00,0.00,0.00,0.00,0.00,0.00
155,노시환,20한3B,0.80,-1.04,-0.05,0.20,0.01,1.61,0.11,0.00,-0.06,0.00,0.01,0.00,-0.05
156,최성훈,20LP,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.44,0.00,0.76
,박상원,20한P,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.77,0.00,0.76
158,이정용,20LP,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.45,0.00,0.72
159,김건국,20롯P,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.42,0.00,0.70
,이영준,20키P,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.53,0.00,0.70
161,허정협,20키LF,0.69,0.18,-0.00,-0.00,-0.60,1.50,-0.40,0.00,0.00,0.00,0.00,0.00,0.00
,김형준,20NC,0.69,0.25,-0.00,-0.10,0.06,0.34,0.14,0.00,0.00,0.00,0.00,0.00,0.00
,이원석,20삼3B,0.69,-0.35,-0.05,0.09,-0.60,1.95,-0.36,0.00,0.00,0.00,0.00,0.00,0.00
164,고우석,20LP,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.56,0.00,0.65
,김범수,20한P,0.65,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,0.04,0.48,0.25,0.37,0.28
166,김민규,20두P,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.13,0.24,0.47,0.31,0.34
,임정호,20NP,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.55,0.00,0.64
168,최원태,20키P,0.63,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.00,1.47,0.00,0.63,0.00
,김선기,20키P,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.29,0.00,0.63
,김대우,20삼P,0.63,0.00,0.00,0.00,0.00,0.00,0.00,-0.42,0.01,0.55,0.49,0.12,0.50
171,류지혁,20두3B,0.61,0.35,-0.02,0.09,-0.02,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00
172,김웅빈,20키1B,0.60,0.11,0.02,0.06,-0.14,0.98,-0.42,0.00,0.00,0.00,0.00,0.00,0.00
173,진해수,20LP,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.67,0.00,0.58
174,김태군,20NC,0.57,-0.29,-0.00,-0.01,0.04,0.55,0.29,0.00,0.00,0.00,0.00,0.00,0.00
,이태양,20한P,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.00,0.75,0.00,0.57
,황대인,20K1B,0.57,0.26,-0.00,-0.13,0.10,0.57,-0.23,0.00,0.00,0.00,0.00,0.00,0.00
,임규빈,20키P,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.50,0.00,0.57
178,서준원,20롯P,0.56,0.00,0.00,0.00,0.00,0.00,0.00,-0.62,-0.26,1.29,0.14,0.68,-0.12
,허윤동,20삼P,0.56,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.60,0.00,0.56,0.00
,강태율,20롯C,0.56,0.45,-0.00,-0.00,0.01,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
,전유수,20KP,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.61,0.00,0.56
182,양석환,20L3B,0.55,-0.29,-0.00,0.00,0.37,0.55,-0.08,0.00,0.00,0.00,0.00,0.00,0.00
183,최준용,20롯P,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.40,0.00,0.54
,조이현,20SP,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.50,0.44,0.59,0.45,0.09
185,문상철,20K1B,0.53,-0.12,-0.04,-0.00,0.26,0.72,-0.27,0.00,0.00,0.00,0.00,0.00,0.00
186,유한준,20KDH,0.52,-0.06,-0.00,-0.02,-0.11,1.78,-1.06,0.00,0.00,0.00,0.00,0.00,0.00
,이학주,20삼SS,0.52,-0.97,0.02,0.06,0.16,1.01,0.24,0.00,0.00,0.00,0.00,0.00,0.00
188,백용환,20KC,0.51,-0.08,-0.00,0.01,-0.01,0.44,0.16,0.00,0.00,0.00,0.00,0.00,0.00
,김재웅,20키P,0.51,0.00,0.00,0.00,0.00,0.00,0.00,-0.82,0.53,0.26,0.54,-0.56,1.07
190,김건태,20NP,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.47,0.00,0.50
,양지율,20키P,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.31,0.00,0.50
192,박정수,20KP,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-0.36,0.41,0.14,0.30,-0.22,0.71
193,정진호,20한LF,0.47,-0.59,-0.14,-0.01,0.15,1.36,-0.30,0.00,0.00,0.00,0.00,0.00,0.00
194,채지선,20두P,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.44,0.00,0.46
195,최영진,20삼3B,0.45,0.06,-0.09,0.10,-0.05,0.49,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
,김인태,20두LF,0.45,-0.13,-0.00,0.07,0.14,0.46,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
,송윤준,20한P,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.31,0.00,0.45
198,하주석,20한SS,0.44,-0.67,0.03,0.03,-0.39,1.17,0.27,0.00,0.00,0.00,0.00,0.00,0.00
,이유찬,20두3B,0.44,-0.19,0.07,0.08,-0.03,0.45,0.06,0.00,0.00,0.00,0.00,0.00,0.00
200,한승택,20KC,0.43,-0.92,-0.00,-0.16,-0.09,1.09,0.51,0.00,0.00,0.00,0.00,0.00,0.00
,이창진,20KCF,0.43,0.36,-0.04,-0.05,-0.29,0.41,0.03,0.00,0.00,0.00,0.00,0.00,0.00
202,임병욱,20키CF,0.42,-0.06,0.06,0.03,0.21,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,김성현,20SSS,0.42,-1.29,-0.03,-0.19,-0.08,1.63,0.38,0.00,0.00,0.00,0.00,0.00,0.00
204,박용택,20LDH,0.39,-0.09,0.04,-0.01,0.00,0.98,-0.54,0.00,0.00,0.00,0.00,0.00,0.00
,오재원,20두2B,0.39,-0.39,-0.03,-0.11,0.14,0.73,0.05,0.00,0.00,0.00,0.00,0.00,0.00
,이준영,20KP,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.32,0.00,0.39
,이승진,20두P,0.39,0.00,0.00,0.00,0.00,0.00,0.00,-0.56,0.27,0.28,0.40,-0.28,0.67
,윤명준,20두P,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.00,0.53,0.00,0.39
209,박진형,20롯P,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,0.00,0.57,0.00,0.38
,김명신,20두P,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.20,0.00,0.38
211,김민하,20한RF,0.37,0.10,-0.00,-0.01,0.03,0.35,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
212,이해창,20한C,0.36,-0.13,-0.09,-0.12,-0.10,0.56,0.24,0.00,0.00,0.00,0.00,0.00,0.00
,김사윤,20SP,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,0.00,0.63,0.00,0.36
214,김재유,20롯CF,0.35,-0.43,0.10,0.08,0.07,0.55,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,서균,20한P,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.10,0.00,0.35
