순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
1,알칸타라,20두P,8.31,0.00,0.00,0.00,0.00,0.00,0.00,5.66,0.00,2.65,0.00,8.31,0.00
2,로하스,20KRF,7.95,6.04,-0.05,0.06,0.19,2.62,-0.91,0.00,0.00,0.00,0.00,0.00,0.00
3,스트레일리,20롯P,7.53,0.00,0.00,0.00,0.00,0.00,0.00,4.94,0.00,2.60,0.00,7.53,0.00
4,김하성,20키SS,7.22,3.52,0.33,0.04,0.39,2.59,0.34,0.00,0.00,0.00,0.00,0.00,0.00
5,브룩스,20KP,7.16,0.00,0.00,0.00,0.00,0.00,0.00,5.14,0.00,2.02,0.00,7.16,0.00
6,양의지,20NC,6.32,3.46,0.00,-0.06,0.32,2.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00
7,이정후,20키RF,6.27,3.19,0.13,0.18,0.71,2.57,-0.51,0.00,0.00,0.00,0.00,0.00,0.00
8,최형우,20KDH,5.71,4.99,-0.00,0.01,-0.04,2.50,-1.74,0.00,0.00,0.00,0.00,0.00,0.00
9,오지환,20LSS,5.61,1.43,0.02,-0.09,1.20,2.46,0.59,0.00,0.00,0.00,0.00,0.00,0.00
10,루친스키,20NP,5.59,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.00,2.44,0.00,5.59,0.00
11,요키시,20키P,5.53,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,2.13,0.00,5.53,0.00
12,김현수,20LLF,5.37,3.61,-0.09,0.09,0.07,2.58,-0.88,0.00,0.00,0.00,0.00,0.00,0.00
13,나성범,20NDH,5.16,3.75,0.01,0.28,-0.02,2.43,-1.29,0.00,0.00,0.00,0.00,0.00,0.00
14,황재균,20K3B,5.15,2.14,-0.06,0.36,0.02,2.50,0.18,0.00,0.00,0.00,0.00,0.00,0.00
15,최정,20S3B,5.09,2.60,0.02,-0.03,0.17,2.30,0.03,0.00,0.00,0.00,0.00,0.00,0.00
16,강백호,20K1B,5.02,3.41,0.04,-0.15,0.27,2.39,-0.95,0.00,0.00,0.00,0.00,0.00,0.00
17,홍창기,20LCF,5.00,1.82,-0.02,0.09,1.09,2.11,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
,박민우,20N2B,5.00,2.10,-0.02,0.03,0.54,2.21,0.15,0.00,0.00,0.00,0.00,0.00,0.00
19,라모스,20L1B,4.78,3.20,0.03,-0.05,0.43,2.06,-0.89,0.00,0.00,0.00,0.00,0.00,0.00
20,뷰캐넌,20삼P,4.68,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,2.33,0.00,4.68,0.00
21,구창모,20NP,4.62,0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.08,1.23,0.02,4.52,0.10
22,마차도,20롯SS,4.54,0.15,0.24,-0.07,1.29,2.33,0.60,0.00,0.00,0.00,0.00,0.00,0.00
23,페르난데스,20두DH,4.46,3.75,-0.05,-0.29,0.06,2.78,-1.79,0.00,0.00,0.00,0.00,0.00,0.00
24,터커,20KRF,4.31,3.74,-0.09,0.08,-1.43,2.63,-0.62,0.00,0.00,0.00,0.00,0.00,0.00
25,켈리,20LP,4.26,0.00,0.00,0.00,0.00,0.00,0.00,1.95,0.00,2.31,0.00,4.26,0.00
26,알테어,20NCF,4.22,1.63,0.28,0.08,-0.20,2.28,0.16,0.00,0.00,0.00,0.00,0.00,0.00
27,구자욱,20삼LF,4.18,1.65,0.14,0.09,0.80,2.12,-0.61,0.00,0.00,0.00,0.00,0.00,0.00
28,손아섭,20롯RF,4.15,2.95,0.09,0.01,-0.78,2.55,-0.67,0.00,0.00,0.00,0.00,0.00,0.00
29,배정대,20KCF,4.14,0.76,-0.16,0.18,0.59,2.56,0.21,0.00,0.00,0.00,0.00,0.00,0.00
30,박건우,20두RF,4.12,1.77,0.06,0.14,0.34,2.30,-0.48,0.00,0.00,0.00,0.00,0.00,0.00
31,박석민,20N3B,4.06,2.31,-0.05,-0.16,-0.00,1.87,0.09,0.00,0.00,0.00,0.00,0.00,0.00
32,박해민,20삼CF,4.03,-0.15,0.11,0.13,1.54,2.25,0.14,0.00,0.00,0.00,0.00,0.00,0.00
33,로맥,20S1B,3.93,3.02,-0.02,-0.05,-0.45,2.44,-1.02,0.00,0.00,0.00,0.00,0.00,0.00
34,문승원,20SP,3.82,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,1.94,0.00,3.82,0.00
35,김재환,20두LF,3.76,2.59,0.11,0.12,-0.94,2.55,-0.68,0.00,0.00,0.00,0.00,0.00,0.00
36,허경민,20두3B,3.74,1.34,-0.00,-0.02,0.19,2.03,0.21,0.00,0.00,0.00,0.00,0.00,0.00
37,최주환,20두2B,3.63,1.63,-0.05,-0.04,-0.38,2.39,0.07,0.00,0.00,0.00,0.00,0.00,0.00
38,플렉센,20두P,3.51,0.00,0.00,0.00,0.00,0.00,0.00,1.95,0.00,1.56,0.00,3.51,0.00
39,김혜성,20키2B,3.48,-0.11,0.16,0.27,0.76,2.30,0.09,0.00,0.00,0.00,0.00,0.00,0.00
40,정수빈,20두CF,3.40,0.28,0.02,0.13,0.44,2.33,0.20,0.00,0.00,0.00,0.00,0.00,0.00
41,오재일,20두1B,3.36,2.50,-0.01,-0.22,-0.21,2.22,-0.93,0.00,0.00,0.00,0.00,0.00,0.00
42,최채흥,20삼P,3.35,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.00,1.95,0.00,3.35,0.00
43,노진혁,20NSS,3.24,0.84,-0.18,0.14,-0.07,2.02,0.50,0.00,0.00,0.00,0.00,0.00,0.00
44,데스파이네,20KP,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.59,-0.15,2.76,0.01,3.35,-0.14
45,강민호,20삼C,3.17,0.62,-0.00,0.03,0.15,1.64,0.73,0.00,0.00,0.00,0.00,0.00,0.00
46,한동희,20롯3B,3.16,0.54,-0.14,-0.21,0.69,2.21,0.06,0.00,0.00,0.00,0.00,0.00,0.00
47,전준우,20롯LF,3.13,1.00,-0.13,0.22,0.07,2.62,-0.65,0.00,0.00,0.00,0.00,0.00,0.00
48,최원준,20두P,3.08,0.00,0.00,0.00,0.00,0.00,0.00,1.58,-0.14,1.24,0.40,2.82,0.26
49,유강남,20LC,3.01,0.08,-0.03,-0.01,0.10,1.99,0.87,0.00,0.00,0.00,0.00,0.00,0.00
50,박경수,20K2B,2.98,0.89,-0.05,-0.18,0.59,1.63,0.10,0.00,0.00,0.00,0.00,0.00,0.00
,조상우,20키P,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.72,0.00,2.98
52,김상수,20삼2B,2.92,1.05,0.05,0.12,-0.35,1.96,0.08,0.00,0.00,0.00,0.00,0.00,0.00
53,가뇽,20KP,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,2.13,0.00,2.84,0.00
54,최재훈,20한C,2.79,0.52,-0.00,-0.08,0.02,1.62,0.71,0.00,0.00,0.00,0.00,0.00,0.00
55,정우영,20LP,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.00,0.00,2.67
56,박준표,20KP,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.69,0.00,2.66
,라이블리,20삼DH,2.66,-0.03,0.00,0.00,0.00,0.00,0.00,1.19,0.00,1.49,0.00,2.68,0.00
,이형종,20LRF,2.66,1.82,0.02,-0.06,-0.07,1.35,-0.39,0.00,0.00,0.00,0.00,0.00,0.00
59,배제성,20KP,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,1.88,0.00,2.65,0.00
60,김선빈,20K2B,2.64,0.90,-0.03,-0.18,0.38,1.46,0.11,0.00,0.00,0.00,0.00,0.00,0.00
,쿠에바스,20KP,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,2.11,0.00,2.64,0.00
62,주권,20KP,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.93,0.00,2.63
63,오승환,20삼P,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.64,0.00,2.62
64,양현종,20KP,2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,2.30,0.00,2.52,0.00
65,채은성,20LRF,2.50,0.95,-0.13,0.01,0.42,1.93,-0.68,0.00,0.00,0.00,0.00,0.00,0.00
66,서건창,20키DH,2.48,0.82,0.01,-0.22,0.31,2.48,-0.92,0.00,0.00,0.00,0.00,0.00,0.00
67,브리검,20키P,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,1.43,0.00,2.40,0.00
68,권희동,20NRF,2.39,0.47,0.05,0.12,0.41,1.77,-0.44,0.00,0.00,0.00,0.00,0.00,0.00
69,소형준,20KP,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.02,1.74,0.03,2.32,0.05
70,송명기,20NP,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.26,0.81,0.36,1.69,0.62
,김민우,20한P,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.57,-0.03,1.71,0.06,2.28,0.03
72,박민호,20SP,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.69,0.00,2.29
73,정훈,20롯CF,2.28,0.91,0.16,0.06,-0.41,1.98,-0.42,0.00,0.00,0.00,0.00,0.00,0.00
74,박동원,20키C,2.27,0.19,-0.00,0.09,0.02,1.55,0.42,0.00,0.00,0.00,0.00,0.00,0.00
,나지완,20KLF,2.27,1.66,-0.00,-0.29,-0.85,2.32,-0.56,0.00,0.00,0.00,0.00,0.00,0.00
76,김재윤,20KP,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.00,0.81,0.00,2.22
77,윤대경,20한P,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.00,0.68,0.00,2.20
78,김동엽,20삼DH,2.19,1.28,-0.10,0.24,-0.04,1.88,-1.06,0.00,0.00,0.00,0.00,0.00,0.00
79,장성우,20KC,2.18,-0.47,-0.00,-0.03,-0.03,1.90,0.82,0.00,0.00,0.00,0.00,0.00,0.00
80,박세웅,20롯P,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.96,0.00,2.02,0.00
,김재호,20두SS,2.02,-0.29,0.02,-0.16,0.04,1.90,0.49,0.00,0.00,0.00,0.00,0.00,0.00
,이영하,20두P,2.02,0.00,0.00,0.00,0.00,0.00,0.00,-1.40,1.66,1.41,0.35,0.02,2.00
83,라이트,20NP,2.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,2.10,0.00,2.01,0.00
84,강재민,20한P,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.65,0.00,1.99
85,반즈,20한1B,1.98,0.17,-0.01,0.16,0.76,1.33,-0.42,0.00,0.00,0.00,0.00,0.00,0.00
86,박병호,20키1B,1.95,0.72,-0.00,0.14,0.14,1.60,-0.65,0.00,0.00,0.00,0.00,0.00,0.00
87,구승민,20롯P,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.80,0.00,1.94
88,강진성,20N1B,1.92,0.62,0.12,-0.01,0.11,1.80,-0.72,0.00,0.00,0.00,0.00,0.00,0.00
89,박종훈,20SP,1.90,0.00,0.00,0.00,0.00,0.00,0.00,-0.76,0.56,2.01,0.09,1.25,0.65
90,이명기,20NLF,1.87,0.10,-0.08,0.03,0.17,2.25,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
91,조용호,20KLF,1.84,-0.04,0.09,-0.05,0.36,2.01,-0.53,0.00,0.00,0.00,0.00,0.00,0.00
,박준태,20키CF,1.84,0.08,0.05,-0.02,-0.05,1.85,-0.06,0.00,0.00,0.00,0.00,0.00,0.00
93,이민호,20LP,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.06,1.21,0.09,1.64,0.15
,조현우,20KP,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.62,0.00,1.79
95,양현,20키P,1.77,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,1.14,0.03,0.77,-0.14,1.91
96,노경은,20롯P,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.24,-0.31,1.76,0.02,2.00,-0.29
97,박세혁,20두C,1.66,-0.50,-0.04,-0.21,-0.10,1.76,0.75,0.00,0.00,0.00,0.00,0.00,0.00
98,김원중,20롯P,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.79,0.00,1.61
,이승현,20삼P,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.72,0.00,1.61
,전상현,20KP,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.64,0.00,1.61
101,안치홍,20롯2B,1.54,-0.07,0.13,-0.10,-0.48,1.92,0.14,0.00,0.00,0.00,0.00,0.00,0.00
102,원태인,20삼P,1.51,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,0.03,1.85,0.01,1.47,0.04
,임찬규,20LP,1.51,0.00,0.00,0.00,0.00,0.00,0.00,-0.75,0.29,1.89,0.08,1.14,0.37
104,정찬헌,20LP,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,1.47,0.00,1.50,0.00
105,이보근,20KP,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.62,0.00,1.48
106,정해영,20KP,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.50,0.00,1.47
107,박치국,20두P,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.96,0.00,1.46
,김진성,20NP,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.63,0.00,1.46
,최원준,20KCF,1.46,0.65,0.13,-0.09,-1.03,1.72,0.08,0.00,0.00,0.00,0.00,0.00,0.00
110,장시환,20한P,1.40,0.00,0.00,0.00,0.00,0.00,0.00,-0.37,0.00,1.77,0.00,1.40,0.00
111,홍성민,20NP,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.35,0.00,1.39
