순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
1,오지환,21LSS, 1.872 , 126 ,129.0,1060.2, 546 , 174 ,359.0,13.0, .976 , 4.52 ,11.74,0.0, 0.00 , 0.00 ,1.47,13.22, 14.92 , 5.43 ,18.65,1.327
2,마차도,21롯SS, 1.254 , 125 ,127.0,1076.2, 583 , 235 ,337.0,11.0, .981 , 4.78 ,5.07,0.0, 0.00 , 0.00 ,1.93,7.01, 7.79 , 5.54 ,12.55,0.7
3,최재훈,21한C, 0.944 , 106 ,100.0,844.0, 767 , 704 ,62.0,1.0, .999 , 8.17 ,-0.52,0.0, 0.68 , 1.05 ,1.05,2.26, 3.21 , 7.29 ,9.55,0.224
4,김민성,21L3B, 0.933 , 112 ,107.0,861.2, 242 , 56 ,179.0,7.0, .971 , 2.46 ,6.52,0.0, 0.00 , 0.00 ,1.28,7.8, 10.84 , 1.48 ,9.28,0.785
5,하주석,21한SS, 0.922 , 110 ,111.0,923.2, 375 , 132 ,229.0,14.0, .963 , 3.52 ,3.75,0.0, 0.00 , 0.00 ,0.75,4.5, 5.83 , 4.78 ,9.28,0.447
6,정은원,21한2B, 0.913 , 121 ,123.0,1024.2, 510 , 217 ,280.0,13.0, .975 , 4.37 ,7.35,0.0, 0.00 , 0.00 ,0.08,7.43, 8.68 , 1.81 ,9.24,0.734
7,최지훈,21SCF, 0.849 , 126 ,118.0,1054.0, 312 , 302 ,8.0,2.0, .994 , 2.65 ,5.5,3.7, 0.00 , 0.00 ,0.12,9.32, 10.59 , -0.82 ,8.5,0.932
8,강민호,21삼C, 0.819 , 116 ,110.0,934.0, 856 , 800 ,49.0,7.0, .992 , 8.18 ,-0.45,0.0, -0.30 , 0.95 ,-0.01,0.18, 0.24 , 8.11 ,8.29,0.018
9,심우준,21KSS, 0.792 , 134 ,129.0,1066.0, 556 , 210 ,327.0,19.0, .966 , 4.53 ,2.15,0.0, 0.00 , 0.00 ,0.29,2.44, 2.74 , 5.48 ,7.93,0.244
10,송성문,21키3B, 0.783 , 64 ,63.0,535.2, 280 , 117 ,156.0,7.0, .975 , 4.59 ,6.95,0.0, 0.00 , 0.00 ,0.12,7.07, 15.80 , 0.72 ,7.79,0.711
11,유강남,21LC, 0.761 , 125 ,117.0,961.0, 897 , 830 ,63.0,4.0, .996 , 8.36 ,-1.56,0.0, 0.04 , 0.25 ,0.63,-0.63, -0.78 , 8.27 ,7.64,-0.063
12,배정대,21KCF, 0.757 , 139 ,139.0,1189.1, 318 , 308 ,7.0,3.0, .991 , 2.38 ,3.56,2.04, 0.00 , 0.00 ,-0.04,5.56, 5.60 , 2.05 ,7.61,0.553
13,박해민,21삼CF, 0.718 , 124 ,120.0,1004.1, 297 , 294 ,2.0,1.0, .997 , 2.65 ,7.01,-1.65, 0.00 , 0.00 ,0.3,5.66, 6.75 , 1.58 ,7.24,0.561
14,김태군,21NC, 0.702 , 97 ,76.0,666.0, 622 , 568 ,48.0,6.0, .990 , 8.32 ,0.52,0.0, 0.72 , 0.28 ,-0.21,1.31, 2.35 , 5.69 ,7.0,0.131
15,한승택,21KC, 0.669 , 81 ,68.0,589.0, 547 , 490 ,52.0,5.0, .991 , 8.28 ,0.81,0.0, 0.66 , 0.30 ,-0.13,1.63, 3.32 , 5.03 ,6.66,0.164
16,장성우,21KC, 0.594 , 108 ,97.0,813.1, 748 , 699 ,42.0,7.0, .991 , 8.20 ,0.13,0.0, -1.38 , 0.40 ,-0.19,-1.03, -1.52 , 6.99 ,5.95,-0.103
17,박세혁,21두C, 0.591 , 91 ,73.0,575.1, 547 , 495 ,48.0,4.0, .993 , 8.49 ,-0.35,0.0, 0.69 , 0.58 ,0.05,0.98, 2.03 , 4.90 ,5.88,0.098
18,장승현,21두C, 0.584 , 90 ,57.0,505.0, 466 , 429 ,33.0,4.0, .991 , 8.23 ,0.48,0.0, 1.25 , -0.18 ,-0.05,1.5, 3.56 , 4.32 ,5.83,0.151
