순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
19,노진혁,21NSS, 0.574 , 99 ,96.0,782.1, 298 , 110 ,180.0,8.0, .973 , 3.34 ,1.51,0.0, 0.00 , 0.00 ,1.2,2.71, 4.14 , 3.09 ,5.8,0.268
20,송민섭,21KRF, 0.562 , 109 ,3.0,245.0, 63 , 60 ,3.0,0.0, 1.000 , 2.31 ,4.13,2.42, 0.00 , 0.00 ,0.14,6.68, 32.63 , -1.04 ,5.64,0.666
21,최정,21S3B, 0.541 , 123 ,124.0,1029.0, 304 , 83 ,209.0,12.0, .961 , 2.55 ,2.94,0.0, 0.00 , 0.00 ,0.8,3.74, 4.35 , 1.81 ,5.55,0.365
22,박동원,21키C, 0.533 , 83 ,73.0,560.1, 458 , 407 ,46.0,5.0, .989 , 7.28 ,0.3,0.0, 0.01 , 0.38 ,-0.17,0.53, 1.13 , 4.86 ,5.39,0.052
23,이재원,21SC, 0.529 , 99 ,80.0,678.2, 596 , 551 ,38.0,7.0, .988 , 7.81 ,-0.35,0.0, -0.17 , 0.38 ,-0.39,-0.53, -0.94 , 5.84 ,5.31,-0.053
24,김민식,21KC, 0.519 , 86 ,67.0,606.0, 517 , 469 ,43.0,5.0, .990 , 7.60 ,0.16,0.0, 0.16 , -0.23 ,-0.1,-0.0, -0.01 , 5.18 ,5.18,-0.0
25,김인태,21두RF, 0.510 , 105 ,93.0,726.0, 193 , 188 ,5.0,0.0, 1.000 , 2.39 ,9.16,-0.73, 0.00 , 0.00 ,0.45,8.87, 14.63 , -3.75 ,5.12,0.884
26,문보경,21L1B, 0.506 , 95 ,79.0,664.1, 537 , 430 ,102.0,5.0, .991 , 7.21 ,7.35,0.0, 0.00 , 0.00 ,0.59,7.94, 14.30 , -2.88 ,5.06,0.794
27,이지영,21키C, 0.483 , 93 ,50.0,505.0, 414 , 382 ,29.0,3.0, .993 , 7.33 ,0.19,0.0, -0.14 , 0.30 ,0.15,0.5, 1.18 , 4.32 ,4.82,0.05
28,정진호,21한LF, 0.449 , 41 ,38.0,304.1, 83 , 78 ,3.0,2.0, .976 , 2.40 ,5.42,0.78, 0.00 , 0.00 ,-0.26,5.95, 23.40 , -1.53 ,4.42,0.605
29,박경수,21K2B, 0.445 , 94 ,60.0,522.0, 305 , 121 ,181.0,3.0, .990 , 5.21 ,2.78,0.0, 0.00 , 0.00 ,0.76,3.54, 8.13 , 0.89 ,4.44,0.356
30,김재호,21두SS, 0.417 , 81 ,63.0,543.0, 262 , 108 ,150.0,4.0, .985 , 4.28 ,0.08,0.0, 0.00 , 0.00 ,1.29,1.37, 3.01 , 2.77 ,4.14,0.138
31,조수행,21두CF, 0.412 , 90 ,11.0,276.0, 101 , 99 ,1.0,1.0, .990 , 3.26 ,4.35,0.32, 0.00 , 0.00 ,-0.06,4.61, 19.98 , -0.46 ,4.15,0.458
32,김웅빈,21키3B, 0.386 , 55 ,41.0,362.2, 113 , 32 ,77.0,4.0, .965 , 2.71 ,2.91,0.0, 0.00 , 0.00 ,0.33,3.24, 10.69 , 0.62 ,3.86,0.323
33,안중열,21롯C, 0.382 , 53 ,41.0,364.2, 324 , 292 ,31.0,1.0, .997 , 7.97 ,-0.1,0.0, 0.98 , -0.53 ,0.34,0.7, 2.30 , 3.14 ,3.84,0.07
34,변상권,21키LF, 0.373 , 63 ,41.0,372.2, 100 , 98 ,2.0,0.0, 1.000 , 2.42 ,5.02,0.32, 0.00 , 0.00 ,0.17,5.51, 17.71 , -1.82 ,3.7,0.557
35,신본기,21K2B, 0.371 , 87 ,57.0,480.2, 197 , 71 ,122.0,4.0, .980 , 3.61 ,2.08,0.0, 0.00 , 0.00 ,0.62,2.69, 6.71 , 1.01 ,3.7,0.27
36,김상수,21삼2B, 0.370 , 127 ,125.0,1039.0, 613 , 242 ,359.0,12.0, .980 , 5.21 ,1.59,0.0, 0.00 , 0.00 ,0.31,1.9, 2.19 , 1.77 ,3.67,0.191
37,박성한,21SSS, 0.351 , 128 ,112.0,1007.2, 537 , 199 ,315.0,23.0, .957 , 4.59 ,-0.9,0.0, 0.00 , 0.00 ,-0.75,-1.65, -1.95 , 5.20 ,3.55,-0.163
38,김호령,21KCF, 0.350 , 56 ,44.0,394.0, 127 , 124 ,3.0,0.0, 1.000 , 2.90 ,0.83,1.8, 0.00 , 0.00 ,0.19,2.82, 8.56 , 0.67 ,3.49,0.282
39,호잉,21KRF, 0.349 , 65 ,68.0,580.0, 137 , 129 ,5.0,3.0, .978 , 2.08 ,5.2,1.29, 0.00 , 0.00 ,-0.22,6.27, 12.95 , -2.80 ,3.48,0.629
40,이흥련,21SC, 0.340 , 86 ,38.0,369.0, 324 , 301 ,22.0,1.0, .997 , 7.88 ,-0.17,0.0, -0.16 , 0.21 ,0.35,0.24, 0.76 , 3.17 ,3.41,0.023
41,구자욱,21삼RF, 0.338 , 128 ,130.0,1085.0, 259 , 247 ,9.0,3.0, .988 , 2.12 ,4.63,4.37, 0.00 , 0.00 ,0.12,9.12, 10.06 , -5.68 ,3.44,0.896
42,김혜성,21키SS, 0.336 , 141 ,139.0,1187.2, 700 , 237 ,428.0,35.0, .950 , 5.04 ,0.98,0.0, 0.00 , 0.00 ,-2.79,-1.81, -1.82 , 5.22 ,3.41,-0.178
43,허도환,21KC, 0.334 , 56 ,33.0,290.1, 252 , 238 ,13.0,1.0, .996 , 7.78 ,0.69,0.0, -0.30 , 0.23 ,0.23,0.85, 3.50 , 2.49 ,3.33,0.085
44,강승호,21두2B, 0.332 , 105 ,86.0,761.1, 409 , 159 ,242.0,8.0, .980 , 4.74 ,1.83,0.0, 0.00 , 0.00 ,0.4,2.23, 3.50 , 1.09 ,3.32,0.223
45,박준영,21N3B, 0.319 , 102 ,77.0,697.2, 256 , 92 ,155.0,9.0, .965 , 3.19 ,0.19,0.0, 0.00 , 0.00 ,0.62,0.82, 1.40 , 2.37 ,3.18,0.082
46,김강민,21SCF, 0.315 , 110 ,40.0,567.0, 157 , 149 ,6.0,2.0, .987 , 2.46 ,0.63,1.69, 0.00 , 0.00 ,-0.13,2.19, 4.62 , 0.97 ,3.16,0.218
47,데스파이네,21KP, 0.315 , 33 ,33.0,188.2, 46 , 9 ,36.0,1.0, .978 , 2.15 ,2.91,0.0, 0.00 , 0.08 ,0.15,3.14, 19.93 , 0.00 ,3.14,0.315
48,구본혁,21LSS, 0.291 , 116 ,7.0,265.0, 130 , 46 ,82.0,2.0, .985 , 4.35 ,1.61,0.0, 0.00 , 0.00 ,0.46,2.07, 9.35 , 0.84 ,2.91,0.207
49,이현석,21SC, 0.283 , 37 ,25.0,220.0, 201 , 184 ,15.0,2.0, .990 , 8.14 ,0.25,0.0, 0.62 , 0.15 ,-0.07,0.95, 5.17 , 1.89 ,2.84,0.095
50,서건창,21키L2B, 0.280 , 128 ,126.0,1037.1, 567 , 254 ,305.0,8.0, .986 , 4.85 ,-0.07,0.0, 0.00 , 0.00 ,1.1,1.03, 1.19 , 1.79 ,2.82,0.102
51,김민하,21한RF, 0.273 , 38 ,28.0,258.1, 76 , 71 ,2.0,3.0, .961 , 2.54 ,2.91,1.3, 0.00 , 0.00 ,-0.46,3.75, 17.37 , -1.03 ,2.72,0.377
52,김성현,21S2B, 0.261 , 102 ,67.0,643.1, 323 , 116 ,199.0,8.0, .975 , 4.41 ,0.29,0.0, 0.00 , 0.00 ,0.4,0.68, 1.27 , 1.95 ,2.63,0.068
53,예진원,21키CF, 0.259 , 46 ,34.0,303.2, 85 , 82 ,3.0,0.0, 1.000 , 2.52 ,3.22,-0.3, 0.00 , 0.00 ,0.15,3.07, 12.09 , -0.52 ,2.55,0.312
54,이정후,21키CF, 0.258 , 114 ,113.0,964.2, 268 , 257 ,8.0,3.0, .989 , 2.47 ,-2.23,3.33, 0.00 , 0.00 ,-0.14,0.96, 1.19 , 1.71 ,2.67,0.093
55,지시완,21롯C, 0.253 , 70 ,52.0,448.1, 437 , 396 ,40.0,1.0, .998 , 8.75 ,0.08,0.0, -0.41 , -1.45 ,0.47,-1.32, -3.52 , 3.87 ,2.55,-0.131
56,박석민,21N3B, 0.250 , 46 ,44.0,330.2, 118 , 29 ,81.0,8.0, .932 , 2.99 ,2.52,0.0, 0.00 , 0.00 ,-0.57,1.95, 7.06 , 0.57 ,2.52,0.193
57,양의지,21NC, 0.241 , 45 ,38.0,302.1, 275 , 252 ,20.0,3.0, .989 , 8.10 ,-0.16,0.0, 0.64 , -0.52 ,-0.15,-0.19, -0.75 , 2.67 ,2.48,-0.018
58,김기환,21NLF, 0.235 , 52 ,37.0,321.0, 77 , 74 ,1.0,2.0, .974 , 2.10 ,4.47,-0.26, 0.00 , 0.00 ,-0.25,3.96, 14.75 , -1.63 ,2.33,0.399
59,이시원,21한CF, 0.226 , 26 ,15.0,150.2, 55 , 53 ,1.0,1.0, .982 , 3.23 ,2.16,0.01, 0.00 , 0.00 ,-0.13,2.05, 16.25 , 0.19 ,2.23,0.207
60,이재원,21LRF, 0.225 , 52 ,41.0,366.0, 87 , 84 ,3.0,0.0, 1.000 , 2.14 ,2.89,0.97, 0.00 , 0.00 ,0.21,4.07, 13.30 , -1.82 ,2.25,0.408
61,김지찬,21삼SS, 0.223 , 111 ,87.0,762.1, 363 , 117 ,227.0,19.0, .948 , 4.06 ,-0.08,0.0, 0.00 , 0.00 ,-1.06,-1.14, -1.79 , 3.37 ,2.23,-0.114
62,박정음,21키LF, 0.211 , 42 ,1.0,82.0, 30 , 30 ,0.0,0.0, 1.000 , 3.29 ,3.07,-0.76, 0.00 , 0.00 ,0.04,2.35, 34.34 , -0.24 ,2.12,0.235
63,박정현,21한SS, 0.208 , 30 ,27.0,242.0, 134 , 75 ,53.0,6.0, .955 , 4.76 ,2.25,0.0, 0.00 , 0.00 ,-0.46,1.79, 8.84 , 0.25 ,2.04,0.183
64,김준태,21롯KC, 0.190 , 52 ,32.0,302.0, 291 , 267 ,22.0,2.0, .993 , 8.61 ,-0.0,0.0, -0.42 , -0.32 ,0.05,-0.69, -2.74 , 2.59 ,1.9,-0.069
65,최채흥,21삼P, 0.187 , 26 ,20.0,122.1, 32 , 9 ,23.0,0.0, 1.000 , 2.35 ,1.59,0.0, 0.00 , 0.05 ,0.23,1.87, 18.29 , 0.00 ,1.87,0.187
66,김재성,21LC, 0.187 , 54 ,16.0,198.2, 176 , 162 ,13.0,1.0, .994 , 7.93 ,0.14,0.0, -0.07 , -0.00 ,0.1,0.16, 0.98 , 1.70 ,1.86,0.016
67,이창진,21KCF, 0.177 , 96 ,72.0,631.1, 199 , 197 ,1.0,1.0, .995 , 2.82 ,4.11,-3.03, 0.00 , 0.00 ,0.1,1.18, 2.24 , 0.58 ,1.76,0.119
68,정주현,21L2B, 0.175 , 70 ,67.0,505.0, 310 , 110 ,188.0,12.0, .961 , 5.31 ,1.97,0.0, 0.00 , 0.00 ,-1.08,0.88, 2.09 , 0.87 ,1.75,0.088
69,박승규,21삼LF, 0.174 , 41 ,13.0,165.2, 57 , 57 ,0.0,0.0, 1.000 , 3.10 ,2.79,-0.71, 0.00 , 0.00 ,0.08,2.16, 15.59 , -0.42 ,1.73,0.216
70,알테어,21NCF, 0.172 , 126 ,129.0,1078.2, 325 , 319 ,4.0,2.0, .994 , 2.70 ,2.54,-2.78, 0.00 , 0.00 ,0.11,-0.13, -0.14 , 1.88 ,1.76,-0.012
71,힐리,21한1B, 0.157 , 61 ,60.0,527.0, 525 , 478 ,42.0,5.0, .991 , 8.88 ,6.07,0.0, 0.00 , 0.00 ,-0.01,6.06, 13.76 , -4.50 ,1.56,0.608
72,김민수,21삼C, 0.155 , 46 ,19.0,201.1, 192 , 176 ,13.0,3.0, .984 , 8.45 ,-0.1,0.0, 0.68 , -0.45 ,-0.3,-0.17, -1.03 , 1.73 ,1.56,-0.017
73,박세웅,21롯P, 0.152 , 28 ,28.0,163.0, 39 , 12 ,26.0,1.0, .974 , 2.10 ,1.35,0.0, 0.00 , 0.07 ,0.1,1.53, 11.21 , 0.00 ,1.53,0.152
74,노수광,21한CF, 0.150 , 49 ,44.0,377.0, 121 , 117 ,4.0,0.0, 1.000 , 2.89 ,-1.34,2.46, 0.00 , 0.00 ,0.18,1.3, 4.13 , 0.19 ,1.5,0.131
75,이홍구,21KC, 0.149 , 35 ,13.0,142.0, 127 , 120 ,7.0,0.0, 1.000 , 8.05 ,-0.0,0.0, 0.16 , -0.10 ,0.21,0.27, 2.28 , 1.20 ,1.48,0.027
76,임지열,21키LF, 0.144 , 12 ,7.0,55.0, 11 , 10 ,1.0,0.0, 1.000 , 1.80 ,1.04,0.63, 0.00 , 0.00 ,0.03,1.7, 36.89 , -0.28 ,1.42,0.172
77,윤중현,21KP, 0.143 , 30 ,13.0,82.2, 15 , 3 ,12.0,0.0, 1.000 , 1.63 ,1.25,0.0, 0.00 , 0.04 ,0.15,1.44, 20.81 , 0.00 ,1.44,0.143
78,최주환,21S2B, 0.142 , 95 ,97.0,772.1, 535 , 327 ,197.0,11.0, .979 , 6.11 ,2.71,0.0, 0.00 , 0.00 ,-0.35,2.37, 3.67 , -0.93 ,1.43,0.235
79,박민,21KSS, 0.140 , 13 ,11.0,94.2, 39 , 13 ,24.0,2.0, .949 , 3.52 ,0.93,0.0, 0.00 , 0.00 ,-0.04,0.9, 11.32 , 0.48 ,1.37,0.091
80,문성주,21LLF, 0.139 , 26 ,20.0,181.0, 49 , 48 ,0.0,1.0, .980 , 2.39 ,3.17,-0.99, 0.00 , 0.00 ,-0.11,2.07, 13.68 , -0.69 ,1.38,0.209
81,김재현,21키C, 0.139 , 39 ,12.0,139.0, 102 , 93 ,8.0,1.0, .990 , 6.54 ,0.44,0.0, -0.14 , -0.11 ,0.01,0.2, 1.69 , 1.19 ,1.39,0.02
82,이도윤,21한SS, 0.134 , 51 ,12.0,185.2, 73 , 23 ,46.0,4.0, .945 , 3.35 ,0.92,0.0, 0.00 , 0.00 ,-0.18,0.74, 4.77 , 0.59 ,1.33,0.074
83,허정협,21키LF, 0.130 , 14 ,6.0,68.0, 20 , 20 ,0.0,0.0, 1.000 , 2.65 ,1.66,-0.06, 0.00 , 0.00 ,0.03,1.63, 28.67 , -0.35 ,1.28,0.165
84,김주원,21NSS, 0.125 , 63 ,53.0,467.2, 249 , 98 ,139.0,12.0, .952 , 4.56 ,0.01,0.0, 0.00 , 0.00 ,-0.75,-0.74, -1.90 , 2.00 ,1.26,-0.074
85,지석훈,21N2B, 0.121 , 28 ,9.0,114.0, 54 , 16 ,37.0,1.0, .982 , 4.18 ,0.76,0.0, 0.00 , 0.00 ,0.15,0.91, 9.54 , 0.30 ,1.21,0.091
86,서준원,21롯P, 0.119 , 26 ,8.0,54.0, 17 , 7 ,10.0,0.0, 1.000 , 2.83 ,1.07,0.0, 0.00 , 0.02 ,0.1,1.19, 26.47 , 0.00 ,1.19,0.119
87,임기영,21KP, 0.119 , 28 ,28.0,153.0, 28 , 4 ,21.0,3.0, .893 , 1.47 ,1.44,0.0, 0.00 , 0.07 ,-0.31,1.19, 9.34 , 0.00 ,1.19,0.119
88,이성우,21LC, 0.119 , 34 ,11.0,112.2, 107 , 101 ,5.0,1.0, .991 , 8.47 ,0.2,0.0, -0.26 , 0.32 ,-0.03,0.22, 2.37 , 0.96 ,1.18,0.022
89,이해창,21한C, 0.118 , 20 ,16.0,149.0, 129 , 112 ,16.0,1.0, .992 , 7.73 ,0.14,0.0, -0.19 , -0.07 ,0.02,-0.09, -0.75 , 1.25 ,1.15,-0.01
90,김찬형,21NS2B, 0.116 , 76 ,36.0,379.1, 169 , 55 ,110.0,4.0, .976 , 3.92 ,-0.04,0.0, 0.00 , 0.00 ,0.34,0.31, 0.96 , 0.86 ,1.16,0.03
91,이상호,21L2B, 0.115 , 38 ,15.0,181.0, 97 , 47 ,48.0,2.0, .979 , 4.72 ,1.0,-0.0, 0.00 , 0.00 ,0.08,1.09, 7.19 , 0.06 ,1.15,0.109
92,김태연,21한3B, 0.113 , 47 ,49.0,406.0, 158 , 79 ,72.0,7.0, .956 , 3.35 ,0.84,1.12, 0.00 , 0.00 ,-0.51,1.45, 4.27 , -0.30 ,1.15,0.142
93,고영표,21KP, 0.109 , 26 ,25.0,166.2, 38 , 10 ,28.0,0.0, 1.000 , 2.05 ,0.71,0.0, 0.00 , 0.07 ,0.31,1.09, 7.84 , 0.00 ,1.09,0.109
94,스트레일리,21롯P, 0.108 , 31 ,31.0,165.2, 27 , 8 ,19.0,0.0, 1.000 , 1.47 ,0.7,0.0, 0.00 , 0.07 ,0.31,1.08, 7.84 , 0.00 ,1.08,0.108
95,김지수,21한RF, 0.104 , 11 ,7.0,59.0, 14 , 14 ,0.0,0.0, 1.000 , 2.14 ,0.94,0.27, 0.00 , 0.00 ,0.03,1.24, 25.23 , -0.23 ,1.01,0.129
96,이주형,21L1B, 0.104 , 6 ,3.0,26.0, 25 , 24 ,1.0,0.0, 1.000 , 8.65 ,1.18,-0.01, 0.00 , 0.00 ,0.04,1.21, 55.90 , -0.19 ,1.03,0.123
97,김태진,21K3B, 0.104 , 93 ,96.0,830.2, 269 , 74 ,178.0,17.0, .937 , 2.73 ,0.45,0.0, 0.00 , 0.00 ,-0.84,-0.38, -0.55 , 1.42 ,1.04,-0.038
98,최원태,21키P, 0.102 , 28 ,28.0,143.1, 28 , 12 ,16.0,0.0, 1.000 , 1.76 ,0.7,0.0, 0.00 , 0.06 ,0.27,1.03, 8.57 , 0.00 ,1.03,0.102
99,가빌리오,21SP, 0.097 , 15 ,15.0,81.1, 10 , 3 ,7.0,0.0, 1.000 , 1.11 ,0.79,0.0, 0.00 , 0.03 ,0.15,0.97, 14.30 , 0.00 ,0.97,0.097
100,한현희,21키P, 0.097 , 18 ,15.0,85.2, 15 , 8 ,7.0,0.0, 1.000 , 1.58 ,0.77,0.0, 0.00 , 0.04 ,0.16,0.97, 13.56 , 0.00 ,0.97,0.097
101,김현민,21한2B, 0.096 , 3 ,1.0,13.0, 7 , 2 ,5.0,0.0, 1.000 , 4.85 ,0.86,0.0, 0.00 , 0.00 ,0.03,0.89, 82.22 , 0.02 ,0.91,0.094
102,파슨스,21NP, 0.094 , 24 ,24.0,133.0, 22 , 6 ,16.0,0.0, 1.000 , 1.49 ,0.63,0.0, 0.00 , 0.06 ,0.25,0.94, 8.46 , 0.00 ,0.94,0.094
103,나주환,21K3B, 0.091 , 13 ,4.0,53.2, 21 , 13 ,8.0,0.0, 1.000 , 3.52 ,0.75,0.0, 0.00 , 0.00 ,0.15,0.91, 20.22 , -0.01 ,0.9,0.092
104,최용제,21두C, 0.090 , 49 ,14.0,190.0, 160 , 136 ,20.0,4.0, .975 , 7.39 ,0.01,0.0, -0.11 , -0.11 ,-0.52,-0.72, -4.52 , 1.62 ,0.9,-0.071
105,김동혁,21키P, 0.087 , 40 ,8.0,82.0, 17 , 1 ,14.0,2.0, .882 , 1.65 ,1.09,0.0, 0.00 , 0.04 ,-0.25,0.88, 12.79 , 0.00 ,0.88,0.087
106,프랑코,21롯P, 0.085 , 37 ,27.0,150.0, 18 , 5 ,13.0,0.0, 1.000 , 1.08 ,0.51,0.0, 0.00 , 0.06 ,0.28,0.85, 6.81 , 0.00 ,0.85,0.085
107,김명신,21두P, 0.084 , 58 ,1.0,67.0, 13 , 2 ,11.0,0.0, 1.000 , 1.75 ,0.7,0.0, 0.00 , 0.03 ,0.12,0.85, 15.16 , 0.00 ,0.85,0.084
108,백용환,21한C, 0.083 , 23 ,18.0,157.2, 155 , 144 ,10.0,1.0, .994 , 8.79 ,0.4,0.0, -0.92 , -0.03 ,0.03,-0.52, -3.96 , 1.36 ,0.84,-0.052
109,정수빈,21두CF, 0.083 , 99 ,77.0,731.2, 223 , 218 ,4.0,1.0, .996 , 2.73 ,-0.48,-0.1, 0.00 , 0.00 ,0.15,-0.43, -0.70 , 1.26 ,0.83,-0.043
110,이천웅,21LCF, 0.081 , 58 ,42.0,405.2, 90 , 89 ,1.0,0.0, 1.000 , 2.00 ,1.15,-0.28, 0.00 , 0.00 ,0.19,1.07, 3.15 , -0.26 ,0.81,0.107
111,박찬호,21KSS, 0.078 , 124 ,126.0,1100.1, 549 , 205 ,320.0,24.0, .956 , 4.29 ,-4.31,0.0, 0.00 , 0.00 ,-0.57,-4.88, -5.31 , 5.66 ,0.78,-0.488
112,소형준,21KP, 0.078 , 24 ,24.0,119.0, 32 , 14 ,17.0,1.0, .969 , 2.35 ,0.71,0.0, 0.00 , 0.05 ,0.02,0.78, 7.88 , 0.00 ,0.78,0.078
113,홍현빈,21KLF, 0.076 , 25 ,1.0,54.2, 14 , 13 ,1.0,0.0, 1.000 , 2.31 ,0.64,0.38, 0.00 , 0.00 ,0.03,1.04, 22.82 , -0.28 ,0.76,0.104
114,오태곤,21S1B, 0.074 , 105 ,48.0,545.1, 348 , 321 ,24.0,3.0, .991 , 5.69 ,3.49,0.8, 0.00 , 0.00 ,0.03,4.32, 9.47 , -3.57 ,0.74,0.43
115,신민재,21L2B, 0.074 , 22 ,4.0,64.0, 28 , 13 ,14.0,1.0, .964 , 3.80 ,0.87,-0.11, 0.00 , 0.00 ,-0.08,0.67, 12.57 , 0.07 ,0.74,0.067
116,박대온,21NC, 0.071 , 40 ,27.0,234.2, 219 , 204 ,13.0,2.0, .991 , 8.32 ,-0.2,0.0, -0.65 , -0.39 ,-0.05,-1.29, -6.56 , 1.99 ,0.71,-0.13
117,폰트,21SP, 0.071 , 26 ,26.0,145.2, 17 , 4 ,12.0,1.0, .941 , 0.99 ,0.58,0.0, 0.00 , 0.06 ,0.07,0.71, 5.87 , 0.00 ,0.71,0.071
118,쿠에바스,21KP, 0.070 , 23 ,23.0,133.1, 22 , 9 ,11.0,2.0, .909 , 1.35 ,0.8,0.0, 0.00 , 0.06 ,-0.15,0.7, 6.29 , 0.00 ,0.7,0.07
119,이태양,21SP, 0.068 , 39 ,14.0,103.2, 17 , 5 ,12.0,0.0, 1.000 , 1.48 ,0.45,0.0, 0.00 , 0.04 ,0.19,0.68, 7.91 , 0.00 ,0.68,0.068
120,최정원,21N2B, 0.067 , 64 ,57.0,473.0, 242 , 103 ,132.0,7.0, .971 , 4.47 ,0.2,-0.02, 0.00 , 0.00 ,-0.21,-0.03, -0.07 , 0.70 ,0.67,-0.003
121,김도환,21삼C, 0.067 , 25 ,13.0,113.2, 92 , 88 ,3.0,1.0, .989 , 7.21 ,0.05,0.0, -0.31 , -0.01 ,-0.03,-0.31, -3.22 , 0.96 ,0.66,-0.031
122,문찬종,21키2B, 0.066 , 10 ,3.0,39.1, 23 , 9 ,14.0,0.0, 1.000 , 5.26 ,0.48,0.0, 0.00 , 0.00 ,0.11,0.59, 17.98 , 0.07 ,0.66,0.059
123,최민준,21SP, 0.064 , 38 ,12.0,86.0, 15 , 3 ,12.0,0.0, 1.000 , 1.57 ,0.44,0.0, 0.00 , 0.04 ,0.16,0.64, 8.89 , 0.00 ,0.64,0.064
124,이재학,21NP, 0.063 , 17 ,17.0,83.0, 16 , 5 ,10.0,1.0, .938 , 1.63 ,0.64,0.0, 0.00 , 0.04 ,-0.05,0.63, 9.14 , 0.00 ,0.63,0.063
125,최정민,21KCF, 0.062 , 20 ,3.0,59.0, 14 , 13 ,1.0,0.0, 1.000 , 2.14 ,0.7,-0.09, 0.00 , 0.00 ,0.05,0.65, 13.27 , -0.03 ,0.62,0.065
