팀,이름,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
삼성,이승현,0.058,56,0,104.1,15,5,10,0,2.0,2.5999999999999996,0.36000000000000004,0.22999999999999998,0.51,13.23,0.0,0.51,0.058
삼성,이원석,-1.257,178,282,2140.0,970,672,277,21,2.935,12.379999999999999,-11.02,1.45,-9.57,-14.3,-3.5100000000000002,-13.08,-0.92
삼성,이재현,-0.05,75,65,566.1,240,75,154,11,0.954,3.64,-2.51,-0.15,-2.65,-5.61,2.18,-0.48,-0.277
삼성,이학주,0.23700000000000002,67,104,884.3,496,189,292,15,1.936,9.76,-2.09,-0.010000000000000009,-2.1,-7.089999999999999,4.67,2.5700000000000003,-0.219
삼성,이해승,-0.255,43,27,261.1,130,43,78,9,0.931,4.17,-2.87,-0.78,-3.65,-16.74,1.22,-2.44,-0.381
삼성,최영진,-0.232,66,45,522.4,291,212,75,4,2.965,15.129999999999999,-1.66,0.52,-1.19,-9.25,-1.2,-2.38,-0.11399999999999999
삼성,최지광,0.052,59,0,51.1,10,6,4,0,1.0,1.75,0.41,0.1,0.53,12.25,0.0,0.53,0.052
삼성,최채흥,0.03900000000000001,28,46,268.1,67,17,43,7,1.8,4.08,1.02,-0.8800000000000001,0.29000000000000004,5.329999999999998,0.0,0.29000000000000004,0.03900000000000001
삼성,팔카,-0.544,1,25,196.0,92,80,10,2,0.978,4.13,-3.98,-0.2,-4.35,-26.58,-1.36,-5.72,-0.414
삼성,피렐라,-0.614,160,158,1326.1999999999998,303,289,9,5,1.979,3.9699999999999998,-2.17,-0.19,0.6000000000000001,-8.18,-6.83,-6.220000000000001,0.068
삼성,허윤동,-0.043,12,12,55.0,4,0,4,0,1.0,0.66,-0.58,0.14,-0.41,-8.99,0.0,-0.41,-0.043
삼성,황동재,0.041,16,13,66.1,10,5,5,0,1.0,1.36,0.2,0.17,0.39,7.1,0.0,0.39,0.041
