순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
1,박성한,23SSS, 0.307 , 22 ,22.0,194.1, 111 , 36 ,70.0,5.0, .955 , 4.91 ,2.25,0.0, 0.00 , 0.00 ,-0.29,1.95, 12.03 , 0.94 ,2.9,0.207
2,김태연,23한1B, 0.304 , 16 ,14.0,116.0, 114 , 100 ,14.0,0.0, 1.000 , 8.85 ,3.18,0.0, 0.00 , 0.00 ,0.34,3.53, 36.38 , -0.73 ,2.79,0.383
3,김지찬,23삼2B, 0.284 , 20 ,20.0,175.2, 113 , 43 ,68.0,2.0, .982 , 5.69 ,2.16,0.0, 0.00 , 0.00 ,0.24,2.4, 16.36 , 0.28 ,2.69,0.254
4,김민식,23SC, 0.276 , 20 ,14.0,120.1, 110 , 99 ,11.0,0.0, 1.000 , 8.23 ,0.84,0.0, 0.62 , -0.07 ,0.21,1.61, 15.99 , 0.96 ,2.57,0.173
5,양의지,23두C, 0.274 , 21 ,20.0,162.0, 151 , 135 ,15.0,1.0, .993 , 8.33 ,0.22,0.0, 1.00 , -0.02 ,0.09,1.28, 9.49 , 1.32 ,2.61,0.135
6,정수빈,23두CF, 0.247 , 24 ,22.0,189.2, 50 , 49 ,1.0,0.0, 1.000 , 2.37 ,2.55,-0.61, 0.00 , 0.00 ,0.11,2.04, 12.87 , 0.31 ,2.35,0.215
7,문보경,23L3B, 0.215 , 25 ,25.0,221.0, 71 , 20 ,46.0,5.0, .930 , 2.69 ,2.0,0.0, 0.00 , 0.00 ,-0.3,1.7, 9.19 , 0.36 ,2.06,0.177
8,소크라테스,23KRF, 0.214 , 23 ,23.0,205.1, 55 , 54 ,0.0,1.0, .982 , 2.37 ,2.95,-0.5, 0.00 , 0.00 ,-0.02,2.43, 14.16 , -0.41 ,2.02,0.258
9,서호철,23N2B, 0.207 , 18 ,12.0,117.0, 47 , 18 ,28.0,1.0, .979 , 3.54 ,1.56,0.0, 0.00 , 0.00 ,0.2,1.76, 18.01 , 0.19 ,1.95,0.186
10,이정후,23키CF, 0.206 , 20 ,20.0,175.0, 52 , 49 ,2.0,1.0, .981 , 2.62 ,0.37,1.4, 0.00 , 0.00 ,-0.1,1.66, 11.36 , 0.28 ,1.94,0.176
11,박세혁,23NC, 0.197 , 17 ,16.0,133.2, 146 , 134 ,12.0,0.0, 1.000 , 9.83 ,0.14,0.0, 0.20 , 0.19 ,0.24,0.77, 6.92 , 1.07 ,1.84,0.083
12,최재훈,23한C, 0.176 , 18 ,18.0,156.2, 139 , 123 ,15.0,1.0, .993 , 7.93 ,-0.33,0.0, 0.82 , -0.17 ,0.08,0.39, 3.01 , 1.26 ,1.66,0.042
13,강민호,23삼C, 0.170 , 21 ,19.0,165.2, 147 , 138 ,9.0,0.0, 1.000 , 7.99 ,-0.6,0.0, 0.19 , 0.39 ,0.29,0.27, 1.98 , 1.39 ,1.66,0.028
14,최정,23S3B, 0.169 , 22 ,22.0,190.1, 56 , 11 ,42.0,3.0, .946 , 2.51 ,1.3,0.0, 0.00 , 0.00 ,0.0,1.31, 8.22 , 0.31 ,1.62,0.136
15,오선진,23한SS, 0.159 , 18 ,10.0,103.2, 40 , 18 ,22.0,0.0, 1.000 , 3.47 ,0.68,0.0, 0.00 , 0.00 ,0.37,1.05, 12.14 , 0.41 ,1.46,0.114
16,노진혁,23롯SS, 0.158 , 22 ,20.0,181.1, 75 , 29 ,44.0,2.0, .973 , 3.62 ,0.35,0.0, 0.00 , 0.00 ,0.26,0.61, 4.00 , 0.88 ,1.49,0.064
17,김민성,23LSS, 0.156 , 22 ,18.0,153.0, 91 , 46 ,41.0,4.0, .956 , 5.12 ,1.3,0.0, 0.00 , 0.00 ,-0.26,1.04, 8.11 , 0.44 ,1.48,0.11
18,박찬호,23KSS, 0.149 , 23 ,20.0,176.1, 84 , 39 ,42.0,3.0, .964 , 4.13 ,0.5,0.0, 0.00 , 0.00 ,0.04,0.54, 3.66 , 0.84 ,1.38,0.058
19,천재환,23NCF, 0.148 , 21 ,16.0,151.0, 37 , 36 ,1.0,0.0, 1.000 , 2.21 ,0.82,0.31, 0.00 , 0.00 ,0.09,1.21, 9.59 , 0.20 ,1.41,0.127
20,양찬열,23두RF, 0.147 , 9 ,4.0,50.0, 16 , 14 ,2.0,0.0, 1.000 , 2.88 ,0.22,1.35, 0.00 , 0.00 ,0.06,1.62, 38.86 , -0.24 ,1.38,0.173
21,이성규,23삼CF, 0.145 , 21 ,17.0,146.2, 54 , 53 ,1.0,0.0, 1.000 , 3.31 ,0.94,0.11, 0.00 , 0.00 ,0.08,1.13, 9.20 , 0.21 ,1.34,0.122
22,이상호,23K3B, 0.143 , 21 ,7.0,94.1, 38 , 15 ,22.0,1.0, .974 , 3.53 ,1.1,0.0, 0.00 , 0.00 ,0.12,1.22, 15.43 , 0.12 ,1.33,0.131
