순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
11,최원태,23키, 0.88 , 5 , 0 , 0 , 5 , 1 , 1 , 0 , 0 , 31.0 , 10 , 10 , 123 , 27 , 5 , 0 , 1 , 8 , 0 , 2 , 20 , 0 , 0 , 2.90 , 3.41 , 1.13 , 131.9 , 112.3 , 0.64 
12,김재윤,23K, 0.85 , 9 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 11.1 , 1 , 1 , 44 , 5 , 1 , 0 , 1 , 4 , 1 , 0 , 13 , 0 , 0 , 0.79 , 2.96 , 0.79 , 504.1 , 132.7 , 0.69 
13,문동주,23한, 0.78 , 4 , 0 , 0 , 4 , 1 , 2 , 0 , 0 , 22.2 , 6 , 6 , 87 , 14 , 3 , 0 , 0 , 7 , 0 , 1 , 25 , 0 , 1 , 2.38 , 2.17 , 0.93 , 164.6 , 181.5 , 0.36 
14,정철원,23두, 0.76 , 13 , 0 , 0 , 0 , 3 , 1 , 0 , 4 , 16.0 , 4 , 4 , 67 , 13 , 1 , 0 , 2 , 6 , 0 , 1 , 14 , 0 , 0 , 2.25 , 4.51 , 1.19 , 170.8 , 85.6 , 0.40 
15,김진욱,23롯, 0.75 , 10 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 11.2 , 0 , 0 , 45 , 2 , 1 , 0 , 0 , 8 , 0 , 0 , 12 , 0 , 0 , 0.00 , 3.32 , 0.86 ,  , 118.6 , 0.58 
16,양현종,23K, 0.73 , 4 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 24.0 , 7 , 7 , 100 , 20 , 7 , 0 , 1 , 10 , 1 , 1 , 26 , 0 , 1 , 2.63 , 2.94 , 1.25 , 146.8 , 131.4 , 0.34 
17,맥카티,23S, 0.66 , 5 , 0 , 0 , 5 , 2 , 1 , 0 , 0 , 30.0 , 11 , 9 , 117 , 18 , 0 , 0 , 3 , 11 , 0 , 0 , 25 , 0 , 2 , 2.70 , 4.05 , 0.97 , 148.7 , 100.1 , 0.71 
18,김동주,23두, 0.63 , 4 , 0 , 0 , 4 , 1 , 1 , 0 , 0 , 21.0 , 6 , 5 , 88 , 20 , 3 , 0 , 2 , 6 , 0 , 1 , 21 , 0 , 2 , 2.14 , 3.56 , 1.24 , 179.3 , 108.6 , 0.45 
19,이의리,23K, 0.62 , 6 , 0 , 0 , 6 , 2 , 2 , 0 , 0 , 27.1 , 10 , 8 , 132 , 22 , 3 , 0 , 0 , 26 , 0 , 1 , 34 , 0 , 2 , 2.63 , 3.79 , 1.76 , 146.3 , 103.3 , 0.15 
20,김대우,23삼, 0.61 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 10.1 , 1 , 1 , 41 , 4 , 0 , 0 , 0 , 6 , 0 , 0 , 10 , 0 , 0 , 0.87 , 3.12 , 0.97 , 461.5 , 124.1 , 0.52 
21,슐서,23K, 0.57 , 4 , 0 , 0 , 4 , 1 , 2 , 0 , 0 , 25.0 , 9 , 8 , 101 , 28 , 3 , 0 , 2 , 2 , 0 , 0 , 16 , 0 , 0 , 2.88 , 3.32 , 1.20 , 139.0 , 117.8 , 0.10 
22,김상수,23롯, 0.56 , 13 , 0 , 0 , 0 , 2 , 0 , 1 , 4 , 10.1 , 1 , 1 , 42 , 8 , 0 , 0 , 0 , 3 , 0 , 1 , 6 , 0 , 0 , 0.87 , 3.32 , 1.07 , 461.5 , 118.6 , 0.35 
23,손동현,23K, 0.55 , 10 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 12.1 , 3 , 3 , 47 , 8 , 1 , 0 , 0 , 2 , 0 , 2 , 9 , 0 , 0 , 2.19 , 2.83 , 0.81 , 182.9 , 138.5 , 0.64 
24,송영진,23S, 0.51 , 5 , 0 , 0 , 3 , 2 , 0 , 0 , 0 , 18.2 , 6 , 4 , 79 , 8 , 3 , 0 , 0 , 15 , 0 , 1 , 15 , 0 , 4 , 1.93 , 4.28 , 1.23 , 208.2 , 93.1 , 0.22 
25,최민준,23S, 0.50 , 14 , 0 , 0 , 0 , 3 , 1 , 0 , 3 , 14.1 , 5 , 4 , 65 , 18 , 3 , 0 , 0 , 4 , 0 , 0 , 8 , 0 , 0 , 2.51 , 3.04 , 1.54 , 159.9 , 130.4 , -0.47 
26,뷰캐넌,23삼, 0.49 , 5 , 0 , 0 , 5 , 2 , 2 , 0 , 0 , 32.2 , 15 , 12 , 140 , 32 , 5 , 1 , 0 , 7 , 0 , 1 , 28 , 0 , 0 , 3.31 , 2.34 , 1.19 , 121.6 , 166.4 , 0.18 
27,김진성,23L, 0.48 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 13.0 , 4 , 4 , 54 , 11 , 3 , 0 , 1 , 4 , 0 , 0 , 12 , 0 , 0 , 2.77 , 3.39 , 1.15 , 138.3 , 111.3 , -0.14 
28,임찬규,23L, 0.46 , 7 , 0 , 0 , 3 , 1 , 0 , 0 , 1 , 21.2 , 8 , 7 , 92 , 19 , 1 , 1 , 0 , 11 , 0 , 0 , 21 , 0 , 1 , 2.91 , 2.90 , 1.39 , 131.7 , 136.4 , 0.86 
29,정해영,23K, 0.46 , 12 , 0 , 0 , 0 , 3 , 1 , 2 , 0 , 12.0 , 4 , 4 , 50 , 12 , 0 , 0 , 2 , 4 , 0 , 1 , 5 , 0 , 0 , 3.00 , 5.90 , 1.33 , 128.5 , 65.4 , 0.22 
30,김기중,23한, 0.45 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.1 , 1 , 0 , 35 , 2 , 0 , 0 , 0 , 7 , 1 , 0 , 8 , 0 , 1 , 0.00 , 3.53 , 0.96 ,  , 111.6 , 0.37 
31,윤대경,23한, 0.45 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9.2 , 1 , 1 , 38 , 5 , 1 , 0 , 0 , 4 , 0 , 0 , 5 , 0 , 0 , 0.93 , 3.52 , 0.93 , 421.1 , 111.7 , 0.49 
32,홍건희,23두, 0.45 , 11 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 11.0 , 3 , 3 , 44 , 10 , 3 , 1 , 0 , 2 , 0 , 0 , 7 , 0 , 1 , 2.45 , 2.59 , 1.09 , 156.5 , 152.5 , 0.34 
33,요키시,23키, 0.44 , 5 , 0 , 0 , 5 , 3 , 0 , 0 , 0 , 29.0 , 12 , 11 , 123 , 32 , 9 , 0 , 2 , 6 , 1 , 0 , 22 , 0 , 0 , 3.41 , 3.21 , 1.31 , 112.2 , 116.5 , 0.18 
34,김진호,23N, 0.44 , 14 , 0 , 0 , 0 , 1 , 1 , 0 , 7 , 13.0 , 4 , 4 , 55 , 10 , 1 , 0 , 0 , 8 , 0 , 0 , 18 , 0 , 2 , 2.77 , 2.39 , 1.39 , 141.0 , 164.3 , 0.35 
35,송명기,23N, 0.42 , 5 , 0 , 0 , 5 , 1 , 3 , 0 , 0 , 26.0 , 11 , 10 , 120 , 27 , 5 , 0 , 1 , 12 , 0 , 4 , 20 , 0 , 1 , 3.46 , 4.13 , 1.50 , 112.8 , 95.7 , 0.19 
36,최지민,23K, 0.41 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 12.1 , 3 , 3 , 48 , 10 , 1 , 0 , 0 , 4 , 0 , 0 , 6 , 0 , 2 , 2.19 , 3.32 , 1.14 , 176.0 , 118.3 , 0.11 
37,양현,23키, 0.40 , 9 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 10.1 , 2 , 2 , 41 , 12 , 2 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 1.74 , 3.51 , 1.36 , 219.9 , 111.7 , -0.09 
38,노경은,23S, 0.40 , 12 , 0 , 0 , 0 , 1 , 1 , 2 , 5 , 11.1 , 4 , 4 , 52 , 12 , 4 , 0 , 0 , 9 , 1 , 0 , 13 , 0 , 1 , 3.18 , 3.14 , 1.85 , 126.4 , 127.2 , -0.03 
39,장민재,23한, 0.38 , 4 , 0 , 0 , 4 , 1 , 1 , 0 , 0 , 20.0 , 8 , 7 , 80 , 19 , 4 , 0 , 3 , 4 , 0 , 0 , 10 , 0 , 2 , 3.15 , 4.87 , 1.15 , 124.5 , 81.9 , 0.15 
40,후라도,23키, 0.36 , 5 , 0 , 0 , 5 , 2 , 3 , 0 , 0 , 28.2 , 13 , 10 , 130 , 30 , 2 , 0 , 1 , 8 , 0 , 4 , 28 , 0 , 1 , 3.14 , 3.07 , 1.33 , 122.0 , 123.9 , -0.04 
41,문성현,23키, 0.36 , 8 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 8.2 , 2 , 2 , 37 , 8 , 2 , 0 , 0 , 3 , 0 , 0 , 4 , 0 , 1 , 2.08 , 3.43 , 1.27 , 184.4 , 113.8 , -0.04 
42,이준영,23K, 0.36 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 8.1 , 2 , 2 , 37 , 6 , 0 , 0 , 0 , 6 , 1 , 0 , 5 , 0 , 0 , 2.16 , 3.92 , 1.44 , 178.4 , 99.2 , 0.44 
43,임창민,23키, 0.35 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 7.1 , 1 , 1 , 31 , 10 , 0 , 0 , 0 , 0 , 0 , 1 , 10 , 0 , 0 , 1.23 , 1.00 , 1.36 , 312.1 , 377.2 , 0.16 
44,구승민,23롯, 0.34 , 12 , 0 , 0 , 0 , 0 , 0 , 2 , 8 , 12.0 , 5 , 4 , 57 , 14 , 2 , 0 , 3 , 6 , 0 , 1 , 15 , 0 , 1 , 3.00 , 5.82 , 1.67 , 134.0 , 67.3 , 0.32 
45,박상원,23한, 0.34 , 3 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 3.0 , 0 , 0 , 12 , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0.00 , 3.98 , 1.67 ,  , 98.8 , 0.16 
46,김영규,23N, 0.33 , 12 , 0 , 0 , 0 , 0 , 2 , 0 , 5 , 13.0 , 5 , 5 , 49 , 7 , 1 , 1 , 0 , 5 , 0 , 0 , 12 , 0 , 1 , 3.46 , 2.63 , 0.92 , 112.8 , 149.8 , -0.26 
47,강재민,23한, 0.33 , 13 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 12.2 , 5 , 5 , 48 , 7 , 2 , 1 , 0 , 3 , 0 , 0 , 11 , 0 , 0 , 3.55 , 2.29 , 0.79 , 110.4 , 171.8 , 0.27 
48,이태양,23한, 0.32 , 9 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 13.1 , 5 , 4 , 62 , 16 , 6 , 0 , 0 , 3 , 0 , 1 , 8 , 0 , 0 , 2.70 , 3.02 , 1.43 , 145.2 , 130.5 , -0.00 
49,류진욱,23N, 0.32 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 8.0 , 1 , 1 , 27 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 6 , 0 , 0 , 1.13 , 2.94 , 0.50 , 347.1 , 133.7 , 0.24 
50,한승주,23한, 0.32 , 10 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 11.0 , 4 , 4 , 51 , 15 , 3 , 1 , 1 , 5 , 1 , 1 , 9 , 0 , 2 , 3.27 , 4.23 , 1.82 , 119.8 , 94.1 , -0.27 
51,백정현,23삼, 0.31 , 5 , 0 , 0 , 5 , 1 , 3 , 0 , 0 , 24.0 , 11 , 11 , 103 , 22 , 7 , 1 , 1 , 10 , 0 , 0 , 20 , 1 , 1 , 4.13 , 3.44 , 1.33 , 97.4 , 114.3 , 0.05 
52,유영찬,23L, 0.31 , 12 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 15.1 , 6 , 6 , 65 , 9 , 1 , 1 , 0 , 9 , 0 , 1 , 12 , 0 , 4 , 3.52 , 3.71 , 1.17 , 108.8 , 106.5 , -0.40 
53,박영현,23K, 0.31 , 14 , 0 , 0 , 0 , 0 , 2 , 0 , 4 , 14.0 , 6 , 6 , 60 , 13 , 4 , 1 , 0 , 5 , 1 , 1 , 15 , 2 , 0 , 3.86 , 2.25 , 1.29 , 103.8 , 176.7 , -0.14 
54,함덕주,23L, 0.30 , 15 , 0 , 0 , 0 , 1 , 0 , 0 , 4 , 13.0 , 5 , 4 , 52 , 9 , 3 , 0 , 0 , 6 , 0 , 0 , 11 , 0 , 0 , 2.77 , 3.01 , 1.15 , 138.3 , 131.4 , 0.51 
55,알칸타라,23두, 0.29 , 5 , 0 , 0 , 5 , 2 , 2 , 0 , 0 , 28.0 , 13 , 7 , 121 , 25 , 7 , 0 , 3 , 10 , 0 , 0 , 37 , 0 , 1 , 2.25 , 3.14 , 1.25 , 170.8 , 122.5 , 0.16 
56,이우찬,23L, 0.29 , 9 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 12.0 , 4 , 4 , 49 , 12 , 1 , 0 , 1 , 3 , 0 , 1 , 7 , 1 , 0 , 3.00 , 4.23 , 1.25 , 127.7 , 89.5 , 0.08 
57,문승원,23S, 0.28 , 3 , 0 , 0 , 3 , 1 , 1 , 0 , 0 , 17.2 , 8 , 8 , 77 , 22 , 5 , 0 , 2 , 6 , 0 , 1 , 10 , 0 , 1 , 4.08 , 4.85 , 1.59 , 98.5 , 83.4 , -0.03 
58,김원중,23롯, 0.28 , 13 , 0 , 0 , 0 , 1 , 1 , 7 , 0 , 13.2 , 6 , 6 , 54 , 12 , 0 , 2 , 1 , 3 , 0 , 0 , 19 , 0 , 0 , 3.95 , 2.15 , 1.10 , 101.7 , 183.2 , 0.32 
59,김동혁,23키, 0.28 , 12 , 0 , 0 , 0 , 0 , 3 , 0 , 5 , 14.0 , 6 , 6 , 54 , 13 , 2 , 0 , 0 , 2 , 0 , 0 , 11 , 1 , 0 , 3.86 , 2.17 , 1.07 , 99.3 , 178.3 , -0.05 
60,장현식,23K, 0.28 , 3 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 3.0 , 0 , 0 , 14 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0.00 , 2.98 , 1.67 ,  , 131.4 , 0.19 
61,최지강,23두, 0.27 , 12 , 0 , 0 , 0 , 1 , 1 , 0 , 2 , 10.2 , 4 , 4 , 44 , 3 , 0 , 0 , 0 , 8 , 0 , 0 , 8 , 0 , 0 , 3.38 , 4.07 , 1.03 , 113.8 , 97.2 , 0.51 
62,구창모,23N, 0.27 , 5 , 0 , 0 , 5 , 0 , 1 , 0 , 0 , 30.1 , 15 , 13 , 124 , 25 , 2 , 0 , 2 , 10 , 0 , 0 , 31 , 0 , 0 , 3.86 , 3.12 , 1.15 , 101.2 , 126.8 , 0.52 
63,원태인,23삼, 0.26 , 5 , 0 , 0 , 5 , 2 , 1 , 0 , 0 , 29.2 , 15 , 15 , 132 , 34 , 3 , 0 , 4 , 12 , 0 , 1 , 15 , 1 , 0 , 4.55 , 5.37 , 1.55 , 88.3 , 74.5 , 0.01 
64,이승현,23삼, 0.25 , 12 , 0 , 0 , 0 , 1 , 2 , 0 , 3 , 13.1 , 6 , 6 , 58 , 15 , 2 , 0 , 0 , 2 , 0 , 0 , 9 , 0 , 1 , 4.05 , 2.42 , 1.28 , 99.2 , 161.4 , 0.00 
65,최원준,23두, 0.25 , 5 , 0 , 0 , 5 , 0 , 2 , 0 , 0 , 29.0 , 14 , 13 , 123 , 25 , 6 , 0 , 2 , 7 , 0 , 6 , 20 , 0 , 0 , 4.03 , 4.18 , 1.10 , 95.2 , 93.2 , -0.03 
66,박민호,23S, 0.24 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.1 , 1 , 1 , 28 , 7 , 0 , 0 , 0 , 1 , 0 , 2 , 3 , 0 , 0 , 1.42 , 3.79 , 1.26 , 282.6 , 104.9 , 0.09 
67,이승현,23삼, 0.24 , 11 , 0 , 0 , 0 , 1 , 1 , 3 , 0 , 11.0 , 5 , 5 , 46 , 10 , 1 , 0 , 2 , 5 , 0 , 1 , 12 , 0 , 0 , 4.09 , 5.14 , 1.36 , 98.2 , 78.4 , -0.03 
68,김윤식,23L, 0.24 , 5 , 0 , 0 , 5 , 2 , 1 , 0 , 0 , 20.0 , 9 , 9 , 91 , 23 , 2 , 0 , 2 , 13 , 0 , 0 , 15 , 0 , 0 , 4.05 , 5.07 , 1.80 , 94.6 , 74.9 , 0.05 
69,김성진,23키, 0.23 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.2 , 2 , 2 , 38 , 9 , 1 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 2.08 , 3.66 , 1.39 , 184.4 , 106.8 , -0.00 
70,김범수,23한, 0.22 , 12 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 12.2 , 6 , 6 , 58 , 14 , 1 , 0 , 1 , 7 , 1 , 1 , 11 , 0 , 0 , 4.26 , 4.26 , 1.66 , 92.0 , 93.1 , -0.33 
71,오원석,23S, 0.21 , 5 , 1 , 0 , 5 , 2 , 1 , 0 , 0 , 27.0 , 14 , 12 , 116 , 24 , 2 , 0 , 2 , 10 , 0 , 1 , 26 , 0 , 1 , 4.00 , 3.58 , 1.26 , 100.4 , 113.2 , 0.04 
72,임준섭,23S, 0.20 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.1 , 1 , 1 , 18 , 2 , 1 , 0 , 0 , 3 , 0 , 0 , 5 , 0 , 0 , 2.08 , 3.09 , 1.15 , 193.3 , 129.6 , 0.12 
73,백승현,23L, 0.19 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3.1 , 0 , 0 , 11 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0.00 , 1.52 , 0.30 ,  , 261.7 , 0.17 
74,이호성,23삼, 0.18 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7.0 , 2 , 2 , 26 , 3 , 2 , 0 , 0 , 4 , 0 , 0 , 4 , 0 , 1 , 2.57 , 3.89 , 1.00 , 156.3 , 100.2 , -0.11 
75,김재웅,23키, 0.18 , 8 , 0 , 0 , 0 , 1 , 1 , 3 , 0 , 7.1 , 3 , 3 , 29 , 5 , 0 , 0 , 0 , 3 , 1 , 0 , 5 , 0 , 0 , 3.68 , 2.77 , 1.09 , 104.0 , 140.5 , 0.58 
76,이재희,23삼, 0.17 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 8.0 , 3 , 3 , 33 , 4 , 1 , 0 , 1 , 5 , 0 , 0 , 5 , 0 , 1 , 3.38 , 5.57 , 1.13 , 119.1 , 71.6 , -0.06 
77,최준용,23롯, 0.17 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2.0 , 0 , 0 , 12 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00 , 3.32 , 3.00 ,  , 118.6 , -0.13 
78,하준영,23N, 0.16 , 11 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 10.2 , 5 , 5 , 43 , 9 , 0 , 1 , 0 , 3 , 0 , 0 , 12 , 0 , 0 , 4.22 , 1.91 , 1.13 , 92.6 , 205.3 , -0.12 
79,수아레즈,23삼, 0.16 , 4 , 0 , 0 , 4 , 0 , 1 , 0 , 0 , 22.0 , 12 , 12 , 97 , 27 , 3 , 1 , 1 , 8 , 0 , 0 , 13 , 0 , 0 , 4.91 , 3.82 , 1.59 , 81.9 , 103.4 , 0.02 
80,이로운,23S, 0.15 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 9.0 , 4 , 2 , 41 , 8 , 2 , 0 , 0 , 7 , 0 , 0 , 9 , 0 , 0 , 2.00 , 3.65 , 1.67 , 200.8 , 109.3 , -0.24 
81,박치국,23두, 0.14 , 14 , 0 , 0 , 0 , 1 , 0 , 1 , 3 , 10.1 , 5 , 5 , 46 , 8 , 1 , 0 , 0 , 6 , 1 , 1 , 7 , 0 , 0 , 4.35 , 3.70 , 1.36 , 88.2 , 107.2 , 0.44 
82,김기훈,23K, 0.14 , 11 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 12.0 , 6 , 4 , 54 , 10 , 1 , 0 , 0 , 12 , 0 , 0 , 12 , 0 , 3 , 3.00 , 4.32 , 1.83 , 128.5 , 90.7 , -0.60 
83,오승환,23삼, 0.13 , 10 , 0 , 0 , 0 , 1 , 1 , 4 , 2 , 10.0 , 5 , 5 , 47 , 13 , 4 , 0 , 2 , 5 , 0 , 0 , 8 , 0 , 0 , 4.50 , 5.82 , 1.80 , 89.3 , 69.3 , -0.65 
84,정우람,23한, 0.12 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 8.1 , 4 , 4 , 33 , 7 , 1 , 0 , 1 , 0 , 0 , 1 , 5 , 0 , 0 , 4.32 , 4.04 , 0.84 , 90.8 , 98.7 , 0.46 
85,신정락,23롯, 0.11 , 6 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 6.2 , 3 , 3 , 26 , 6 , 2 , 0 , 1 , 1 , 1 , 0 , 4 , 0 , 0 , 4.05 , 4.07 , 1.05 , 99.2 , 96.2 , 0.23 
86,최동환,23L, 0.11 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.1 , 0 , 0 , 11 , 2 , 1 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0.00 , 4.17 , 1.71 ,  , 94.6 , -0.01 
87,전상현,23K, 0.11 , 13 , 0 , 0 , 0 , 1 , 0 , 0 , 4 , 10.0 , 5 , 5 , 50 , 10 , 2 , 0 , 1 , 10 , 1 , 0 , 11 , 0 , 0 , 4.50 , 5.12 , 2.00 , 85.6 , 75.2 , -0.49 
88,이민석,23롯, 0.10 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0.00 , 4.07 , 0.75 ,  , 96.7 , 0.10 
89,이민호,23L, 0.10 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 5.1 , 2 , 0 , 24 , 5 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0.00 , 4.07 , 1.31 ,  , 96.8 , 0.01 
90,윤명준,23롯, 0.10 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 6.1 , 3 , 3 , 30 , 10 , 1 , 1 , 0 , 4 , 1 , 1 , 3 , 0 , 2 , 4.26 , 4.26 , 2.21 , 94.3 , 92.0 , 0.17 
91,하영민,23키, 0.10 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 8.0 , 4 , 4 , 39 , 12 , 2 , 1 , 1 , 5 , 0 , 0 , 8 , 0 , 1 , 4.50 , 4.82 , 2.13 , 85.1 , 77.0 , -0.19 
92,임정호,23N, 0.09 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 9.2 , 5 , 4 , 44 , 11 , 1 , 0 , 1 , 5 , 0 , 0 , 7 , 0 , 2 , 3.72 , 4.77 , 1.66 , 104.9 , 83.2 , -0.06 
93,이병헌,23두, 0.08 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 6.1 , 3 , 2 , 29 , 5 , 2 , 0 , 0 , 5 , 0 , 0 , 6 , 0 , 1 , 2.84 , 3.79 , 1.58 , 135.2 , 104.5 , -0.13 
94,임기영,23K, 0.08 , 8 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 13.0 , 7 , 7 , 59 , 12 , 2 , 0 , 0 , 5 , 0 , 4 , 10 , 0 , 0 , 4.85 , 3.86 , 1.31 , 79.5 , 102.5 , -0.16 
95,고효준,23S, 0.07 , 10 , 0 , 0 , 0 , 1 , 1 , 0 , 2 , 7.2 , 4 , 4 , 35 , 5 , 0 , 0 , 1 , 8 , 0 , 0 , 7 , 0 , 1 , 4.70 , 6.32 , 1.70 , 85.5 , 64.0 , -0.04 
96,신헌민,23S, 0.06 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.0 , 1 , 1 , 13 , 3 , 0 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 3.00 , 7.32 , 1.33 , 133.8 , 56.2 , 0.02 
97,김광현,23S, 0.06 , 4 , 0 , 0 , 4 , 2 , 0 , 0 , 0 , 18.0 , 10 , 10 , 84 , 21 , 4 , 0 , 3 , 11 , 0 , 0 , 12 , 0 , 1 , 5.00 , 5.98 , 1.78 , 80.3 , 67.8 , 0.01 
