순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
1,페디,23N, 2.03 , 6 , 0 , 0 , 6 , 4 , 1 , 0 , 0 , 38.0 , 5 , 2 , 148 , 24 , 3 , 0 , 0 , 10 , 0 , 1 , 48 , 0 , 2 , 0.47 , 1.66 , 0.90 , 824.4 , 236.2 , 1.42 
2,안우진,23키, 1.95 , 6 , 0 , 0 , 6 , 2 , 1 , 0 , 0 , 37.0 , 5 , 4 , 141 , 22 , 3 , 0 , 1 , 7 , 0 , 0 , 49 , 0 , 4 , 0.97 , 1.59 , 0.78 , 393.7 , 232.1 , 1.50 
3,나균안,23롯, 1.74 , 5 , 0 , 0 , 5 , 4 , 0 , 0 , 0 , 33.2 , 5 , 5 , 134 , 22 , 4 , 0 , 0 , 8 , 0 , 3 , 29 , 0 , 2 , 1.34 , 2.58 , 0.89 , 300.7 , 152.9 , 1.27 
4,곽빈,23두, 1.40 , 5 , 0 , 0 , 5 , 3 , 1 , 0 , 0 , 30.2 , 6 , 3 , 116 , 17 , 4 , 0 , 0 , 11 , 0 , 0 , 30 , 0 , 1 , 0.88 , 2.44 , 0.91 , 436.4 , 162.6 , 0.91 
5,플럿코,23L, 1.34 , 5 , 0 , 0 , 5 , 4 , 0 , 0 , 0 , 29.1 , 5 , 5 , 120 , 22 , 5 , 0 , 1 , 11 , 0 , 0 , 19 , 0 , 1 , 1.53 , 3.59 , 1.13 , 249.7 , 107.9 , 0.94 
6,이용준,23N, 1.18 , 5 , 0 , 0 , 4 , 2 , 0 , 0 , 0 , 23.2 , 3 , 3 , 88 , 9 , 2 , 0 , 0 , 12 , 0 , 0 , 17 , 0 , 1 , 1.14 , 3.40 , 0.89 , 342.3 , 115.8 , 0.74 
7,앤더슨,23K, 1.11 , 6 , 0 , 0 , 6 , 3 , 2 , 0 , 0 , 38.1 , 12 , 11 , 150 , 32 , 4 , 0 , 4 , 6 , 0 , 0 , 27 , 0 , 5 , 2.58 , 3.74 , 0.99 , 149.2 , 103.2 , 0.86 
8,엄상백,23K, 1.11 , 3 , 0 , 0 , 3 , 1 , 1 , 0 , 0 , 17.0 , 1 , 1 , 63 , 10 , 0 , 0 , 0 , 5 , 0 , 0 , 20 , 0 , 0 , 0.53 , 1.85 , 0.88 , 756.2 , 215.9 , 0.76 
9,고영표,23K, 1.06 , 6 , 0 , 0 , 5 , 2 , 1 , 0 , 0 , 34.1 , 11 , 11 , 141 , 36 , 0 , 2 , 3 , 3 , 0 , 3 , 20 , 0 , 0 , 2.88 , 3.81 , 1.14 , 138.8 , 102.2 , 0.65 
10,서진용,23S, 0.96 , 12 , 0 , 0 , 0 , 1 , 0 , 10 , 0 , 12.1 , 1 , 0 , 50 , 7 , 2 , 0 , 0 , 4 , 0 , 2 , 15 , 0 , 0 , 0.00 , 2.34 , 0.89 ,  , 171.3 , 0.99 
