순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
97,장운호,23한RF, 0.03 , 4 , 11 , 9 , 1 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , .222 , .364 , .222 , .586 , .310 , 85.7 , 0.03 , -0.20 
98,이해승,23삼3B, 0.03 , 9 , 4 , 4 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .250 , .250 , .500 , .750 , .341 , 106.7 , 0.03 , -0.02 
99,박찬혁,23키DH, 0.02 , 6 , 20 , 19 , 2 , 5 , 2 , 0 , 0 , 7 , 3 , 0 , 0 , 0 , 1 , 0 , 5 , 1 , 0 , 0 , .263 , .300 , .368 , .668 , .320 , 92.8 , 0.02 , -0.09 
100,김태군,23삼C, 0.02 , 10 , 23 , 18 , 2 , 3 , 1 , 0 , 0 , 4 , 3 , 0 , 0 , 3 , 2 , 1 , 1 , 2 , 0 , 0 , .167 , .348 , .222 , .570 , .287 , 70.1 , 0.02 , -0.13 
101,전병우,23키1B, 0.02 , 12 , 22 , 19 , 3 , 3 , 1 , 0 , 1 , 7 , 2 , 0 , 0 , 3 , 0 , 0 , 10 , 0 , 0 , 0 , .158 , .273 , .368 , .641 , .305 , 94.1 , 0.02 , -0.34 
102,정보근,23롯C, 0.01 , 10 , 9 , 7 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , .143 , .333 , .143 , .476 , .271 , 58.6 , 0.01 , -0.04 
103,최정용,23K2B, 0.01 , 4 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , 0.01 , -0.05 
104,김수윤,23N3B, 0.01 , 2 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 ,  , 0.01 , -0.10 
105,오재일,23삼1B, 0.01 , 24 , 94 , 83 , 10 , 16 , 4 , 0 , 3 , 29 , 16 , 0 , 0 , 11 , 0 , 0 , 31 , 1 , 0 , 0 , .193 , .287 , .349 , .637 , .306 , 80.5 , 0.01 , 1.38 
106,김민수,23삼C, 0.01 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 ,  , 0.01 , -0.05 
107,김재상,23삼2B, 0.01 , 2 , 4 , 4 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .250 , .250 , .250 , .500 , .243 , 38.9 , 0.01 , -0.07 
108,홍종표,23K2B, 0.01 , 10 , 4 , 2 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .500 , .000 , .500 , .367 , 125.0 , 0.01 , 0.02 
109,이승원,23키, 0.01 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 ,  , 0.01 , -0.00 
110,신준우,23키2B, 0.00 , 9 , 1 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , 0.00 , 0.00 
111,이학주,23롯3B, 0.00 , 15 , 17 , 16 , 2 , 4 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , .250 , .294 , .250 , .544 , .271 , 57.8 , 0.00 , 0.18 
