순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
180,송찬의,23L1B, -0.15 , 13 , 16 , 13 , 2 , 1 , 1 , 0 , 0 , 2 , 1 , 1 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 0 , .077 , .250 , .154 , .404 , .223 , 27.7 , -0.15 , -0.17 
181,윤정빈,23삼LF, -0.15 , 4 , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.3 , -0.15 , -0.09 
182,김민석,23롯CF, -0.16 , 19 , 60 , 56 , 9 , 11 , 2 , 0 , 0 , 13 , 6 , 2 , 0 , 4 , 0 , 0 , 13 , 0 , 0 , 0 , .196 , .250 , .232 , .482 , .240 , 35.9 , -0.16 , 0.02 
183,황재균,23K3B, -0.16 , 11 , 41 , 37 , 4 , 7 , 2 , 1 , 0 , 11 , 5 , 0 , 1 , 3 , 0 , 0 , 9 , 0 , 1 , 0 , .189 , .250 , .297 , .547 , .257 , 47.1 , -0.16 , -0.69 
184,박정현,23한SS, -0.16 , 16 , 42 , 37 , 7 , 5 , 2 , 0 , 1 , 10 , 2 , 0 , 0 , 3 , 0 , 0 , 16 , 0 , 2 , 0 , .135 , .200 , .270 , .470 , .215 , 20.0 , -0.16 , -0.61 
185,한승택,23KC, -0.17 , 19 , 52 , 43 , 3 , 5 , 1 , 0 , 0 , 6 , 2 , 0 , 0 , 7 , 1 , 0 , 17 , 0 , 1 , 0 , .116 , .255 , .140 , .394 , .214 , 21.2 , -0.17 , -0.60 
186,정주현,23LSS, -0.18 , 11 , 14 , 12 , 1 , 2 , 0 , 0 , 0 , 2 , 3 , 1 , 1 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , .167 , .154 , .167 , .321 , .139 , -31.5 , -0.18 , -0.09 
187,김수환,23키1B, -0.19 , 9 , 10 , 9 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 5 , 0 , 0 , 0 , .000 , .100 , .000 , .100 , .077 , -73.3 , -0.19 , -0.33 
188,조용호,23KRF, -0.19 , 13 , 51 , 47 , 5 , 9 , 1 , 0 , 0 , 10 , 0 , 2 , 0 , 4 , 0 , 0 , 13 , 2 , 0 , 0 , .191 , .255 , .213 , .468 , .237 , 33.6 , -0.19 , -0.96 
189,김성윤,23삼CF, -0.20 , 18 , 36 , 31 , 3 , 5 , 0 , 1 , 0 , 7 , 5 , 1 , 0 , 2 , 0 , 0 , 5 , 0 , 1 , 2 , .161 , .200 , .226 , .426 , .196 , 8.3 , -0.20 , -0.12 
190,문현빈,23한CF, -0.20 , 21 , 58 , 55 , 2 , 12 , 1 , 1 , 0 , 15 , 5 , 2 , 1 , 2 , 0 , 0 , 9 , 0 , 1 , 0 , .218 , .246 , .273 , .518 , .246 , 44.7 , -0.20 , -0.38 
191,정훈,23롯1B, -0.21 , 15 , 15 , 12 , 2 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 1 , 5 , 0 , 0 , 0 , .083 , .267 , .083 , .350 , .174 , -6.5 , -0.21 , 0.17 
192,오영수,23N1B, -0.22 , 26 , 97 , 82 , 9 , 15 , 3 , 0 , 3 , 27 , 11 , 2 , 1 , 9 , 2 , 0 , 25 , 2 , 2 , 2 , .183 , .274 , .329 , .603 , .283 , 67.7 , -0.22 , -0.52 
193,한석현,23NLF, -0.22 , 24 , 60 , 54 , 5 , 12 , 1 , 0 , 0 , 13 , 2 , 2 , 1 , 4 , 0 , 0 , 17 , 2 , 2 , 0 , .222 , .276 , .241 , .517 , .250 , 46.6 , -0.22 , -0.63 
194,임지열,23키1B, -0.25 , 6 , 13 , 13 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , .077 , .077 , .077 , .154 , .075 , -72.4 , -0.25 , -0.34 
195,정은원,23한2B, -0.26 , 23 , 99 , 87 , 8 , 18 , 0 , 0 , 0 , 18 , 3 , 1 , 1 , 10 , 0 , 0 , 14 , 1 , 2 , 0 , .207 , .289 , .207 , .496 , .251 , 45.6 , -0.26 , -1.20 
196,박찬호,23KSS, -0.26 , 23 , 80 , 72 , 10 , 13 , 0 , 0 , 0 , 13 , 1 , 5 , 0 , 5 , 0 , 0 , 14 , 5 , 3 , 0 , .181 , .234 , .181 , .414 , .204 , 14.1 , -0.26 , -0.84 
197,김태연,23한1B, -0.27 , 20 , 57 , 51 , 4 , 10 , 4 , 0 , 0 , 14 , 2 , 1 , 0 , 4 , 0 , 0 , 18 , 0 , 0 , 2 , .196 , .246 , .275 , .520 , .249 , 44.2 , -0.27 , -0.87 
198,한유섬,23SRF, -0.28 , 20 , 72 , 60 , 1 , 11 , 2 , 0 , 0 , 13 , 6 , 0 , 0 , 7 , 2 , 0 , 21 , 0 , 1 , 2 , .183 , .282 , .217 , .498 , .252 , 46.4 , -0.28 , -0.23 
199,김웅빈,23키1B, -0.28 , 9 , 24 , 21 , 0 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 1 , 2 , 0 , 7 , 0 , 0 , 0 , .143 , .250 , .143 , .393 , .216 , 23.4 , -0.28 , -0.30 
200,강한울,23삼3B, -0.29 , 7 , 25 , 23 , 1 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , .087 , .160 , .087 , .247 , .136 , -31.7 , -0.29 , -0.61 
201,이상호,23K2B, -0.30 , 22 , 35 , 32 , 2 , 5 , 1 , 0 , 0 , 6 , 3 , 0 , 0 , 1 , 0 , 0 , 9 , 1 , 2 , 0 , .156 , .182 , .188 , .369 , .171 , -10.9 , -0.30 , -0.33 
202,송승환,23두LF, -0.35 , 13 , 42 , 41 , 3 , 8 , 1 , 0 , 0 , 9 , 2 , 0 , 0 , 1 , 0 , 0 , 8 , 1 , 0 , 0 , .195 , .214 , .220 , .434 , .212 , 19.6 , -0.35 , -0.14 
203,주효상,23KC, -0.36 , 14 , 30 , 26 , 2 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 2 , 0 , 0 , 9 , 1 , 2 , 0 , .077 , .143 , .077 , .220 , .114 , -47.0 , -0.36 , -0.33 
204,오선진,23한SS, -0.36 , 18 , 47 , 40 , 2 , 5 , 1 , 0 , 0 , 6 , 5 , 0 , 0 , 3 , 1 , 0 , 9 , 2 , 1 , 2 , .125 , .196 , .150 , .346 , .175 , -6.1 , -0.36 , -0.48 
205,이성규,23삼CF, -0.40 , 22 , 62 , 56 , 6 , 9 , 2 , 0 , 0 , 11 , 3 , 1 , 1 , 3 , 1 , 0 , 16 , 1 , 2 , 0 , .161 , .217 , .196 , .413 , .201 , 12.2 , -0.40 , -0.36 
206,이재원,23SC, -0.45 , 9 , 24 , 23 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 3 , 1 , 0 , .043 , .044 , .043 , .087 , .040 , -96.8 , -0.45 , -0.62 
207,오그레디,23한LF, -0.70 , 17 , 68 , 63 , 3 , 8 , 2 , 0 , 0 , 10 , 8 , 1 , 0 , 4 , 0 , 0 , 31 , 0 , 0 , 1 , .127 , .177 , .159 , .335 , .169 , -10.0 , -0.70 , -0.99 
