,순_투,G_타,타석_타,타수_타,득점_타,안타_타,2타_타,3타_타,홈런_타,루타_타,타점_타,도루_타,도실_타,볼넷_타,사구_타,고4_타,삼진_타,병살_타,희타_타,희비_타,타율_타,출루_타,장타_타,OPS_타,wOBA_타,wRC+_타,WAR*_타,WPA_타,순_타,출장_투,완투_투,완봉_투,선발_투,승_투,패_투,세_투,홀드_투,이닝_투,실점_투,자책_투,타자_투,안타_투,2타_투,3타_투,홈런_투,볼넷_투,고4_투,사구_투,삼진_투,보크_투,폭투_투,ERA_투,FIP_투,WHIP_투,ERA+_투,FIP+_투,WAR_투,WPA_투,순_수,출장_수,선발_수,이닝_수,기회_수,자살_수,보살_수,실책_수,수비율_수,RF9_수,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ_수,RAAwithADJ_수,WAAw/oADJ_수,WAAwithADJ_수,승,패,무,승률,홈_승률,방문_승률,vs_KIA_승률,vs_두산_승률,vs_롯데_승률,vs_NC_승률,vs_SSG_승률,vs_LG_승률,vs_키움_승률,vs_한화_승률,vs_삼성_승률,vs_KT_승률,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SSG,팀명_두산,팀명_롯데,팀명_삼성,팀명_키움,팀명_한화
48,9.0,1606.0,5495.0,4687.0,599.0,1111.0,213.0,17.0,80.0,1598.0,554.0,110.0,56.0,632.0,75.0,14.0,1286.0,110.0,53.0,48.0,0.237,0.334,0.341,0.675,0.32,87.6,11.86,-10.31,10.0,717.0,1.0,0.0,144.0,49.0,83.0,21.0,62.0,1258.2,739.0,654.0,5672.0,1208.0,223.0,19.0,115.0,673.0,23.0,101.0,1011.0,11.0,56.0,4.68,4.7,1.49,93.7,94.8,9.97,-6.54,3.0,2043.0,1295.0,11328.0,5150.0,3773.0,1257.0,120.0,0.977,4.0,19.13,0.38,-2.03,0.73,-3.37,14.83,1.57,0.18,15.01,1.496,1.496,49,83,12,0.371,0.38461538461538464,0.3582089552238806,0.23076923076923078,0.4375,0.5333333333333333,0.35714285714285715,0.375,0.26666666666666666,0.5384615384615384,0.5,0.2857142857142857,0.3125,0,0,0,0,0,0,0,0,0,1
49,10.0,1708.0,5577.0,4831.0,568.0,1198.0,183.0,21.0,66.0,1621.0,546.0,73.0,31.0,595.0,73.0,16.0,921.0,119.0,41.0,37.0,0.248,0.337,0.336,0.673,0.321,86.7,10.59,-3.12,6.0,676.0,1.0,0.0,144.0,58.0,76.0,36.0,94.0,1269.0,752.0,693.0,5701.0,1286.0,215.0,16.0,134.0,622.0,5.0,104.0,951.0,8.0,58.0,4.91,4.91,1.5,90.5,90.5,14.95,-5.75,9.0,2032.0,1296.0,11421.0,5283.0,3807.0,1366.0,110.0,0.979,4.08,-16.33,-5.34,0.16,-0.29,-1.21,-23.02,-2.41,-0.17,-23.19,-2.269,-2.269,58,76,10,0.433,0.45588235294117646,0.4090909090909091,0.5,0.35714285714285715,0.6,0.25,0.4,0.4,0.4375,0.7692307692307693,0.3125,0.42857142857142855,1,0,0,0,0,0,0,0,0,0
50,1.0,1736.0,5627.0,4927.0,715.0,1325.0,208.0,33.0,118.0,1953.0,674.0,102.0,46.0,501.0,103.0,18.0,924.0,109.0,49.0,46.0,0.269,0.346,0.396,0.742,0.34,113.4,31.02,3.5,1.0,748.0,0.0,0.0,144.0,87.0,55.0,43.0,107.0,1288.0,520.0,476.0,5432.0,1179.0,166.0,34.0,94.0,451.0,27.0,59.0,1031.0,0.0,50.0,3.33,3.81,1.27,119.5,104.4,27.64,12.55,1.0,2226.0,1296.0,11592.0,5345.0,3864.0,1392.0,89.0,0.983,4.08,37.79,-0.24,-3.31,0.99,4.84,40.08,4.14,-0.17,39.91,4.137,4.137,87,55,2,0.613,0.5352112676056338,0.6901408450704225,0.625,0.625,0.4666666666666667,0.625,0.4666666666666667,0.5,0.625,0.75,0.75,0.5625,0,0,1,0,0,0,0,0,0,0
51,2.0,1747.0,5703.0,5001.0,720.0,1362.0,250.0,19.0,113.0,1989.0,676.0,103.0,33.0,542.0,63.0,21.0,983.0,111.0,60.0,36.0,0.272,0.349,0.398,0.746,0.342,110.2,27.23,0.9,8.0,675.0,0.0,0.0,144.0,70.0,73.0,38.0,74.0,1279.2,679.0,599.0,5636.0,1286.0,233.0,22.0,120.0,526.0,20.0,67.0,1042.0,2.0,58.0,4.21,4.27,1.42,96.8,95.9,12.68,-2.45,5.0,2119.0,1296.0,11517.0,5323.0,3838.0,1378.0,107.0,0.98,4.08,3.71,-7.81,1.5,0.23,1.1,-1.27,-0.13,-0.18,-1.45,-0.116,-0.116,70,73,1,0.49,0.4305555555555556,0.5492957746478874,0.5,0.5625,0.75,0.5625,0.3125,0.375,0.375,0.75,0.375,0.3333333333333333,1,0,0,0,0,0,0,0,0,0
52,3.0,1860.0,5642.0,4893.0,720.0,1245.0,243.0,18.0,138.0,1938.0,682.0,98.0,39.0,530.0,95.0,22.0,1075.0,96.0,77.0,47.0,0.254,0.336,0.396,0.732,0.333,102.7,23.25,8.96,4.0,598.0,1.0,0.0,144.0,88.0,52.0,45.0,67.0,1301.1,622.0,564.0,5533.0,1223.0,174.0,17.0,130.0,457.0,18.0,65.0,1023.0,2.0,74.0,3.9,4.23,1.29,106.7,99.2,20.71,9.02,2.0,2152.0,1296.0,11712.0,5473.0,3904.0,1460.0,109.0,0.98,4.12,26.73,13.51,-2.52,-0.73,1.08,38.06,3.89,-0.04,38.02,3.94,3.94,88,52,4,0.629,0.6805555555555556,0.5735294117647058,0.6875,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.5,0.5333333333333333,0.6875,0.625,0.6875,0.5,0,0,0,0,1,0,0,0,0,0
53,4.0,1744.0,5655.0,4953.0,621.0,1249.0,203.0,33.0,94.0,1800.0,577.0,63.0,20.0,527.0,92.0,26.0,1032.0,89.0,49.0,34.0,0.252,0.333,0.363,0.697,0.322,99.4,21.43,-1.21,3.0,649.0,2.0,1.0,144.0,80.0,62.0,48.0,84.0,1296.1,610.0,548.0,5579.0,1248.0,259.0,15.0,96.0,491.0,18.0,69.0,1010.0,1.0,51.0,3.8,4.0,1.34,105.1,98.9,22.66,10.22,4.0,2150.0,1296.0,11667.0,5550.0,3889.0,1544.0,117.0,0.979,4.19,2.38,10.53,0.33,1.36,-0.61,13.99,1.44,0.02,14.01,1.438,1.438,80,62,2,0.563,0.5492957746478874,0.5774647887323944,0.625,0.4375,0.625,0.7333333333333333,0.3125,0.375,0.5,0.75,0.6875,0.5333333333333333,0,0,0,0,0,0,0,0,1,0
54,5.0,1769.0,5585.0,4899.0,646.0,1261.0,231.0,14.0,105.0,1835.0,613.0,100.0,39.0,501.0,88.0,24.0,981.0,112.0,50.0,47.0,0.257,0.334,0.375,0.709,0.326,100.5,20.93,-7.33,5.0,681.0,0.0,0.0,144.0,67.0,74.0,25.0,54.0,1286.2,642.0,559.0,5604.0,1230.0,219.0,18.0,111.0,515.0,10.0,98.0,1168.0,5.0,80.0,3.91,4.05,1.36,104.2,101.4,18.72,3.85,6.0,2175.0,1296.0,11580.0,5346.0,3861.0,1358.0,127.0,0.976,4.06,3.88,-4.22,1.94,-1.66,-2.78,-2.84,-0.29,-0.06,-2.9,-0.262,-0.262,67,74,3,0.475,0.5072463768115942,0.4444444444444444,0.4375,0.5,0.5,0.5,0.4666666666666667,0.375,0.26666666666666666,0.6,0.625,0.5,0,0,0,1,0,0,0,0,0,0
55,6.0,1819.0,5647.0,5023.0,663.0,1357.0,241.0,19.0,103.0,1945.0,626.0,90.0,27.0,447.0,53.0,28.0,1029.0,119.0,83.0,41.0,0.27,0.334,0.387,0.721,0.328,99.3,20.58,-0.42,7.0,686.0,1.0,1.0,144.0,66.0,76.0,34.0,71.0,1287.0,695.0,619.0,5678.0,1370.0,251.0,14.0,129.0,478.0,22.0,66.0,971.0,3.0,47.0,4.33,4.35,1.44,96.4,95.0,13.46,-4.63,8.0,2181.0,1296.0,11583.0,5413.0,3860.0,1435.0,118.0,0.978,4.11,-22.1,3.26,1.89,1.18,-0.97,-16.74,-1.73,-0.25,-16.99,-1.741,-1.741,66,76,2,0.465,0.4714285714285714,0.4583333333333333,0.625,0.6875,0.5333333333333333,0.375,0.3125,0.25,0.3125,0.8,0.5,0.3125,0,0,0,0,0,0,0,1,0,0
56,7.0,1889.0,5547.0,4864.0,631.0,1237.0,191.0,19.0,119.0,1823.0,588.0,89.0,34.0,519.0,49.0,21.0,1183.0,105.0,70.0,44.0,0.254,0.33,0.375,0.704,0.322,95.7,19.09,1.09,2.0,588.0,1.0,1.0,144.0,80.0,62.0,37.0,65.0,1287.1,562.0,509.0,5405.0,1243.0,188.0,19.0,92.0,364.0,22.0,63.0,1074.0,3.0,43.0,3.56,3.54,1.25,115.7,115.0,26.67,7.76,3.0,2171.0,1296.0,11586.0,5378.0,3862.0,1420.0,96.0,0.982,4.1,14.67,3.92,-1.12,1.79,3.43,22.68,2.34,-0.12,22.57,2.381,2.381,80,62,2,0.563,0.5633802816901409,0.5633802816901409,0.6666666666666666,0.75,0.5625,0.5,0.5,0.4375,0.4666666666666667,0.5,0.6875,0.5,0,1,0,0,0,0,0,0,0,0
57,8.0,1903.0,5510.0,4892.0,638.0,1249.0,210.0,12.0,101.0,1786.0,592.0,90.0,40.0,450.0,71.0,16.0,1007.0,116.0,53.0,44.0,0.255,0.324,0.365,0.689,0.318,97.5,18.32,-3.71,9.0,670.0,0.0,0.0,144.0,60.0,82.0,32.0,68.0,1279.1,721.0,634.0,5700.0,1335.0,206.0,19.0,117.0,555.0,11.0,70.0,977.0,5.0,70.0,4.46,4.44,1.48,89.2,89.4,8.53,-7.3,9.0,2267.0,1296.0,11514.0,5347.0,3836.0,1393.0,118.0,0.978,4.09,-24.04,-7.54,-1.51,-1.37,-1.11,-35.57,-3.7,-0.24,-35.81,-3.654,-3.654,60,82,2,0.423,0.4084507042253521,0.43661971830985913,0.4375,0.5,0.5333333333333333,0.5,0.26666666666666666,0.375,0.5625,0.5625,0.3125,0.25,0,0,0,0,0,1,0,0,0,0
58,9.0,1761.0,5534.0,4948.0,605.0,1320.0,227.0,16.0,106.0,1897.0,570.0,61.0,39.0,417.0,54.0,19.0,991.0,127.0,73.0,42.0,0.267,0.328,0.383,0.711,0.324,96.4,16.62,-3.65,6.0,675.0,0.0,0.0,144.0,63.0,76.0,33.0,68.0,1280.2,712.0,636.0,5686.0,1373.0,257.0,22.0,84.0,492.0,21.0,80.0,1199.0,1.0,71.0,4.47,3.61,1.46,93.1,113.1,13.49,-2.38,10.0,2133.0,1296.0,11526.0,5357.0,3842.0,1399.0,116.0,0.978,4.09,-45.96,-6.48,-2.04,-1.5,-0.68,-56.66,-5.88,-0.3,-56.97,-5.788,-5.788,64,76,4,0.457,0.391304347826087,0.5211267605633803,0.25,0.4666666666666667,0.5,0.5,0.3333333333333333,0.5333333333333333,0.375,0.75,0.4666666666666667,0.4375,0,0,0,0,0,0,1,0,0,0
59,10.0,1614.0,5513.0,4877.0,564.0,1197.0,217.0,19.0,88.0,1716.0,520.0,93.0,49.0,497.0,52.0,13.0,1264.0,92.0,46.0,40.0,0.245,0.319,0.352,0.671,0.311,89.7,13.49,-13.54,10.0,749.0,1.0,0.0,144.0,46.0,95.0,25.0,81.0,1268.1,759.0,679.0,5710.0,1315.0,268.0,22.0,112.0,602.0,39.0,83.0,974.0,4.0,65.0,4.82,4.48,1.51,84.0,91.1,6.62,-11.27,7.0,2113.0,1296.0,11415.0,5344.0,3806.0,1405.0,133.0,0.975,4.11,3.24,-4.93,-0.19,-0.29,-4.3,-6.47,-0.68,0.04,-6.43,-0.626,-0.626,46,96,2,0.324,0.3888888888888889,0.2571428571428571,0.25,0.4375,0.25,0.4,0.375,0.25,0.25,0.5,0.2,0.5,0,0,0,0,0,0,0,0,0,1
60,1.0,311.0,1095.0,915.0,152.0,272.0,49.0,6.0,12.0,369.0,144.0,39.0,28.0,137.0,15.0,2.0,155.0,21.0,12.0,16.0,0.297,0.392,0.403,0.795,0.377,133.0,7.39,3.49,10.0,139.0,0.0,0.0,26.0,15.0,11.0,5.0,22.0,235.0,123.0,95.0,1029.0,226.0,42.0,3.0,11.0,102.0,1.0,10.0,182.0,2.0,12.0,3.64,3.79,1.4,105.3,101.6,1.23,-1.24,8.0,385.0,234.0,2115.0,980.0,705.0,243.0,32.0,0.967,4.03,1.43,-1.66,-1.11,-0.18,-1.88,-3.41,-1.93,-0.04,-3.45,-0.358,-0.358,16,11,0,0.593,0.6,0.5833333333333334,0.0,0.6666666666666666,0.3333333333333333,0.75,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0,0,1,0,0,0,0,0,0,0
