순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
275,강동연,21N, -0.37 , 12 , 0 , 0 , 3 , 3 , 2 , 0 , 1 , 23.0 , 21 , 20 , 109 , 25 , 4 , 1 , 4 , 14 , 0 , 0 , 14 , 0 , 3 , 7.83 , 6.20 , 1.70 , 58.0 , 73.1 , -1.28 
276,조제영,21두, -0.38 , 6 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 10.2 , 13 , 13 , 60 , 18 , 3 , 0 , 1 , 10 , 1 , 1 , 5 , 0 , 1 , 10.97 , 6.43 , 2.63 , 39.3 , 67.5 , -0.43 
277,김대우,21삼, -0.39 , 31 , 0 , 0 , 4 , 0 , 2 , 0 , 1 , 51.0 , 39 , 36 , 234 , 68 , 18 , 0 , 7 , 15 , 1 , 2 , 27 , 0 , 1 , 6.35 , 5.00 , 1.63 , 71.0 , 91.0 , -1.41 
278,현도훈,21두, -0.40 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 8.2 , 12 , 12 , 46 , 9 , 1 , 0 , 1 , 13 , 0 , 0 , 9 , 0 , 1 , 12.46 , 7.26 , 2.54 , 34.6 , 59.7 , -0.29 
279,최용준,21K, -0.40 , 3 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 6.1 , 10 , 10 , 39 , 11 , 4 , 1 , 3 , 7 , 0 , 1 , 6 , 0 , 0 , 14.21 , 11.39 , 2.84 , 31.3 , 38.7 , -0.41 
280,이승재,21K, -0.41 , 25 , 0 , 0 , 0 , 2 , 1 , 0 , 5 , 24.0 , 20 , 20 , 118 , 26 , 2 , 0 , 5 , 18 , 0 , 3 , 17 , 1 , 3 , 7.50 , 7.25 , 1.83 , 59.3 , 61.1 , -0.49 
281,이충호,21한, -0.43 , 17 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 16.1 , 17 , 14 , 85 , 20 , 2 , 2 , 1 , 13 , 0 , 3 , 11 , 0 , 0 , 7.71 , 5.72 , 2.02 , 56.8 , 78.0 , -0.38 
282,이강준,21K롯, -0.43 , 15 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 8.1 , 11 , 10 , 48 , 11 , 1 , 0 , 1 , 12 , 0 , 3 , 4 , 0 , 2 , 10.80 , 9.33 , 2.76 , 41.9 , 47.7 , -0.30 
283,장필준,21삼, -0.43 , 41 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 34.2 , 30 , 28 , 174 , 46 , 8 , 1 , 4 , 27 , 1 , 1 , 24 , 0 , 4 , 7.27 , 5.78 , 2.11 , 62.1 , 78.1 , -0.68 
284,이승현,21삼, -0.45 , 21 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 17.0 , 18 , 18 , 86 , 30 , 5 , 1 , 6 , 8 , 0 , 0 , 7 , 0 , 1 , 9.53 , 8.51 , 2.24 , 47.4 , 54.1 , -0.49 
285,김도현,21한, -0.46 , 14 , 0 , 0 , 5 , 0 , 1 , 0 , 0 , 26.0 , 22 , 22 , 132 , 32 , 5 , 0 , 2 , 22 , 0 , 4 , 13 , 0 , 1 , 7.62 , 6.33 , 2.08 , 57.5 , 70.5 , -0.50 
286,박정수,21N두, -0.50 , 12 , 0 , 0 , 5 , 3 , 3 , 0 , 0 , 30.1 , 27 , 25 , 143 , 38 , 9 , 0 , 5 , 14 , 0 , 3 , 26 , 0 , 2 , 7.42 , 5.44 , 1.71 , 59.8 , 80.9 , -1.02 
287,김선기,21키, -0.51 , 21 , 0 , 0 , 7 , 3 , 2 , 0 , 0 , 48.1 , 38 , 35 , 224 , 53 , 12 , 0 , 5 , 22 , 0 , 7 , 25 , 1 , 4 , 6.52 , 5.44 , 1.55 , 68.0 , 79.8 , -1.40 
288,장재영,21키, -0.55 , 19 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 17.2 , 18 , 18 , 92 , 15 , 5 , 0 , 0 , 24 , 0 , 3 , 14 , 0 , 5 , 9.17 , 6.33 , 2.21 , 48.3 , 69.7 , -0.87 
289,이건욱,21S, -0.63 , 5 , 0 , 0 , 4 , 0 , 1 , 0 , 0 , 12.2 , 16 , 16 , 72 , 16 , 4 , 0 , 4 , 19 , 0 , 1 , 5 , 0 , 0 , 11.37 , 11.39 , 2.76 , 39.5 , 39.9 , -0.90 
290,손주영,21L, -0.63 , 7 , 0 , 0 , 6 , 1 , 3 , 0 , 0 , 26.2 , 25 , 25 , 127 , 31 , 7 , 2 , 4 , 20 , 0 , 1 , 21 , 0 , 1 , 8.44 , 6.07 , 1.91 , 51.1 , 70.6 , -0.88 
291,서준원,21롯, -0.65 , 26 , 0 , 0 , 8 , 1 , 3 , 0 , 3 , 54.0 , 46 , 44 , 257 , 72 , 13 , 2 , 5 , 29 , 3 , 2 , 37 , 0 , 1 , 7.33 , 4.72 , 1.87 , 62.0 , 94.4 , -1.07 
292,오주원,21키, -0.68 , 21 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 18.1 , 20 , 20 , 89 , 33 , 8 , 0 , 3 , 4 , 1 , 0 , 9 , 0 , 1 , 9.82 , 4.97 , 2.02 , 45.2 , 86.0 , -0.89 
293,이승호,21키, -0.68 , 38 , 0 , 0 , 3 , 1 , 3 , 0 , 5 , 47.1 , 39 , 29 , 224 , 55 , 7 , 1 , 4 , 31 , 2 , 1 , 37 , 0 , 8 , 5.51 , 4.77 , 1.82 , 80.4 , 90.8 , -1.15 
294,임준섭,21한, -0.68 , 13 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.2 , 18 , 13 , 64 , 19 , 5 , 0 , 1 , 8 , 0 , 4 , 11 , 1 , 1 , 10.97 , 5.86 , 2.53 , 39.9 , 76.0 , -0.23 
