팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
두산,김지용,-0.09,18,0,0,0,1,0,0,0,19.1,14,13,82,19,3,0,5,5,0,1,13,0,1,-0.53
두산,남호,-0.11,5,0,0,0,0,1,0,0,2.2,3,3,13,3,1,0,0,3,0,0,2,0,0,-0.15
두산,로켓,4.1,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20,2,5,42,1,12,112,1,1,1.0
두산,문대원,-0.21,6,0,0,0,0,0,0,0,6.300000000000001,10,7,39,14,3,0,3,4,0,0,1,0,0,-0.12
두산,미란다,6.88,31,1,1,31,14,5,0,0,180.39999999999998,56,52,752,137,23,1,11,81,0,2,233,1,8,2.99
두산,박신지,-1.1400000000000001,31,0,0,9,1,6,0,0,64.2,56,52,331,93,15,2,7,41,0,5,41,0,5,-1.47
두산,박웅,0.14,18,0,0,0,0,0,0,0,17.2,10,10,82,19,1,1,0,11,0,3,10,0,0,0.02
두산,박정수,-0.24,22,0,0,2,1,4,0,0,33.3,27,25,157,39,7,0,4,15,0,3,33,0,3,-1.1300000000000001
두산,박종기,-0.04000000000000001,30,0,0,10,1,6,0,0,85.2,58,54,391,99,16,1,6,43,0,3,53,0,4,-1.5499999999999998
두산,박치국,1.7,101,0,0,0,7,7,0,17,104.4,53,40,463,92,17,2,7,54,8,9,98,0,3,0.35999999999999993
두산,배창현,0.01,1,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,2,0,0,0,0,0,0.0
두산,브랜든,1.07,11,0,0,11,5,3,0,0,65.0,29,26,276,56,10,0,5,24,0,1,40,1,2,0.65
두산,스탁,1.0,29,0,0,29,9,10,0,0,165.0,87,65,722,161,24,2,9,83,0,10,138,0,12,-0.98
두산,알칸타라,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,4.35
두산,유재유,-0.09,4,0,0,0,0,0,0,0,3.1,4,4,19,4,0,0,2,5,0,0,1,0,1,-0.04
두산,유희관,-1.33,42,0,0,42,14,18,0,0,199.1,148,130,936,297,51,8,24,63,4,6,79,0,1,-4.32
