순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
49,반즈,22롯P,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,2.48,0.00,3.01,0.00
50,정은원,22한2B,2.95,1.26,-0.09,0.10,-0.75,2.50,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
51,이용찬,22NP,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.00,0.81,0.00,2.93
52,송성문,22키3B,2.92,-0.91,-0.07,0.32,0.91,2.50,0.17,0.00,0.00,0.00,0.00,0.00,0.00
53,김재환,22두LF,2.83,1.85,-0.02,-0.07,-0.41,2.15,-0.68,0.00,0.00,0.00,0.00,0.00,0.00
54,황재균,22K3B,2.81,-0.07,-0.03,0.17,0.16,2.42,0.17,0.00,0.00,0.00,0.00,0.00,0.00
55,김선빈,22K2B,2.72,0.63,0.15,-0.51,-0.16,2.45,0.17,0.00,0.00,0.00,0.00,0.00,0.00
56,안치홍,22롯2B,2.71,1.11,0.03,-0.15,-0.53,2.34,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
57,오재일,22삼1B,2.68,1.65,-0.02,-0.04,-0.15,2.23,-0.99,0.00,0.00,0.00,0.00,0.00,0.00
58,강승호,22두2B,2.61,-0.01,0.03,0.17,0.27,2.03,0.11,0.00,0.00,0.00,0.00,0.00,0.00
59,배정대,22KCF,2.55,-0.27,0.19,0.06,-0.02,2.40,0.21,0.00,0.00,0.00,0.00,0.00,0.00
60,벤자민,22KP,2.53,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,1.29,0.00,2.53,0.00
61,김주원,22NSS,2.52,0.00,0.06,0.04,0.71,1.36,0.34,0.00,0.00,0.00,0.00,0.00,0.00
,원태인,22삼P,2.52,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,2.20,0.00,2.52,0.00
63,정철원,22두P,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.97,0.00,2.51
64,손아섭,22NRF,2.47,0.38,-0.04,0.01,0.40,2.57,-0.86,0.00,0.00,0.00,0.00,0.00,0.00
65,노경은,22SP,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.01,0.53,0.53,0.89,1.54
66,구승민,22롯P,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.83,0.00,2.42
67,추신수,22SDH,2.41,1.74,0.07,-0.08,0.03,2.08,-1.43,0.00,0.00,0.00,0.00,0.00,0.00
68,장민재,22한P,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.10,1.60,0.08,2.19,0.19
,최형우,22KDH,2.38,1.44,-0.01,0.04,0.09,2.21,-1.39,0.00,0.00,0.00,0.00,0.00,0.00
70,곽빈,22두P,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,1.97,0.00,2.36,0.00
