순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
1,알칸타라,20두, 8.31 , 31 , 1 , 0 , 31 , 20 , 2 , 0 , 0 , 198.2 , 58 , 56 , 795 , 174 , 38 , 3 , 12 , 30 , 0 , 9 , 182 , 1 , 3 , 2.54 , 3.10 , 1.03 , 182.6 , 149.7 , 4.35 
2,스트레일리,20롯, 7.53 , 31 , 0 , 0 , 31 , 15 , 4 , 0 , 0 , 194.2 , 61 , 54 , 777 , 148 , 27 , 2 , 10 , 51 , 0 , 7 , 205 , 0 , 4 , 2.50 , 3.01 , 1.02 , 195.1 , 159.0 , 3.84 
3,브룩스,20K, 7.16 , 23 , 1 , 1 , 23 , 11 , 4 , 0 , 0 , 151.1 , 43 , 42 , 586 , 131 , 18 , 0 , 4 , 24 , 0 , 3 , 130 , 1 , 3 , 2.50 , 2.72 , 1.02 , 192.2 , 177.8 , 3.39 
4,루친스키,20N, 5.59 , 30 , 0 , 0 , 30 , 19 , 5 , 0 , 0 , 183.0 , 67 , 62 , 770 , 173 , 12 , 3 , 14 , 57 , 0 , 11 , 167 , 0 , 11 , 3.05 , 3.84 , 1.26 , 160.2 , 125.8 , 3.04 
5,요키시,20키, 5.53 , 27 , 0 , 0 , 27 , 12 , 7 , 0 , 0 , 159.2 , 53 , 38 , 640 , 144 , 26 , 3 , 6 , 25 , 0 , 6 , 115 , 1 , 3 , 2.14 , 3.19 , 1.06 , 220.3 , 147.3 , 3.20 
6,뷰캐넌,20삼, 4.68 , 27 , 1 , 0 , 27 , 15 , 7 , 0 , 0 , 174.2 , 71 , 67 , 728 , 172 , 19 , 2 , 16 , 50 , 0 , 7 , 121 , 0 , 2 , 3.45 , 4.34 , 1.27 , 142.1 , 112.2 , 1.62 
7,구창모,20N, 4.62 , 15 , 0 , 0 , 14 , 9 , 0 , 0 , 1 , 93.1 , 20 , 18 , 348 , 58 , 12 , 0 , 7 , 18 , 0 , 0 , 102 , 0 , 2 , 1.74 , 2.92 , 0.81 , 281.5 , 165.6 , 2.80 
8,켈리,20L, 4.26 , 28 , 1 , 1 , 28 , 15 , 7 , 0 , 0 , 173.1 , 67 , 64 , 705 , 160 , 29 , 1 , 16 , 40 , 0 , 11 , 134 , 0 , 4 , 3.32 , 4.09 , 1.15 , 139.3 , 112.7 , 1.64 
9,문승원,20S, 3.82 , 25 , 1 , 0 , 25 , 6 , 8 , 0 , 0 , 145.2 , 64 , 59 , 610 , 136 , 29 , 0 , 13 , 45 , 0 , 6 , 117 , 0 , 2 , 3.65 , 4.16 , 1.24 , 132.3 , 117.1 , 0.65 
10,플렉센,20두, 3.51 , 21 , 0 , 0 , 21 , 8 , 4 , 0 , 0 , 116.2 , 43 , 39 , 472 , 97 , 14 , 0 , 6 , 30 , 2 , 2 , 132 , 0 , 5 , 3.01 , 2.73 , 1.09 , 154.0 , 169.7 , 1.01 
